t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
500.0,40 Eridani A b,0.22399996977519107,0.03999331032023335,0.00231,-86.94159,182.48481,181.75442
500.0,40 Eridani A c,0.4000513622999614,0.04103123182648293,1.50103,173.72814,119.39156,285.42022
500.0,40 Eridani A d,0.6350391132823473,0.04207192065004194,2.50042,-79.08991,147.56621,216.42024
1000.0,40 Eridani A b,0.2240000034381874,0.03997428562588358,0.00458,-91.93596,187.62215,95.50868
1000.0,40 Eridani A c,0.39996036640631716,0.04303216620136434,1.50387,163.45057,145.0141,46.78369
1000.0,40 Eridani A d,0.6350856608637707,0.0425524323054891,2.50055,-80.35379,149.5299,76.47001
1500.0,40 Eridani A b,0.2240000089369114,0.0399447118136846,0.00676,-96.98482,192.80861,359.97905
1500.0,40 Eridani A c,0.40006128370546096,0.04569710410153412,1.50751,153.24758,169.71646,153.99889
1500.0,40 Eridani A d,0.6349539188223505,0.042832974289681566,2.50223,-81.60412,151.32145,297.0132
2000.0,40 Eridani A b,0.22399999180434607,0.03990519162088695,0.00886,-102.0986,198.05103,264.46971
2000.0,40 Eridani A c,0.3999833093555066,0.04946213828928615,1.51029,143.14606,192.75295,238.15155
2000.0,40 Eridani A d,0.634949571436942,0.04302301971260637,2.50262,-82.86942,153.09425,221.40296
2500.0,40 Eridani A b,0.22399996049634946,0.039856629335966856,0.01084,-107.29048,203.3622,178.23964
2500.0,40 Eridani A c,0.4000387516477823,0.05393303389839704,1.51062,133.06974,214.47018,354.85804
2500.0,40 Eridani A d,0.6350129317911409,0.043659054543214865,2.50316,-84.17973,155.24289,95.74199
3000.0,40 Eridani A b,0.22399998234657637,0.03980030514034689,0.01271,-112.55011,208.72826,91.73131
3000.0,40 Eridani A c,0.40003213346557165,0.05801964824185119,1.50903,123.03579,235.45018,114.77185
3000.0,40 Eridani A d,0.6348551158295849,0.04388550727137575,2.50315,-85.43707,157.25376,312.65265
3500.0,40 Eridani A b,0.224000001278301,0.039738092599544514,0.01445,-117.86111,214.13247,355.94499
3500.0,40 Eridani A c,0.39998892840090283,0.06270330901528544,1.50543,112.94462,255.4231,200.51616
3500.0,40 Eridani A d,0.6348916505435866,0.04444184632033209,2.50365,-86.72711,159.30246,235.02487
4000.0,40 Eridani A b,0.2240000543694398,0.03967184461885214,0.01605,-123.21652,219.56618,253.7602
4000.0,40 Eridani A c,0.4000488226878112,0.06751710816731105,1.50076,102.78306,274.7328,316.64972
4000.0,40 Eridani A d,0.6349369742813455,0.04490451159888335,2.50437,-88.02813,161.37768,89.17431
4500.0,40 Eridani A b,0.22400001117668297,0.03960351172070794,0.01751,-128.59243,225.0042,168.23267
4500.0,40 Eridani A c,0.39997127186678794,0.0715992834509201,1.49573,92.5575,293.70912,73.5696
4500.0,40 Eridani A d,0.6348247095644353,0.04515628144118674,2.50396,-89.31787,163.50193,340.86915
5000.0,40 Eridani A b,0.2240000084794462,0.0395347919079099,0.01882,-133.97766,230.43415,80.86692
5000.0,40 Eridani A c,0.40004092226363547,0.07590157473355431,1.49228,82.28193,312.29185,173.47633
5000.0,40 Eridani A d,0.6349813971255963,0.045686761554051034,2.50487,-90.59099,166.10945,230.22932
5500.0,40 Eridani A b,0.22399998641879576,0.039467655124265144,0.01997,-139.36646,235.85065,344.38627
5500.0,40 Eridani A c,0.4000019950333641,0.07973172331471916,1.48995,71.96529,330.54847,284.19588
5500.0,40 Eridani A d,0.6349493522347519,0.04612474284931637,2.50502,-91.89463,168.25282,92.64923
6000.0,40 Eridani A b,0.2239999677655994,0.03940434690149421,0.02095,-144.75553,241.25116,250.44318
6000.0,40 Eridani A c,0.4000220730164459,0.08327366337664534,1.48888,61.66562,348.51626,34.94782
6000.0,40 Eridani A d,0.6349522955106407,0.04644596200968941,2.50529,-93.17167,170.54851,10.73292
6500.0,40 Eridani A b,0.22399998168281132,0.03934585456195828,0.02175,-150.15561,246.64709,165.11697
6500.0,40 Eridani A c,0.4000430721350653,0.08628083331661322,1.48868,51.39436,6.27061,157.36094
6500.0,40 Eridani A d,0.6350832886125837,0.04657007683175678,2.50517,-94.43917,173.02918,211.8756
7000.0,40 Eridani A b,0.22399998777743788,0.03929436689430494,0.02237,-155.57313,252.04652,77.49151
7000.0,40 Eridani A c,0.3999887920517548,0.08879899411162522,1.48906,41.14076,23.88019,246.79232
7000.0,40 Eridani A d,0.634971180513083,0.046998721308839524,2.50586,-95.72822,175.5705,124.23917
7500.0,40 Eridani A b,0.22400008149295303,0.03925133143626237,0.02279,-161.02358,257.46638,340.90515
7500.0,40 Eridani A c,0.40004744779842594,0.09124899259906813,1.48881,30.90119,41.3097,9.83241
7500.0,40 Eridani A d,0.6351374251926372,0.04723924169011084,2.50412,-96.99534,177.99068,359.87703
8000.0,40 Eridani A b,0.2239999938089385,0.03921776051931554,0.02302,-166.52197,262.92484,240.39373
8000.0,40 Eridani A c,0.3999901870208835,0.09253495381371686,1.48897,20.67679,58.64999,131.0653
8000.0,40 Eridani A d,0.6349805819782129,0.04729677368848849,2.50486,-98.26567,180.29708,218.61866
8500.0,40 Eridani A b,0.2239999882354526,0.03919485608531642,0.02306,-172.07184,268.42826,155.49924
8500.0,40 Eridani A c,0.4000380766785859,0.09366378424789831,1.48905,10.43788,75.93544,215.82154
8500.0,40 Eridani A d,0.6350655138335303,0.04724766590619223,2.50371,-99.5359,182.98059,140.83232
9000.0,40 Eridani A b,0.22399996520600782,0.03918341813015971,0.02291,-177.68856,273.9948,66.89929
9000.0,40 Eridani A c,0.40003243952417755,0.09435271126340126,1.48943,0.20239,93.20177,344.89194
9000.0,40 Eridani A d,0.6349692948448002,0.047442100556368896,2.50302,-100.79827,185.4154,337.30291
9500.0,40 Eridani A b,0.22400000170039308,0.039183933294612394,0.02258,176.62254,279.63246,329.85095
9500.0,40 Eridani A c,0.399986057299407,0.09417878766127988,1.49026,-10.03131,110.4128,96.59722
9500.0,40 Eridani A d,0.6349430731011912,0.047462349371760415,2.50238,-102.0576,187.77036,254.16365
10000.0,40 Eridani A b,0.22400002094126875,0.03919642850262189,0.02207,170.84381,285.36132,237.43571
10000.0,40 Eridani A c,0.40004018226968846,0.093629511743466,1.49159,-20.2529,127.62541,202.90383
10000.0,40 Eridani A d,0.6349781848564575,0.04725830053802476,2.50149,-103.33444,190.10366,116.75327
10500.0,40 Eridani A b,0.22400001687139176,0.039220573818930154,0.02139,164.96341,291.19668,152.6291
10500.0,40 Eridani A c,0.3999668186938672,0.09233836931347159,1.4928,-30.46797,144.96789,304.58832
10500.0,40 Eridani A d,0.6348263096679847,0.047153074730247456,2.50072,-104.58654,192.71206,10.96876
11000.0,40 Eridani A b,0.22399999627966366,0.03925533788396522,0.02055,158.9509,297.17158,63.70685
11000.0,40 Eridani A c,0.4000527126499805,0.09101595999596145,1.49397,-40.661,162.35455,73.98481
11000.0,40 Eridani A d,0.6349611227986179,0.047068130469279996,2.5004,-105.85511,194.95442,246.95856
11500.0,40 Eridani A b,0.2239999938573037,0.039299931930785806,0.01955,152.76307,303.33184,326.51071
11500.0,40 Eridani A c,0.40000061730795156,0.08852218407873104,1.49523,-50.88139,179.69021,180.88469
11500.0,40 Eridani A d,0.6348375915332012,0.04689025870503978,2.49943,-107.11522,197.29795,122.22891
12000.0,40 Eridani A b,0.2239999801285497,0.03935281171859501,0.0184,146.35849,309.72063,227.53887
12000.0,40 Eridani A c,0.40001924378397663,0.08594114051250404,1.4964,-61.09907,197.26138,269.00508
12000.0,40 Eridani A d,0.6349274612393442,0.04659150933080441,2.49917,-108.36879,199.3784,30.65085
12500.0,40 Eridani A b,0.22399998033693705,0.039412530466941015,0.01713,139.66318,316.4133,142.90589
12500.0,40 Eridani A c,0.4000577623065027,0.08285330581883084,1.49819,-71.32832,215.16188,49.95417
12500.0,40 Eridani A d,0.6349781399603767,0.04630830212688782,2.49866,-109.62951,201.64642,227.08671
13000.0,40 Eridani A b,0.223999988739614,0.03947660367546749,0.01576,132.59409,323.49582,52.82495
13000.0,40 Eridani A c,0.39998216080344606,0.0792885271326616,1.50099,-81.55205,233.00645,145.50385
13000.0,40 Eridani A d,0.6349294795617751,0.046120847880312864,2.49844,-110.88217,203.85785,155.12092
13500.0,40 Eridani A b,0.22400003013536057,0.03954417056960095,0.0143,125.02716,331.09311,315.31533
13500.0,40 Eridani A c,0.4000532506439025,0.07543009692034285,1.50429,-91.7515,251.19579,252.19056
13500.0,40 Eridani A d,0.63510419571284,0.04609956057667495,2.49833,-112.12838,205.70727,6.58634
14000.0,40 Eridani A b,0.22399999930659353,0.039612246413731324,0.01278,116.80346,339.36416,224.3292
14000.0,40 Eridani A c,0.3999813828884302,0.07096395615835265,1.50827,-101.89012,269.73043,7.52944
