t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5000.0,55 Cnc e,0.015400021444398284,0.054513497043593456,6.38233,71.55435,239.08788,187.06112
5000.0,55 Cnc b,0.11797575226432473,0.008194348493723627,0.2129,-74.7033,196.5387,189.08781
5000.0,55 Cnc c,0.24753240299962948,0.08302752135592194,0.46224,-98.4518,292.2371,152.27609
5000.0,55 Cnc f,0.805987331153697,0.061070395703748004,0.0812,-109.32182,60.04694,94.95134
5000.0,55 Cnc d,5.500166322503304,0.096952530056885,0.2724,29.59809,88.24046,318.7996
10000.0,55 Cnc e,0.01540003048248765,0.0664244503674494,6.44772,51.23627,221.22525,77.39081
10000.0,55 Cnc b,0.11800420182536984,0.008300131182853806,0.28691,-104.81121,211.43885,248.87978
10000.0,55 Cnc c,0.2478308008612936,0.08560965515440648,0.10185,-153.38043,359.49917,118.76122
10000.0,55 Cnc f,0.8089718975685883,0.06578689724696192,0.13688,-26.7386,72.35115,253.99327
10000.0,55 Cnc d,5.514773741251346,0.0998085347098483,0.2723,28.96904,86.35748,131.1109
15000.0,55 Cnc e,0.01539995398608271,0.077106241921362,6.51871,30.78302,211.67091,277.2976
15000.0,55 Cnc b,0.117981038481332,0.009271105430130454,0.14418,-145.7449,293.34089,251.41284
15000.0,55 Cnc c,0.24672733370834724,0.0833160308132123,0.31643,-93.37346,311.81322,85.47428
15000.0,55 Cnc f,0.8020082437680492,0.06595623255214834,0.18759,-89.30058,229.55383,82.03709
15000.0,55 Cnc d,5.5982207843667355,0.10465511103314615,0.26874,28.61369,84.30234,264.06933
20000.0,55 Cnc e,0.015399991714089052,0.08097613730251547,6.53292,10.77492,205.40854,263.87468
20000.0,55 Cnc b,0.11799889128641601,0.01314733004691703,0.1673,-109.04727,256.89281,296.79417
20000.0,55 Cnc c,0.24622495730665941,0.08573140101292263,0.28881,-175.94143,50.39318,48.55049
20000.0,55 Cnc f,0.808684722631459,0.0564864085028068,0.10387,-177.82334,54.61507,240.34211
20000.0,55 Cnc d,5.530209949163297,0.10940660759109556,0.27647,27.62226,90.43132,74.22769
25000.0,55 Cnc e,0.015400007500529713,0.07637362731667315,6.52683,-9.25046,198.89968,326.0759
25000.0,55 Cnc b,0.11800320043228954,0.010217623693333315,0.24331,-164.92306,320.59038,337.78219
25000.0,55 Cnc c,0.24662924515651452,0.08549760098833661,0.08036,-97.18522,344.64381,5.41416
25000.0,55 Cnc f,0.8043724844237824,0.05798729497726017,0.05818,21.95698,325.05297,49.00734
25000.0,55 Cnc d,5.476908622584463,0.11457582172015644,0.27221,27.68903,94.86517,205.06402
30000.0,55 Cnc e,0.015399959585597022,0.06549417099531037,6.49172,-29.329,188.53117,70.57315
30000.0,55 Cnc b,0.1180037162303277,0.013994474654015104,0.12425,153.41738,31.65029,353.61157
30000.0,55 Cnc c,0.24755943702898678,0.08358514886243143,0.36763,-175.99983,78.33908,329.64533
30000.0,55 Cnc f,0.8042845888275423,0.06633428443053915,0.11368,-119.55397,204.80422,209.50437
30000.0,55 Cnc d,5.5801356510394315,0.111423378280619,0.27329,27.19948,97.1895,2.70672
35000.0,55 Cnc e,0.015400036006581366,0.053610501671872104,6.53079,-50.07092,170.28501,108.20567
35000.0,55 Cnc b,0.11800439404657091,0.01706805242999978,0.17883,179.65904,6.48104,37.74569
35000.0,55 Cnc c,0.24811949161809232,0.0878615978097669,0.21865,100.25794,174.36655,287.46479
35000.0,55 Cnc f,0.8111672798981072,0.07111309358998842,0.18082,148.34531,30.64732,32.39968
35000.0,55 Cnc d,5.58118307495592,0.09859512353825026,0.27237,25.4517,101.3351,155.54371
40000.0,55 Cnc e,0.01539992663851225,0.04992924876385879,6.51378,-72.04851,143.24051,95.90045
40000.0,55 Cnc b,0.11798929074488682,0.01527615347434164,0.23699,138.26088,69.84088,55.35899
40000.0,55 Cnc c,0.24703697771230457,0.08226811210536777,0.2423,-164.69904,92.65664,249.3621
40000.0,55 Cnc f,0.80279247978642,0.061168255337972814,0.12617,80.10749,195.42512,197.2748
40000.0,55 Cnc d,5.468501751103928,0.0982973766909062,0.27117,25.58189,101.16432,293.70033
45000.0,55 Cnc e,0.015400033425339257,0.058426386811353544,6.42911,-93.09177,118.80484,272.14133
45000.0,55 Cnc b,0.11800345361206059,0.01990061984824383,0.19014,132.77217,87.38699,81.75647
45000.0,55 Cnc c,0.24644273375849166,0.0831630005210951,0.45088,116.29233,191.12172,214.24677
45000.0,55 Cnc f,0.8061057351945601,0.06358978269272139,0.08073,175.26729,203.88535,3.25475
45000.0,55 Cnc d,5.561326054580773,0.0970419599178437,0.27012,25.09848,99.23729,109.87716
50000.0,55 Cnc e,0.015400017550125529,0.07092661979233851,6.50701,-113.58811,104.5475,157.86012
50000.0,55 Cnc b,0.11797150056109564,0.01914689717064403,0.27182,121.68076,101.59167,118.20175
