t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5000.0,61 Vir b,0.05020007344654994,0.2590856968900192,0.0,0.0,97.39789,220.76588
5000.0,61 Vir c,0.21751298630470275,0.3646142972645401,0.0,0.0,151.70411,131.46608
5000.0,61 Vir d,0.4758650268363457,0.24180004353574558,0.0,0.0,150.39029,15.60309
10000.0,61 Vir b,0.050200931363879486,0.39181532558031756,0.0,0.0,189.65119,166.42624
10000.0,61 Vir c,0.21751923867451617,0.12244572510489712,0.0,0.0,215.54423,65.91124
10000.0,61 Vir d,0.47585889158474937,0.33917093663010844,0.0,0.0,202.97623,185.61722
15000.0,61 Vir b,0.050201732381378796,0.34003908465059407,0.0,0.0,274.32668,129.22788
15000.0,61 Vir c,0.21749455238656504,0.3577351893882601,0.0,0.0,250.75047,72.97404
15000.0,61 Vir d,0.4760948891608079,0.24052776696904757,0.0,0.0,263.29775,8.44696
20000.0,61 Vir b,0.05020098372016144,0.28803170647798554,0.0,0.0,353.01193,26.03622
20000.0,61 Vir c,0.21753365949319278,0.19407068749574738,0.0,0.0,342.48945,314.82793
20000.0,61 Vir d,0.47573600840986796,0.32963023286722276,0.0,0.0,303.64034,190.06779
25000.0,61 Vir b,0.05019994275152621,0.1802853893148073,0.0,0.0,100.98326,281.67892
25000.0,61 Vir c,0.21751614521029883,0.3305260214117866,0.0,0.0,351.66286,312.18588
25000.0,61 Vir d,0.47609621945156455,0.27253866872525845,0.0,0.0,15.72074,4.41909
30000.0,61 Vir b,0.05020092703383703,0.13086741388818712,0.0,0.0,326.86563,63.40615
30000.0,61 Vir c,0.21752755548780198,0.24379427894885167,0.0,0.0,91.09736,238.65445
30000.0,61 Vir d,0.4758354994908172,0.31915797874603846,0.0,0.0,53.12639,189.99823
35000.0,61 Vir b,0.05020074198567879,0.209895843655588,0.0,0.0,63.68908,9.08056
35000.0,61 Vir c,0.2175280506665647,0.30658724727213066,0.0,0.0,95.80683,238.45413
35000.0,61 Vir d,0.47582556007604376,0.28552550297821017,0.0,0.0,130.05184,356.5148
40000.0,61 Vir b,0.05020139374113092,0.35605207254775556,0.0,0.0,146.85931,223.2327
40000.0,61 Vir c,0.21750023987655434,0.2967365123684079,0.0,0.0,194.62178,193.01086
40000.0,61 Vir d,0.47604501898889573,0.28054632735231055,0.0,0.0,161.75215,191.1586
45000.0,61 Vir b,0.050201095991421356,0.3820964061083435,0.0,0.0,234.99696,197.10425
45000.0,61 Vir c,0.21753238306672967,0.2390294748986496,0.0,0.0,197.39093,203.5615
45000.0,61 Vir d,0.4757105760606894,0.306079948805923,0.0,0.0,236.11038,0.87915
50000.0,61 Vir b,0.05020130106440408,0.2735840716129009,0.0,0.0,317.43396,143.73759
