t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5000.0,Barnard d,0.018797567254905886,0.011096862315011552,0.0,0.0,99.58915,19.62317
5000.0,Barnard b,0.022903102042120017,0.009682167682225786,0.0,0.0,355.81752,58.19252
5000.0,Barnard c,0.027398184635775973,0.04647664492696909,0.0,0.0,150.56558,239.00386
5000.0,Barnard e,0.03810288026778352,0.08736569958693624,0.0,0.0,243.85047,72.86454
10000.0,Barnard d,0.018798529393782983,0.04839016995021428,0.0,0.0,223.38856,55.09742
10000.0,Barnard b,0.022898958280832615,0.05482358228316651,0.0,0.0,235.5244,314.33989
10000.0,Barnard c,0.027400781071109527,0.02067611101455322,0.0,0.0,143.30784,1.65705
10000.0,Barnard e,0.038105055507161416,0.06787454346786942,0.0,0.0,104.46058,166.80938
15000.0,Barnard d,0.01879752152993866,0.053779354803234175,0.0,0.0,114.85763,306.12437
15000.0,Barnard b,0.022903011865701445,0.05835902982466428,0.0,0.0,130.31275,252.01883
15000.0,Barnard c,0.027397110560899725,0.036856822225107,0.0,0.0,61.86239,175.30141
15000.0,Barnard e,0.03810403332141162,0.047200192079120865,0.0,0.0,237.47879,19.12592
20000.0,Barnard d,0.018795832334782034,0.012420916210733643,0.0,0.0,133.57472,63.3883
20000.0,Barnard b,0.022901072945376428,0.025072274741556485,0.0,0.0,46.28726,227.97074
20000.0,Barnard c,0.027403151688040084,0.027386220052270562,0.0,0.0,257.75223,262.22773
20000.0,Barnard e,0.03810292187848398,0.09554050727169307,0.0,0.0,89.34505,223.58783
25000.0,Barnard d,0.018797626621767687,0.0731610907902394,0.0,0.0,64.33487,211.35143
25000.0,Barnard b,0.022898983256705897,0.033041093487147,0.0,0.0,37.85285,170.91549
25000.0,Barnard c,0.027402671076116422,0.038625829405708016,0.0,0.0,107.2754,249.56782
25000.0,Barnard e,0.03810366869591527,0.049922615341420125,0.0,0.0,303.83053,44.26512
30000.0,Barnard d,0.018796254813911766,0.07313445861534025,0.0,0.0,323.62527,205.05665
30000.0,Barnard b,0.022898446594262864,0.030369405606818778,0.0,0.0,282.37919,186.70052
30000.0,Barnard c,0.027405766978599998,0.02155149704512732,0.0,0.0,6.14855,189.81791
30000.0,Barnard e,0.03810681705311278,0.06541780834729634,0.0,0.0,75.70149,58.61518
35000.0,Barnard d,0.018793581401285498,0.0244515495710001,0.0,0.0,217.3048,308.59954
35000.0,Barnard b,0.022904066247357188,0.034502084577026144,0.0,0.0,32.2414,228.23746
35000.0,Barnard c,0.027402593083902707,0.02784975978562941,0.0,0.0,49.25495,299.73153
35000.0,Barnard e,0.038101518115810556,0.08955362014807079,0.0,0.0,296.35773,153.60089
40000.0,Barnard d,0.018796029092327676,0.036723702627578854,0.0,0.0,275.70581,95.82194
40000.0,Barnard b,0.022895524135238807,0.05609611231437831,0.0,0.0,257.96269,280.29986
40000.0,Barnard c,0.027408328632522898,0.05759299191439739,0.0,0.0,317.6727,96.21582
40000.0,Barnard e,0.03810594320901747,0.036196420984602636,0.0,0.0,123.17655,164.21167
45000.0,Barnard d,0.01879601457337154,0.05492926508047687,0.0,0.0,176.14779,39.44288
45000.0,Barnard b,0.022900700694199985,0.02652158885350649,0.0,0.0,113.63707,34.897
45000.0,Barnard c,0.02740350234555748,0.020618643717759014,0.0,0.0,249.09433,305.64469
45000.0,Barnard e,0.03810789471041914,0.08256250663317068,0.0,0.0,280.22236,232.92477
50000.0,Barnard d,0.018795453403379132,0.030165671796436557,0.0,0.0,182.99711,125.52133
50000.0,Barnard b,0.022901227477250288,0.05084399675310053,0.0,0.0,261.26108,330.6213
50000.0,Barnard c,0.027401956739879864,0.030274630476457922,0.0,0.0,284.75106,96.14891
50000.0,Barnard e,0.0381067319011065,0.07662334159272101,0.0,0.0,143.88118,282.44245
55000.0,Barnard d,0.01879575558439665,0.05736778328011628,0.0,0.0,134.77572,256.45529
55000.0,Barnard b,0.02290122856514793,0.07180593856793135,0.0,0.0,144.03187,341.2675
55000.0,Barnard c,0.027401627961409214,0.012692710078604796,0.0,0.0,169.57612,84.00655
55000.0,Barnard e,0.03810497838266185,0.039853446523223736,0.0,0.0,284.5339,3.11673
60000.0,Barnard d,0.018795405253692533,0.019070726261694176,0.0,0.0,143.9377,261.61476
60000.0,Barnard b,0.022903367664182557,0.030599665524353635,0.0,0.0,39.09104,231.86419
60000.0,Barnard c,0.02739965032901415,0.02118412506223339,0.0,0.0,280.94705,281.82335
60000.0,Barnard e,0.038105039678702324,0.0948061727480141,0.0,0.0,127.60905,178.91564
65000.0,Barnard d,0.018800231007671586,0.0829479744539255,0.0,0.0,116.47515,299.58449
65000.0,Barnard b,0.022895357961118332,0.029980519981695247,0.0,0.0,80.87416,235.36361
65000.0,Barnard c,0.027402106841946987,0.02155925541423643,0.0,0.0,115.74653,167.57803
65000.0,Barnard e,0.03810506624490741,0.05238401507133607,0.0,0.0,344.07424,201.56721
70000.0,Barnard d,0.018795422837467834,0.022745788069550424,0.0,0.0,72.75825,96.73987
70000.0,Barnard b,0.02290296150727551,0.0519003739048877,0.0,0.0,340.25319,180.95837
70000.0,Barnard c,0.027401950448239454,0.04658147571364163,0.0,0.0,355.77248,242.57432
70000.0,Barnard e,0.03810316363515256,0.0652355904728064,0.0,0.0,115.95742,257.97399
75000.0,Barnard d,0.018794348458074275,0.040940998659057516,0.0,0.0,146.1877,140.37588
75000.0,Barnard b,0.022907203857689025,0.014275958222578336,0.0,0.0,336.89756,189.2033
75000.0,Barnard c,0.027397148093804648,0.03269826484886019,0.0,0.0,49.78982,127.28863
75000.0,Barnard e,0.03810660604941773,0.08802753115593126,0.0,0.0,333.6128,99.7453
80000.0,Barnard d,0.018796240934248493,0.07558258378351539,0.0,0.0,338.87621,48.98725
80000.0,Barnard b,0.022903920045886657,0.02875364249832868,0.0,0.0,352.71189,351.08986
80000.0,Barnard c,0.027397339458900372,0.04920191509053866,0.0,0.0,297.38684,168.7161
80000.0,Barnard e,0.0381072701920027,0.03333135025881679,0.0,0.0,147.12416,15.56902
85000.0,Barnard d,0.01879789675190004,0.027443138849520876,0.0,0.0,265.58983,341.80851
85000.0,Barnard b,0.02289943186690042,0.011127104953783454,0.0,0.0,89.28884,288.47708
85000.0,Barnard c,0.027400207381198513,0.03929805246170926,0.0,0.0,204.01961,304.76698
85000.0,Barnard e,0.03810562969881184,0.08923497536382581,0.0,0.0,319.62862,160.73352
90000.0,Barnard d,0.018794840866928123,0.05069072771393326,0.0,0.0,304.7687,230.82449
90000.0,Barnard b,0.022903322829460934,0.06045459645046889,0.0,0.0,284.93202,321.4238
90000.0,Barnard c,0.027400161708221068,0.003074337656062743,0.0,0.0,337.02216,161.41538
90000.0,Barnard e,0.03810871122456263,0.06592540767971851,0.0,0.0,181.27978,240.89672
95000.0,Barnard d,0.018799912970892688,0.017500822709510352,0.0,0.0,199.10602,237.58202
95000.0,Barnard b,0.022894721132386577,0.056930738690799856,0.0,0.0,206.28341,260.52847
95000.0,Barnard c,0.02740283539188082,0.05349062825747143,0.0,0.0,161.60706,203.9893
95000.0,Barnard e,0.03811015042773447,0.052649814055652645,0.0,0.0,314.13861,25.10618
100000.0,Barnard d,0.018795769137516988,0.0370483504264074,0.0,0.0,333.39117,184.818
100000.0,Barnard b,0.022902076707681913,0.02501607024530616,0.0,0.0,229.24601,54.80875
100000.0,Barnard c,0.027401140336794264,0.021907212908676324,0.0,0.0,107.10147,50.31622
100000.0,Barnard e,0.03810795286235671,0.09172771631646011,0.0,0.0,167.14916,50.10877
105000.0,Barnard d,0.01879304798787836,0.06390784877485634,0.0,0.0,191.03919,57.76991
105000.0,Barnard b,0.02290351823792692,0.03903632086907301,0.0,0.0,122.59726,31.63131
105000.0,Barnard c,0.027404885845153687,0.048952648233344116,0.0,0.0,131.4846,80.93007
105000.0,Barnard e,0.03810547578387822,0.04417417392793036,0.0,0.0,11.32305,151.25553
110000.0,Barnard d,0.018794215915250167,0.04023355742765381,0.0,0.0,61.91131,160.17984
110000.0,Barnard b,0.022903111156757548,0.01208318733372066,0.0,0.0,91.26453,263.11489
110000.0,Barnard c,0.027401500702208658,0.05371371543385009,0.0,0.0,19.1843,106.4122
110000.0,Barnard e,0.0381070454001412,0.07244648838406427,0.0,0.0,153.18533,349.66723
115000.0,Barnard d,0.018796157319379878,0.04944607435200275,0.0,0.0,141.86212,297.4672
115000.0,Barnard b,0.022902513304870132,0.0319238038384058,0.0,0.0,70.63577,25.54991
115000.0,Barnard c,0.027402042105867823,0.008984212161363452,0.0,0.0,248.80043,228.67374
115000.0,Barnard e,0.03810891077677941,0.08667891178644486,0.0,0.0,15.87438,75.80307
120000.0,Barnard d,0.01880079004372953,0.07260671858212496,0.0,0.0,37.0995,309.23864
120000.0,Barnard b,0.022895441546556802,0.03575715449553428,0.0,0.0,341.03595,258.47967
120000.0,Barnard c,0.027401817230915674,0.0476736391737659,0.0,0.0,347.42261,351.38499
120000.0,Barnard e,0.038104273403086454,0.034087810241891316,0.0,0.0,185.49934,340.31126
125000.0,Barnard d,0.01879599493531329,0.008680315425126529,0.0,0.0,321.0591,321.63796
125000.0,Barnard b,0.02290348220609862,0.024623090704394463,0.0,0.0,175.23932,128.97342
125000.0,Barnard c,0.027402549854872674,0.04488170053482688,0.0,0.0,271.99224,37.31161
125000.0,Barnard e,0.03810350740463949,0.0864289676523652,0.0,0.0,359.97767,91.39783
130000.0,Barnard d,0.018796104540070007,0.04619934318608426,0.0,0.0,350.62542,154.61812
130000.0,Barnard b,0.02290377590413464,0.031128043434124515,0.0,0.0,23.42329,170.90263
130000.0,Barnard c,0.02739655887586656,0.04585167391291981,0.0,0.0,289.19156,74.43199
130000.0,Barnard e,0.03810975690681922,0.06972064676790443,0.0,0.0,218.7448,212.90795
135000.0,Barnard d,0.018795074333043102,0.04168474848829191,0.0,0.0,197.55809,181.39839
135000.0,Barnard b,0.022901962910159137,0.020540190546187644,0.0,0.0,249.92291,70.97599
135000.0,Barnard c,0.027403304887691424,0.06853361911728381,0.0,0.0,225.11567,185.02632
135000.0,Barnard e,0.03810454831907124,0.045658338004779794,0.0,0.0,1.94398,281.3232
140000.0,Barnard d,0.018800988265601944,0.0354937898453009,0.0,0.0,94.36075,12.3159
140000.0,Barnard b,0.02289379281411703,0.024848004515677778,0.0,0.0,345.65816,351.90525
140000.0,Barnard c,0.027401741869619033,0.02071663148204335,0.0,0.0,218.37079,58.68959
140000.0,Barnard e,0.03810723759016157,0.09231617568849239,0.0,0.0,204.67656,307.05156
