t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5000.0,Barnard d,0.018799769466981992,0.01625636729631999,0.0,0.0,358.05256,282.963
5000.0,Barnard b,0.022899695533578172,0.01941041498484879,0.0,0.0,292.46928,178.24815
5000.0,Barnard c,0.02739895693210016,0.013944024022788628,0.0,0.0,186.85926,99.52934
5000.0,Barnard e,0.03810271397494988,0.04920498827425682,0.0,0.0,171.33923,112.94448
10000.0,Barnard d,0.018799860013775968,0.01574264932696897,0.0,0.0,42.61761,271.11668
10000.0,Barnard b,0.022899578612465495,0.025581433094060486,0.0,0.0,123.80445,172.40204
10000.0,Barnard c,0.027400267763986526,0.03189451102315993,0.0,0.0,103.89753,228.13676
10000.0,Barnard e,0.038101078529869596,0.030029433958369996,0.0,0.0,230.10694,256.58206
15000.0,Barnard d,0.01879716348796118,0.02247532751316546,0.0,0.0,195.84556,144.84306
15000.0,Barnard b,0.022902455099319142,0.0223505305121342,0.0,0.0,103.93216,29.77432
15000.0,Barnard c,0.02739897964674359,0.022814342209811187,0.0,0.0,102.77022,271.28454
15000.0,Barnard e,0.03810433384366793,0.04008051402423601,0.0,0.0,10.21473,335.86318
20000.0,Barnard d,0.018796905098929693,0.01396374248278681,0.0,0.0,224.29472,153.91594
20000.0,Barnard b,0.02290221764800007,0.025818969379486346,0.0,0.0,302.29674,15.43358
20000.0,Barnard c,0.027400098460594435,0.020235302542433563,0.0,0.0,350.56881,84.18691
20000.0,Barnard e,0.03810141182767283,0.04315390031925472,0.0,0.0,62.06305,148.3323
25000.0,Barnard d,0.01879918540537164,0.020099190597654495,0.0,0.0,4.14237,40.56149
25000.0,Barnard b,0.022897688246684925,0.014060223628003524,0.0,0.0,308.23004,218.38252
25000.0,Barnard c,0.027401562193460464,0.03793491206242815,0.0,0.0,331.67979,142.14108
25000.0,Barnard e,0.03810554564756505,0.026396463379174718,0.0,0.0,197.11151,233.78792
30000.0,Barnard d,0.01879824241160854,0.011765506483301675,0.0,0.0,101.4776,327.55474
30000.0,Barnard b,0.02290127975312068,0.016767242951020823,0.0,0.0,90.71506,272.15524
30000.0,Barnard c,0.02739880229244207,0.01692284527001037,0.0,0.0,248.60614,253.3849
30000.0,Barnard e,0.038101918464369305,0.05021185715607695,0.0,0.0,262.34146,42.32874
35000.0,Barnard d,0.01879835485163796,0.02267074411079488,0.0,0.0,159.72634,298.13864
35000.0,Barnard b,0.022900832672201988,0.014822902746986005,0.0,0.0,210.13949,4.77713
35000.0,Barnard c,0.0273996274720471,0.039097749310628635,0.0,0.0,187.64081,346.87403
35000.0,Barnard e,0.03810495152078811,0.020486141603351726,0.0,0.0,352.78433,179.70503
40000.0,Barnard d,0.018799458776557636,0.01490335251974576,0.0,0.0,321.29631,179.86491
40000.0,Barnard b,0.02290084092013822,0.019126995275740105,0.0,0.0,224.03362,191.55938
40000.0,Barnard c,0.02739747063200702,0.015651542118700373,0.0,0.0,159.27821,46.72157
40000.0,Barnard e,0.03810215233119174,0.048614146566260986,0.0,0.0,103.80349,299.55323
45000.0,Barnard d,0.018799680718533586,0.023715366787073932,0.0,0.0,337.75917,203.83046
45000.0,Barnard b,0.02289979062203449,0.02640092488750237,0.0,0.0,52.07688,205.86819
45000.0,Barnard c,0.02739889198163315,0.026430084898212077,0.0,0.0,53.90381,175.48174
45000.0,Barnard e,0.038105154298941735,0.031487001096638496,0.0,0.0,160.91013,129.62278
50000.0,Barnard d,0.018799880515277145,0.013847163699560648,0.0,0.0,134.00363,98.98357
50000.0,Barnard b,0.022899152580005567,0.022224959417907454,0.0,0.0,33.83515,42.84209
50000.0,Barnard c,0.02739840601833798,0.02749058763447529,0.0,0.0,55.72073,220.47982
