t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
0.5,Alpha Centauri B,23.626381148629513,0.5168773340896898,79.21224,-155.13902,231.76961,8.02273
0.5,Alpha Centauri A b,1.5900717741576504,0.08729173836664973,63.2505,-155.01648,300.39534,11.04206
0.5,Dante,0.0007345111376496247,0.02207404925217112,58.23744,-163.67933,352.84867,9.199
0.5,Hades,0.0009890463889469928,0.04428180290523038,68.82595,-150.08587,138.08642,224.31813
0.5,Pandora,0.001687144099446179,0.004879373566809484,55.44621,-163.04846,258.30604,23.44156
0.5,Cassandra,0.00398036505846237,0.027105698583054713,122.08364,21.78682,224.26747,157.16645
0.5,Chaos,0.010234207932651567,0.004943298625452736,117.83951,24.84892,212.23663,131.35735
1.0,Alpha Centauri B,23.52345627643557,0.5148231984959493,79.21221,-155.13972,231.66628,16.1556
1.0,Alpha Centauri A b,1.61144620493056,0.09280949383552128,63.32932,-154.97691,303.93622,109.24832
1.0,Dante,0.0007367937120492451,0.016892902196786356,60.4216,-145.4626,336.04611,322.55946
1.0,Hades,0.000990940218910156,0.03866485045217174,65.51026,-143.17531,302.37108,294.91438
1.0,Pandora,0.001687270215276943,0.005369939415844655,65.45835,-144.29982,315.37921,342.26624
1.0,Cassandra,0.003922308664008568,0.03922772134252314,120.03965,21.77196,259.31458,23.1207
1.0,Chaos,0.010461212262884502,0.0084368039194818,117.92965,24.99661,124.01488,315.70197
1.5,Alpha Centauri B,23.56869783162465,0.5158350263358077,79.2088,-155.15015,231.59864,24.04335
1.5,Alpha Centauri A b,1.6119762707373273,0.09742641030442808,63.33121,-154.90169,303.77393,189.22389
1.5,Dante,0.0007339970302048587,0.011343981530255792,71.71398,-157.42244,189.37228,60.61753
1.5,Hades,0.000995685622991259,0.031158272809540467,59.68837,-147.88319,99.00809,30.0539
1.5,Pandora,0.0016872987052665225,0.0008798101019803832,68.33051,-164.91794,33.61245,298.6651
1.5,Cassandra,0.003914192840682309,0.03965904627621874,118.17937,18.63812,280.25094,252.62456
1.5,Chaos,0.010064903224822164,0.013215942504736374,118.07893,24.73509,267.89341,271.37738
2.0,Alpha Centauri B,23.667513832509275,0.5177519458516804,79.20847,-155.15094,231.70439,31.46753
2.0,Alpha Centauri A b,1.610759044496814,0.1044550094148184,63.28756,-154.86826,300.51384,275.90266
2.0,Dante,0.0007359130946225456,0.027877797946630135,56.73583,-162.04064,199.75662,1.81364
2.0,Hades,0.0010022044189472285,0.014016954806471702,52.84959,-150.64712,307.29278,55.76157
2.0,Pandora,0.001687173603660184,0.004201685976496114,53.84991,-150.63391,292.53922,58.71827
2.0,Cassandra,0.00396506497978307,0.0455432996076918,117.62146,19.72908,312.72182,130.02323
2.0,Chaos,0.010243222583812913,0.025649032898248002,118.03984,24.63319,281.02507,3.0877
2.5,Alpha Centauri B,23.63383631458036,0.5168470687158426,79.20925,-155.13634,231.80555,38.54424
2.5,Alpha Centauri A b,1.5960992538768897,0.10012509337978404,63.29496,-154.70693,297.32819,28.40812
2.5,Dante,0.0007349003850384059,0.013243650051325823,62.43763,-145.48233,199.26785,302.70101
2.5,Hades,0.0009951705644259566,0.020372220122650907,56.5786,-158.55098,251.97975,349.1989
2.5,Pandora,0.0016874291111067029,0.0051322901774311785,73.00151,-152.12902,24.86769,352.98387
2.5,Cassandra,0.004015149007006462,0.06817537942652263,113.8685,20.14126,324.05842,17.22109
2.5,Chaos,0.010517988826703765,0.03167444315383274,117.83161,24.52819,322.74741,60.64108
3.0,Alpha Centauri B,23.531352359100865,0.514999393043228,79.20974,-155.14038,231.63599,45.50134
3.0,Alpha Centauri A b,1.596619313599692,0.1037550794897338,63.35536,-154.65524,298.51535,125.90794
3.0,Dante,0.0007345058570104343,0.014108323877012314,70.84203,-159.34584,48.36365,56.60329
3.0,Hades,0.000990534752364507,0.02247402047963252,58.2872,-166.44972,45.69592,87.56613
3.0,Pandora,0.0016872628814461096,0.0030184097399819543,58.10832,-165.31016,139.3668,271.19994
3.0,Cassandra,0.003971996665343703,0.05624926787907364,113.69071,20.00762,326.33665,269.27972
3.0,Chaos,0.00997524005857951,0.03923971722180815,117.98291,24.61651,271.66436,207.51909
3.5,Alpha Centauri B,23.56093069050789,0.5158184136405382,79.21173,-155.15177,231.57864,51.93745
