t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5.0,Alpha Centauri B,23.539134272777424,0.5151841604398288,79.2088,-155.14196,231.61818,68.6393
5.0,Alpha Centauri A b,1.6028387937142,0.10817126174364056,63.27411,-154.47471,303.37084,131.89865
5.0,Dante,0.0007346097854957329,0.01818544016939546,55.28655,-158.30821,259.56517,324.48404
5.0,Hades,0.0009900569374358397,0.05219757530166929,72.12264,-148.03537,283.45076,111.02218
5.0,Pandora,0.0016872176980501298,0.0018493224947906087,71.76827,-149.16952,55.43337,90.64005
5.0,Cassandra,0.004008049173792527,0.03247480635503399,113.7899,27.72651,103.4371,109.51369
5.0,Chaos,0.010453680408640807,0.04439560641727825,119.29687,22.82424,216.51395,299.57791
10.0,Alpha Centauri B,23.638723406502567,0.5169006827717122,79.20801,-155.14435,231.80566,105.00632
10.0,Alpha Centauri A b,1.614100619399804,0.10631408570954336,63.14658,-154.32467,303.79023,325.10787
10.0,Dante,0.0007359579675329977,0.020551015571487745,69.79708,-148.47232,265.02578,331.87424
10.0,Hades,0.0009890132377051554,0.03281181252755101,66.75939,-143.66907,260.79458,212.95653
10.0,Pandora,0.0016873475744243894,0.0028646603368502875,67.33322,-145.08759,295.68168,107.00792
10.0,Cassandra,0.004012161588676839,0.0685044986133381,116.48736,22.62071,300.58903,354.2632
10.0,Chaos,0.010064923989700504,0.03963212081643785,117.70939,21.6875,294.8626,144.87724
15.0,Alpha Centauri B,23.555270849804554,0.5159473778219564,79.2202,-155.14473,231.55989,126.43812
15.0,Alpha Centauri A b,1.6159461471484289,0.09478988540153384,63.10612,-154.31483,305.90392,180.15063
15.0,Dante,0.0007354557461443908,0.011049867427826304,60.87535,-164.18633,89.78965,37.44071
15.0,Hades,0.0009881967509430458,0.04655677160066465,60.52926,-143.04207,167.96711,217.56606
15.0,Pandora,0.0016873083505766857,0.0028846337899486657,61.46843,-143.80079,236.18307,63.57755
15.0,Cassandra,0.003999867618119091,0.03745229566825673,118.97592,28.55128,139.91948,243.19382
15.0,Chaos,0.010469571108480251,0.04712725499740858,115.98262,21.7365,352.7538,7.02495
20.0,Alpha Centauri B,23.626248407775556,0.5154822054116966,79.18822,-155.14962,231.86046,140.80963
20.0,Alpha Centauri A b,1.6143668689670365,0.10393006103366306,63.12222,-154.34031,309.00507,34.02603
20.0,Dante,0.0007355952972773131,0.027208141793084496,61.58426,-145.31283,358.65495,349.21688
20.0,Hades,0.0009884601143037616,0.04933770899694782,54.96034,-146.60352,79.94871,216.04977
20.0,Pandora,0.001687088269049183,0.004235543046005163,56.25414,-146.77481,142.13872,55.14761
20.0,Cassandra,0.0039954025972283435,0.04481683013702328,114.54182,25.24239,58.91878,58.07473
20.0,Chaos,0.010057690451878534,0.007580276616005293,114.42799,23.06636,8.62799,266.06589
25.0,Alpha Centauri B,23.560234789475953,0.5169813781837442,79.22976,-155.13548,231.55857,152.5825
25.0,Alpha Centauri A b,1.6030942588235582,0.1046540081703071,63.16043,-154.3399,305.50132,232.00918
25.0,Dante,0.0007362791829345783,0.024151583511102775,69.05777,-161.59446,67.07284,17.76771
25.0,Hades,0.0009997264435259836,0.04636212484172457,52.34103,-153.23733,71.93683,15.61033
25.0,Pandora,0.001687101833965886,0.002826816368990582,53.20324,-153.0878,38.7564,59.6439
25.0,Cassandra,0.003983793755101927,0.06270295067324684,120.11766,22.94941,250.66711,304.18106
25.0,Chaos,0.010436946787115334,0.016373827917568758,113.55741,24.91686,285.08309,272.50842
30.0,Alpha Centauri B,23.611886369532044,0.5145946218809476,79.19549,-155.1541,231.74581,162.14664
30.0,Alpha Centauri A b,1.5971252967572012,0.09931101159592595,63.18722,-154.30436,302.54109,106.37571
30.0,Dante,0.0007351006468225018,0.01840196091056815,54.43091,-153.49232,91.99012,26.09695
30.0,Hades,0.0009898770975701034,0.028174741772665254,53.15092,-160.29439,1.68638,294.45131
30.0,Pandora,0.0016871844833406988,0.003077878653992396,54.08888,-160.14054,322.82423,37.69392
30.0,Cassandra,0.003967717372720395,0.032258198432586774,117.27706,27.66768,111.47764,178.92809
30.0,Chaos,0.010098568067268618,0.040599843001366986,113.74009,26.90063,23.29582,97.11131
35.0,Alpha Centauri B,23.564516303651562,0.5175744556694136,79.21792,-155.13716,231.66902,171.03441
35.0,Alpha Centauri A b,1.594945112834004,0.09693574466901786,63.20238,-154.28278,308.13881,289.58458
35.0,Dante,0.0007359891803554003,0.027403051539121544,70.62078,-151.02061,67.83484,4.13537
35.0,Hades,0.000999405927260636,0.0664603276385503,56.7092,-165.47893,251.97273,2.24974
35.0,Pandora,0.0016871371085760813,0.004490362429725349,58.33119,-165.3672,202.82975,56.24354
35.0,Cassandra,0.003959523233992197,0.04988905391695022,115.46572,21.23168,5.93812,10.97756
35.0,Chaos,0.010392692856724107,0.05027945570563612,114.90058,28.34267,68.57424,327.76981
40.0,Alpha Centauri B,23.602483006955826,0.5150575443020559,79.21305,-155.13998,231.61644,179.4776
40.0,Alpha Centauri A b,1.6004700727005117,0.10521143435809033,63.19444,-154.27639,305.75479,157.49017
40.0,Dante,0.0007354653196922314,0.02054521574814851,60.19664,-164.65059,27.97129,335.02208
40.0,Hades,0.0009909599983929528,0.02337223962794789,61.59551,-167.37824,111.70065,150.66451
40.0,Pandora,0.0016868895614833388,0.00409465578073155,64.00368,-166.36332,99.27214,58.31249
40.0,Cassandra,0.003941982012535435,0.055434309152462356,119.69645,24.50428,208.36026,250.18839
40.0,Chaos,0.01012460091858204,0.024072701182974818,116.71422,28.91823,130.44619,184.42075
45.0,Alpha Centauri B,23.57439373239983,0.5165066739101296,79.19992,-155.16175,231.778,187.68127
45.0,Alpha Centauri A b,1.6086160985369564,0.10315703741320784,63.21836,-154.28405,303.30925,6.86061
45.0,Dante,0.000736047185275413,0.026149954049844423,62.06133,-145.79015,77.72662,357.62905
45.0,Hades,0.0009982121697617804,0.06346196551014777,67.28613,-166.26691,75.9692,326.77727
45.0,Pandora,0.0016870333439053412,0.0055485669527628985,69.53171,-163.74858,21.87192,32.04534
45.0,Cassandra,0.003932402178450031,0.03538126496530005,113.64465,25.72159,78.68607,118.93244
45.0,Chaos,0.010382732653881939,0.014320801863857901,118.58823,28.35131,189.15152,49.32926
50.0,Alpha Centauri B,23.59538760320132,0.516169960207062,79.21753,-155.12432,231.59034,196.59189
50.0,Alpha Centauri A b,1.6131767365133867,0.09649397390330877,63.25107,-154.2616,303.81468,209.89557
50.0,Dante,0.0007342405527586059,0.016704914809051483,69.53849,-161.96304,164.69347,53.17797
50.0,Hades,0.0009948820355465283,0.034703542340549,71.79129,-162.363,91.91651,14.40597
50.0,Pandora,0.001687219232227304,0.006301871485752544,72.75639,-158.75674,276.8956,31.51004
50.0,Cassandra,0.003920975424858234,0.04828487778922122,116.5638,21.30594,317.79524,317.23343
50.0,Chaos,0.010176847528355615,0.03188055604649878,119.85801,26.96032,121.16677,33.96748
55.0,Alpha Centauri B,23.591839703687494,0.5151019786804526,79.20468,-155.1675,231.68481,206.08288
