t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5.0,Alpha Centauri B,23.539133092525287,0.5151841546587587,79.2088,-155.14196,231.61817,68.63941
5.0,Alpha Centauri A b,1.602613752739793,0.10824703801291279,63.27391,-154.47556,303.30476,131.96767
5.0,Dante,0.0006681999084985677,0.020970612304852098,71.56413,-151.52537,11.45948,39.48191
5.0,Hades,0.0009013514274780585,0.04850498596003126,62.03736,-143.6876,56.35379,146.19426
5.0,Pandora,0.0016872276858011027,0.001854816006182358,71.73307,-149.11049,54.07794,90.78028
5.0,Cassandra,0.004008017359161666,0.032274154468283904,113.79366,27.73259,103.30879,109.32245
5.0,Chaos,0.00999577892979453,0.1291845651779612,119.37226,22.87161,216.242,200.38351
10.0,Alpha Centauri B,23.638724988799183,0.5169006713272506,79.20801,-155.14435,231.80567,105.00632
10.0,Alpha Centauri A b,1.6135450349943175,0.10597106826546938,63.14655,-154.32565,303.80201,325.09931
10.0,Dante,0.0006681684973270123,0.019265690314956976,66.34994,-145.82789,61.30864,42.23969
10.0,Hades,0.000909210881961606,0.05026813769435891,54.14389,-157.34935,113.11282,297.11049
10.0,Pandora,0.0016874455658855828,0.0029735945520022664,67.21433,-145.02552,296.44358,102.0389
10.0,Cassandra,0.0040107881455501435,0.06824029569832729,116.50223,22.62204,301.06204,352.49102
10.0,Chaos,0.010426580533208066,0.11782847907164773,117.70439,22.03079,250.84693,352.53488
15.0,Alpha Centauri B,23.5552704445036,0.5159474012611002,79.2202,-155.14473,231.55989,126.4381
15.0,Alpha Centauri A b,1.6158254759395625,0.0948703332310752,63.10521,-154.31345,306.14073,179.91481
15.0,Dante,0.0006683314762253878,0.02869010366545835,58.35544,-146.6087,49.24235,354.4379
15.0,Hades,0.0009018855625969679,0.04573134426089759,65.22043,-164.49223,212.71263,194.78456
15.0,Pandora,0.0016873376246540036,0.0031174966192009253,61.27082,-143.82587,232.28123,60.31273
15.0,Cassandra,0.003994845336426939,0.038756754175811,118.99682,28.55139,141.08623,240.11952
15.0,Chaos,0.010563139723044093,0.07181299220798798,115.76171,21.99172,293.49853,136.4426
20.0,Alpha Centauri B,23.626248520479063,0.5154821062461236,79.18822,-155.14962,231.86046,140.80964
20.0,Alpha Centauri A b,1.6152858231531313,0.10455043696566421,63.11814,-154.33892,308.96734,34.06936
20.0,Dante,0.000669298865515606,0.02494627929323632,54.22246,-154.9954,41.57469,333.60532
20.0,Hades,0.0009057296611476548,0.05758931597873658,72.18127,-153.40716,312.18376,42.52578
20.0,Pandora,0.0016870403211774372,0.00441701860350739,56.05176,-146.99113,137.88862,51.41125
20.0,Cassandra,0.00398753785232839,0.04316589251163438,114.56554,25.20564,57.29711,57.35567
20.0,Chaos,0.010322876267386066,0.09954609547449533,114.40894,23.21386,288.1693,307.80023
25.0,Alpha Centauri B,23.56023470267786,0.5169814463456237,79.22976,-155.13548,231.55857,152.58249
25.0,Alpha Centauri A b,1.605000413918765,0.10394486028420927,63.15271,-154.33952,304.93339,232.58138
25.0,Dante,0.000668408932398193,0.007865696986522872,58.42625,-163.64961,270.2356,33.02542
25.0,Hades,0.0009045881793247057,0.045400395344153556,61.9411,-143.93069,4.71598,324.06689
25.0,Pandora,0.0016868317432065865,0.0031143488594896677,53.14716,-153.508,30.52473,57.10147
25.0,Cassandra,0.003970604101693679,0.06117034720617758,120.11265,22.91269,253.21456,298.33424
25.0,Chaos,0.009979697981371185,0.11129479778486046,113.48139,25.09309,317.05616,123.31877
30.0,Alpha Centauri B,23.61188537925594,0.5145946304483972,79.19549,-155.1541,231.7458,162.14663
30.0,Alpha Centauri A b,1.5992076891403164,0.09859908383784008,63.18327,-154.30942,303.27204,105.65135
30.0,Dante,0.0006685016066333432,0.027936696210243053,66.52997,-164.0817,202.64023,22.19722
30.0,Hades,0.0009033854629909295,0.04247781831889526,52.38887,-155.12006,85.95158,219.35334
30.0,Pandora,0.0016870703465182708,0.003341219397273973,54.28294,-160.5713,310.90254,35.88028
