t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5.0,Alpha Centauri B,23.539134256827424,0.5151841603465033,79.2088,-155.14196,231.61818,68.6393
5.0,Alpha Centauri A b,1.6028388523856174,0.10817100230000883,63.27411,-154.47471,303.37081,131.89871
5.0,Dante,0.0007346093365731299,0.018192631225607617,55.28656,-158.30802,259.59759,324.49186
5.0,Hades,0.0009900635494365874,0.05221485019878683,72.12264,-148.03533,283.49151,110.91555
5.0,Pandora,0.0016872176022163707,0.001849278459464757,71.76827,-149.16952,55.43107,90.64378
5.0,Cassandra,0.0040080494701064525,0.03247279999166493,113.78991,27.72651,103.4408,109.5152
5.0,Chaos,0.009998017671049637,0.12905997104684047,119.37516,22.87581,216.0639,200.39096
10.0,Alpha Centauri B,23.638723453842957,0.5169006824375862,79.20801,-155.14435,231.80566,105.00632
10.0,Alpha Centauri A b,1.6140998625968748,0.106312025814758,63.14658,-154.32465,303.78863,325.10954
10.0,Dante,0.0007357212342302873,0.021528009646411578,69.81378,-148.52565,273.96256,337.75083
10.0,Hades,0.0009905587678634372,0.024512051425510373,66.70919,-143.61385,276.61043,179.3331
10.0,Pandora,0.0016873646496768815,0.0028629976454382935,67.33323,-145.08758,295.81315,106.87856
10.0,Cassandra,0.004012192014080222,0.06851178357421014,116.4873,22.62075,300.59873,354.26601
10.0,Chaos,0.010444061118703,0.11938876014127854,117.70817,22.0349,250.51473,352.50936
15.0,Alpha Centauri B,23.55527082779885,0.5159473791159054,79.2202,-155.14473,231.55989,126.43812
15.0,Alpha Centauri A b,1.6159941799669644,0.09475728410841847,63.10617,-154.31491,305.9109,180.14378
15.0,Dante,0.0007364431673649712,0.025910368464972248,59.91796,-163.81307,330.17157,346.07301
15.0,Hades,0.0009913363196619633,0.046228695083175744,59.94449,-143.21239,116.09849,68.73054
15.0,Pandora,0.001687423248943156,0.002925225132214121,61.46867,-143.80133,237.19721,62.52346
15.0,Cassandra,0.004000054765314805,0.037484697318617546,118.97556,28.55118,139.82225,243.30734
15.0,Chaos,0.010560987190521549,0.07349976528704166,115.76058,21.98252,294.33847,135.28556
20.0,Alpha Centauri B,23.626248411464033,0.5154822027551955,79.18822,-155.14962,231.86046,140.80963
20.0,Alpha Centauri A b,1.614399497346074,0.10394787722547619,63.1221,-154.34027,309.00815,34.0231
20.0,Dante,0.0007356062116911341,0.028563471137220256,63.55968,-145.30058,13.73903,354.66151
20.0,Hades,0.0009921244852992043,0.04291261611178195,54.2455,-147.80786,122.40788,112.47273
20.0,Pandora,0.0016871168708244909,0.004242162360033627,56.25396,-146.77476,142.23929,54.97416
20.0,Cassandra,0.003995348630584475,0.0447780690929164,114.54204,25.24202,58.92533,58.09145
20.0,Chaos,0.010288336682119243,0.09679140999860167,114.39655,23.1916,289.39384,305.89155
25.0,Alpha Centauri B,23.560234786182043,0.516981380688271,79.22976,-155.13548,231.55857,152.5825
25.0,Alpha Centauri A b,1.603116806737222,0.10463623831532748,63.16037,-154.3399,305.49734,232.01333
25.0,Dante,0.0007355548459008676,0.02536367566951379,66.28913,-163.79797,67.51399,358.97869
25.0,Hades,0.0009946302790312283,0.046093966859994916,52.32136,-156.1648,315.23109,331.7015
25.0,Pandora,0.0016870109189434795,0.0028098648469701026,53.20335,-153.08746,38.22295,60.11753
25.0,Cassandra,0.003983610523028837,0.06265670332857513,120.1175,22.94932,250.69688,304.18269
25.0,Chaos,0.00996652829946689,0.10931026043984134,113.47291,25.04863,315.83061,123.85671
30.0,Alpha Centauri B,23.61188631995029,0.5145946222970905,79.19549,-155.1541,231.74581,162.14664
30.0,Alpha Centauri A b,1.5970863202621957,0.09931180265704448,63.18729,-154.30427,302.52685,106.39012
30.0,Dante,0.0007347281760059777,0.022378796582449928,56.84087,-148.34071,57.8908,348.75224
30.0,Hades,0.0009886648061780722,0.054373230548873115,55.06674,-163.70373,306.20296,112.97027
30.0,Pandora,0.0016872795708862134,0.00309695455025291,54.08858,-160.14034,323.73086,36.75356
30.0,Cassandra,0.003967921256041403,0.03220593194610342,117.27721,27.6674,111.42273,179.01513
30.0,Chaos,0.010164096951163059,0.11871554528786406,113.84427,26.78601,1.06821,238.52187
35.0,Alpha Centauri B,23.564516353680897,0.5175744544087635,79.21792,-155.13716,231.66902,171.03441
35.0,Alpha Centauri A b,1.5949578413606398,0.09693515824671682,63.20233,-154.28285,308.13348,289.59022
35.0,Dante,0.000735225055631369,0.02057395813284562,71.26921,-158.13093,67.50046,315.50578
35.0,Hades,0.0009918911072728694,0.01172548963245392,61.14439,-167.26561,294.37657,212.77905
35.0,Pandora,0.0016871079813172666,0.004489028950559341,58.33056,-165.36648,202.89715,56.20918
35.0,Cassandra,0.003959660900441583,0.04991796731174071,115.46591,21.23172,5.93793,11.02024
35.0,Chaos,0.010581508754033079,0.1272338281236073,115.27406,28.42473,42.54378,39.63683
40.0,Alpha Centauri B,23.602482924920942,0.5150575495239306,79.21305,-155.13998,231.61644,179.4776
40.0,Alpha Centauri A b,1.6004566057817071,0.10522052760747268,63.19444,-154.27639,305.75351,157.4917
40.0,Dante,0.0007347880482542214,0.01782465101223813,55.03832,-158.76519,87.19571,327.73401
