t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5.0,Alpha Centauri B,23.53913390468126,0.5151841600594304,79.2088,-155.14196,231.61818,68.63931
5.0,Alpha Centauri A b,1.6028463446299228,0.10816277675911012,63.27368,-154.47511,303.37229,131.89834
5.0,Dante,0.0007345758850117889,0.020153343685460318,55.34607,-158.42184,267.31702,328.31785
5.0,Hades,0.0009915072061047038,0.05543176854515094,71.87349,-147.65346,288.31287,89.53777
5.0,Pandora,0.0016871761227341812,0.0020055199913121147,71.78558,-148.95539,44.35199,101.03793
5.0,Cassandra,0.004007567161931307,0.03220852217145084,112.25481,29.13556,100.14748,108.68813
5.0,Chaos,0.01000451502341092,0.1283946614048929,117.82156,24.04854,216.73121,202.1788
10.0,Alpha Centauri B,23.638724831684197,0.5169006755011168,79.20801,-155.14435,231.80567,105.00632
10.0,Alpha Centauri A b,1.6140846206966415,0.10632188237912307,63.14616,-154.32651,303.80789,325.09327
10.0,Dante,0.0007342883847941815,0.003204596428766858,70.36637,-149.4589,209.98483,301.79652
10.0,Hades,0.0009908888707230096,0.024111877178452888,65.16335,-143.13913,270.24493,185.15812
10.0,Pandora,0.0016873607923356296,0.003557116130601673,67.06536,-144.94954,293.51621,107.98221
10.0,Cassandra,0.004007744623566554,0.06772976012345948,116.76339,20.42314,293.86086,350.05108
10.0,Chaos,0.010478020194228364,0.12106802030212703,116.94225,24.0839,252.23367,357.16986
15.0,Alpha Centauri B,23.555270362736387,0.5159474148052611,79.2202,-155.14473,231.55989,126.43812
15.0,Alpha Centauri A b,1.6157256877647659,0.09493920232196541,63.10462,-154.31333,305.91845,180.13786
15.0,Dante,0.0007354732603550671,0.019569318288102308,58.22773,-162.93571,61.57601,24.45796
15.0,Hades,0.000991257370486001,0.04453511623443227,57.43482,-144.49485,115.22396,73.16862
15.0,Pandora,0.001687260285878529,0.0034790499008147324,60.97162,-143.74031,229.66822,68.24806
15.0,Cassandra,0.003990059867497676,0.039579280620152806,120.02324,30.52254,134.21887,235.88005
15.0,Chaos,0.010538182288085092,0.07319403071146911,116.07032,24.01637,293.35716,142.89725
20.0,Alpha Centauri B,23.626248552034625,0.5154821359070614,79.18822,-155.14962,231.86046,140.80963
20.0,Alpha Centauri A b,1.6142173681433036,0.10391691049335151,63.11865,-154.33941,308.91918,34.1161
20.0,Dante,0.0007342298084949154,0.01642858399147848,66.70841,-146.37163,84.81277,41.58086
20.0,Hades,0.0009914468387113196,0.022341969198026272,52.76013,-152.51083,35.95059,66.80067
20.0,Pandora,0.001687109370170251,0.004701248178281716,55.81856,-147.26677,144.45954,50.66426
20.0,Cassandra,0.003978361598485403,0.04192997247204417,112.63277,24.52451,42.06152,55.27572
20.0,Chaos,0.010230620897564205,0.09575751434710889,115.78574,24.75422,292.3222,313.86904
