t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5.0,Alpha Centauri B,23.539133848740697,0.5151841597196001,79.2088,-155.14196,231.61818,68.63931
5.0,Alpha Centauri A b,1.6021739125722987,0.1083803067100549,63.27318,-154.47725,303.16871,132.10299
5.0,Dante,0.0007359070777636992,0.026946546074539588,55.21423,-157.72296,322.02756,18.88476
5.0,Hades,0.0009918227512631462,0.041672447156504644,73.37011,-157.3782,141.80759,330.85284
5.0,Pandora,0.0016871526030818981,0.0021890746656440564,71.78116,-148.94891,44.38464,97.13995
5.0,Cassandra,0.004006870057440784,0.0315300069822131,112.25673,29.13667,99.43392,109.24779
5.0,Chaos,0.01044923326135674,0.04491460282461754,117.74842,23.99515,219.22398,299.8858
10.0,Alpha Centauri B,23.638725023724326,0.5169006741130102,79.20801,-155.14435,231.80567,105.00632
10.0,Alpha Centauri A b,1.6128137995365412,0.10558032323955546,63.14611,-154.32852,303.87941,325.02297
10.0,Dante,0.0007354493134034888,0.012394317693558669,70.46866,-149.46953,232.79367,312.94035
10.0,Hades,0.0009919773821030248,0.0289578077485501,70.6577,-159.88485,256.36158,313.16008
10.0,Pandora,0.0016871915735888257,0.003940949920685756,67.05562,-144.94572,293.41571,100.33187
10.0,Cassandra,0.0040032722534975515,0.06675801694882152,116.76289,20.41217,295.11539,348.44129
10.0,Chaos,0.010072830958850539,0.03885565631819188,116.94405,23.8149,299.79882,145.67468
15.0,Alpha Centauri B,23.555270271146433,0.5159474201576509,79.2202,-155.14473,231.55989,126.43812
15.0,Alpha Centauri A b,1.6153932598245389,0.09516494640012539,63.10376,-154.31203,306.32353,179.73249
15.0,Dante,0.0007352112896609876,0.013889618957688922,58.21919,-162.87826,83.34466,43.11352
15.0,Hades,0.0009876428281912395,0.005680154695223235,67.23049,-162.02533,293.30951,273.43998
15.0,Pandora,0.001687250568544112,0.003981387475148273,60.95929,-143.73646,225.53091,60.68726
15.0,Cassandra,0.003980743475121771,0.04225566919119908,120.02981,30.52502,136.42487,233.23889
15.0,Chaos,0.010444976338075248,0.042775254259579475,116.24686,23.83838,357.78587,10.56398
20.0,Alpha Centauri B,23.626248565996182,0.5154821252215893,79.18822,-155.14962,231.86046,140.80963
20.0,Alpha Centauri A b,1.6158092734366183,0.10504756104260538,63.11284,-154.33743,308.79611,34.23886
20.0,Dante,0.000735182919573183,0.024278437351665228,66.34517,-146.06191,43.61598,22.38087
20.0,Hades,0.0009955773715893338,0.04138353787772539,63.51455,-163.84652,169.60335,3.95494
20.0,Pandora,0.0016871236297109225,0.005208196837061474,55.79531,-147.27836,138.46029,41.00491
20.0,Cassandra,0.003963308877649284,0.03882440743242249,112.6423,24.50143,37.81227,58.89073
20.0,Chaos,0.01009105343704935,0.008453613711768492,115.75499,24.73224,328.66267,316.81928
25.0,Alpha Centauri B,23.560234836666563,0.5169814566592589,79.22976,-155.13548,231.55857,152.58249
25.0,Alpha Centauri A b,1.6069067493928675,0.10302069291652863,63.14496,-154.33935,304.42303,233.09237
25.0,Dante,0.0007353816640506596,0.01010147650323058,63.04634,-164.84846,333.48278,324.95365
25.0,Hades,0.0009926721365503754,0.03751948243749485,59.61722,-165.23224,293.21497,326.38644
25.0,Pandora,0.0016867769349705748,0.003668327912387168,52.96883,-154.11069,26.72423,49.62177
25.0,Cassandra,0.0039400431594469095,0.057143441744823956,121.95869,21.83429,243.7093,285.61465
25.0,Chaos,0.010377079224189617,0.02120458448826156,115.2681,25.51185,311.89243,257.71781
30.0,Alpha Centauri B,23.61188485954034,0.514594638901548,79.19549,-155.1541,231.7458,162.14665
30.0,Alpha Centauri A b,1.6017985854473225,0.09816366024831294,63.17716,-154.31694,304.20894,104.72025
30.0,Dante,0.0007344553683386515,0.014910178776622816,60.81613,-145.88737,157.39504,56.84891
30.0,Hades,0.0009887595518965051,0.006366934216625806,56.7547,-165.233,151.11686,93.38202
30.0,Pandora,0.0016870433616475436,0.003325186009529771,54.55021,-161.12643,295.90238,38.10867
30.0,Cassandra,0.003920425482586315,0.045695364379498636,116.28915,29.65778,94.20629,168.17716
30.0,Chaos,0.010173091970133571,0.04147826157170038,115.66574,26.1272,38.99658,95.89758
35.0,Alpha Centauri B,23.564517993077015,0.5175744167058182,79.21791,-155.13716,231.66903,171.0344
35.0,Alpha Centauri A b,1.5963151835963707,0.09895974848782857,63.20027,-154.2859,308.26535,289.46818
35.0,Dante,0.0007354414612976289,0.02275857287634757,68.2788,-163.05663,102.3214,346.81087
35.0,Hades,0.0009851407043032512,0.04157971673286587,55.03486,-163.29282,138.71165,167.57302
35.0,Pandora,0.0016875232621273266,0.005915911133284924,59.34948,-166.01042,188.23189,39.42924
35.0,Cassandra,0.003913442884844726,0.03904204190356518,114.73822,19.02736,332.13978,8.3646
35.0,Chaos,0.010290225653977992,0.04128479673121712,116.28243,26.80964,82.60471,331.24239
40.0,Alpha Centauri B,23.60248052744098,0.5150577100253825,79.21305,-155.13997,231.61644,179.4776
40.0,Alpha Centauri A b,1.597266932439528,0.1063112498815418,63.18939,-154.25458,304.29277,158.95001
40.0,Dante,0.0007346454543390044,0.021468775632910053,55.87565,-150.24507,172.17051,13.82479
40.0,Hades,0.0009919235315181978,0.04060509883568797,54.504,-158.30748,331.49855,310.56435
40.0,Pandora,0.001687698955742086,0.00634316668089902,65.22127,-166.14231,84.95606,36.42194
40.0,Cassandra,0.003908537042162132,0.051076488855455966,121.3647,25.92153,197.79022,222.51398
40.0,Chaos,0.010242280841474202,0.009604070863015532,117.05296,26.72042,100.717,232.47826
45.0,Alpha Centauri B,23.574398785447254,0.5165063512648156,79.19992,-155.16175,231.778,187.68127
45.0,Alpha Centauri A b,1.5995220459678519,0.09802966480744688,63.2013,-154.26211,303.32752,6.84478
45.0,Dante,0.0007343682180030674,0.009685845025582,71.99288,-156.63601,254.70156,54.04588
45.0,Hades,0.0009885659114395996,0.009862863721599202,56.08036,-152.57052,202.08664,76.19624
45.0,Pandora,0.0016875051558351269,0.006512642553259018,70.70324,-162.71294,4.2968,8.08859
45.0,Cassandra,0.003909323231541562,0.050557493914317304,111.4481,26.1115,47.63256,106.33924
45.0,Chaos,0.010232058296531699,0.01460987458068713,117.92941,26.5074,104.21351,155.3114
50.0,Alpha Centauri B,23.595383416602537,0.5161702079489631,79.21753,-155.12432,231.59035,196.59187
