t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5.0,Alpha Centauri B,23.533772266572026,0.5151855308650972,79.21026,-155.14456,231.5858,68.67171
5.0,Alpha Centauri A b,1.5948936956192226,0.09955473385387562,63.2635,-154.50498,311.56319,140.14972
5.0,Dante,0.000666583193621423,0.007905581928135678,63.40151,-155.63463,90.28047,80.17971
5.0,Hades,0.000895187869989335,0.03862868247116357,64.98964,-156.84596,68.91002,86.04667
5.0,Pandora,0.0015035665050636912,0.006096855417645818,63.69536,-155.12781,351.10329,295.38931
5.0,Cassandra,0.0038245485476975003,0.011584433167977217,62.68292,-155.23088,179.78388,268.37772
5.0,Chaos,0.00946154818132662,0.05133178960392463,67.44647,-157.97869,23.52282,34.66221
10.0,Alpha Centauri B,23.650105074185063,0.5165562924110165,79.1989,-155.14029,231.88927,104.92223
10.0,Alpha Centauri A b,1.5887569392325664,0.10771237951132122,63.13615,-154.37034,314.79662,356.47702
10.0,Dante,0.0006665688032011969,0.0006664121891600813,62.91235,-154.61573,273.5621,54.85584
10.0,Hades,0.0008919510232584545,0.046065971726245096,62.74112,-157.40824,118.52953,173.73656
10.0,Pandora,0.001503547296972476,0.0075941360761337005,63.17716,-155.22593,87.27948,124.59643
10.0,Cassandra,0.003991699639629486,0.02838510698604533,64.15368,-154.97885,228.01732,308.99396
10.0,Chaos,0.009605630400894967,0.051257783286095156,65.46671,-159.88016,92.16669,24.56695
15.0,Alpha Centauri B,23.55711143024413,0.5165819449751946,79.22671,-155.14525,231.53234,126.46422
15.0,Alpha Centauri A b,1.5775813023785392,0.10873895147859677,63.11309,-154.36371,314.04021,217.83569
15.0,Dante,0.0006683626407890108,0.007073286760263148,64.2652,-155.14083,74.56739,63.34237
15.0,Hades,0.0008919994084823791,0.046819441993453864,61.9016,-156.12339,208.75587,226.45145
15.0,Pandora,0.0015035750100460873,0.0023150160967866985,63.63673,-155.09176,174.47034,323.17019
15.0,Cassandra,0.0038531685366760657,0.027470611921616827,62.66584,-155.42138,84.31688,183.72714
