t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
0.5,Alpha Centauri B,23.625695552983494,0.5168631169802287,79.2123,-155.13892,231.77027,8.02205
0.5,Alpha Centauri A b,1.5975611270849777,0.10141966623964761,63.2504,-155.03447,307.51707,4.25547
0.5,Dante,0.0006672614219391134,0.02814711843254606,62.7308,-155.02966,104.74866,357.98261
0.5,Hades,0.000875044308805611,0.07241035445439425,62.38893,-153.08204,95.12376,228.26426
0.5,Pandora,0.0015038746245163205,0.0045584041779835145,63.14625,-155.14239,72.40768,68.06493
0.5,Cassandra,0.004138499840307403,0.08207716258799527,118.68404,24.1378,204.31189,24.93841
0.5,Chaos,0.010470821677008005,0.13508475133834114,121.78665,24.3077,188.58249,94.17765
1.0,Alpha Centauri B,23.52214428523489,0.5147994540968498,79.2121,-155.14,231.66154,16.16035
1.0,Alpha Centauri A b,1.598686644596356,0.09342269815498946,63.30245,-155.00456,312.47045,103.89732
1.0,Dante,0.0006677254749014113,0.019001836429797695,63.63207,-155.39384,287.997,323.99408
1.0,Hades,0.0008732989894813884,0.12247080804454667,61.60652,-156.60526,245.38413,1.13726
1.0,Pandora,0.0015041273601808238,0.007921768903229967,63.19496,-155.20366,261.4338,16.49643
1.0,Cassandra,0.004009499247533784,0.05313019752283775,118.39568,23.52896,207.71823,69.13293
1.0,Chaos,0.010291262017815803,0.10828387391992278,121.75353,24.15832,179.19179,183.56684
1.5,Alpha Centauri B,23.574618591606733,0.5159555629990736,79.20862,-155.15061,231.59966,24.04248
1.5,Alpha Centauri A b,1.5841598695113066,0.10499807492405919,63.28975,-154.88299,308.36394,189.4643
1.5,Dante,0.0006659659955509634,0.007167021437048602,62.85107,-154.77188,65.4201,35.59746
1.5,Hades,0.0008727880697936535,0.09933478759604758,64.67969,-156.71787,338.81248,237.35506
1.5,Pandora,0.0015039042714373972,0.007090876338196519,63.1862,-155.14226,74.5214,340.46327
1.5,Cassandra,0.004131138575228774,0.06737965916020248,117.96239,23.05801,252.79757,70.46458
1.5,Chaos,0.009969139057544733,0.10661503762459865,121.71596,23.68942,195.44173,251.08677
2.0,Alpha Centauri B,23.67251069237156,0.5178370494232518,79.20848,-155.15029,231.7157,31.45654
2.0,Alpha Centauri A b,1.579510456159463,0.1069912422424358,63.30635,-154.85717,311.1966,271.44949
2.0,Dante,0.0006665652849091425,0.02354470574952994,63.46911,-155.61366,228.03674,23.40169
