t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
0.6666666666666666,Alpha Centauri B,23.575439364114892,0.5158378356794503,79.21358,-155.13657,231.75474,10.73145
0.6666666666666666,Alpha Centauri A b,1.5820217179675244,0.09462631609398417,63.25161,-155.03966,305.44151,44.04668
0.6666666666666666,Dante,0.0006664872335804724,0.024028569656626645,59.31336,-141.53741,136.14772,348.60161
0.6666666666666666,Hades,0.0008999760552701695,0.05012655804393652,82.60981,-138.81486,69.73205,4.55574
0.6666666666666666,Pandora,0.0015037236572695261,0.007520561119973393,63.00944,-154.9705,85.83468,346.27652
0.6666666666666666,Cassandra,0.004057638989199324,0.05370368065938663,132.46159,16.01547,205.89886,168.39553
0.6666666666666666,Chaos,0.010450743986402193,0.09123903286568019,146.01348,20.99008,191.86975,139.30503
1.3333333333333333,Alpha Centauri B,23.545750583921723,0.5153500212988055,79.20947,-155.14755,231.60086,21.46306
1.3333333333333333,Alpha Centauri A b,1.5797576001058635,0.10771529020479671,63.30381,-154.92111,310.38044,161.57322
1.3333333333333333,Dante,0.0006662500710825033,0.014419362056081957,54.3541,-165.35953,243.20351,28.49212
1.3333333333333333,Hades,0.0008954618727021978,0.04967562155138288,68.79428,-128.79111,136.59421,9.91759
1.3333333333333333,Pandora,0.0015037773595620993,0.0036394785006002434,62.77458,-155.25243,69.37518,75.92683
1.3333333333333333,Cassandra,0.004135550506209994,0.08381921052914416,128.50005,9.42526,208.01555,2.81389
1.3333333333333333,Chaos,0.010113453752281778,0.13279965994512258,146.46828,18.39085,182.09158,274.47849
2.0,Alpha Centauri B,23.672534333492436,0.5178374437250244,79.20848,-155.15029,231.71575,31.45648
2.0,Alpha Centauri A b,1.5763865141947224,0.10541996994847255,63.30398,-154.8561,312.06409,270.61128
2.0,Dante,0.0006666690900751234,0.019227212169794557,74.3135,-160.87575,69.42652,329.38254
2.0,Hades,0.0008940412415007845,0.049435656245825445,52.07689,-128.85618,202.73224,19.141
2.0,Pandora,0.0015036143508427463,0.005923003311651207,62.97617,-155.67255,266.10402,310.96795
2.0,Cassandra,0.0040645613483052505,0.05451876991064149,122.67275,6.14222,212.16671,196.40248
2.0,Chaos,0.010021631137735904,0.1273426812671125,145.94554,15.26943,175.06118,92.7176
2.6666666666666665,Alpha Centauri B,23.57635886608777,0.5157341074189757,79.2093,-155.13499,231.74461,40.91235
2.6666666666666665,Alpha Centauri A b,1.5817907940908214,0.09747644553038903,63.30144,-154.73992,306.26604,64.30028
2.6666666666666665,Dante,0.0006660579333314984,0.026514529742459863,65.09699,-141.5863,137.64893,16.22393
2.6666666666666665,Hades,0.0008950748857472447,0.04552916940533744,39.52178,-144.84759,275.57985,34.33431
2.6666666666666665,Pandora,0.00150397307238241,0.007092463388771247,63.40341,-155.62436,253.76795,34.49561
2.6666666666666665,Cassandra,0.004009558790422392,0.05073181960856411,115.99347,5.21612,245.2945,3.64352
2.6666666666666665,Chaos,0.0104186402748182,0.09750833895269478,145.02034,11.90351,169.07085,227.34272
3.3333333333333335,Alpha Centauri B,23.546268674524292,0.5154986609259137,79.21123,-155.14995,231.57275,49.86256
3.3333333333333335,Alpha Centauri A b,1.5973135310136375,0.09719419475498225,63.31682,-154.63769,308.3002,178.44211
3.3333333333333335,Dante,0.0006650272512857063,0.0032659664347611025,51.37535,-159.15643,262.56664,28.88778
3.3333333333333335,Hades,0.0008938846885466954,0.03499493331924847,41.53305,-171.39195,0.08042,49.1414
3.3333333333333335,Pandora,0.001503636334125354,0.002269292169288193,63.48949,-155.22721,88.02536,271.81394
3.3333333333333335,Cassandra,0.0040533867101491166,0.054666456223884476,109.96648,7.53186,277.60436,171.91324
3.3333333333333335,Chaos,0.0099793138487879,0.10698089285494573,145.14418,8.92365,176.85377,37.59601
4.0,Alpha Centauri B,23.66660482724379,0.5176319322863817,79.21032,-155.14824,231.76955,57.71715
4.0,Alpha Centauri A b,1.6002000914668582,0.11117773283659141,63.27378,-154.5982,306.45382,294.95405
4.0,Dante,0.0006676979783340105,0.028237520043413396,70.73922,-165.82118,86.26113,345.41117
4.0,Hades,0.0008931395077984257,0.028830671482523215,56.50935,176.93198,74.64726,50.62091
4.0,Pandora,0.0015039426861795434,0.007602238212113335,63.23606,-155.11208,66.71266,5.89021
4.0,Cassandra,0.004135186338075318,0.08302894601024888,104.57715,11.55817,286.07246,6.4403
4.0,Chaos,0.010270595065704598,0.12973882100939255,143.74543,6.7198,189.25667,166.4052
4.666666666666667,Alpha Centauri B,23.574055389410564,0.5155941868412726,79.20563,-155.13594,231.72968,65.10454
