t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
0.5,Alpha Centauri B,23.626381148622407,0.5168773340895685,79.21224,-155.13902,231.76961,8.02273
0.5,Alpha Centauri A b,1.5889022006252942,0.08674972086845982,63.25421,-155.02129,299.85041,11.58907
0.5,Dante,0.0007356479920827678,0.026533645573288193,64.52998,-156.82743,114.21545,25.39261
0.5,Hades,0.0009895504944418178,0.04695205397345834,72.25672,-154.8024,189.25328,208.83912
0.5,Pandora,0.0016870572792670611,0.0048377597443742875,63.80075,-158.90383,264.75088,29.05297
0.5,Cassandra,0.003990497928751644,0.02528091144346728,120.89317,20.17478,229.64077,150.47266
0.5,Chaos,0.010302262028266231,0.005145502131112098,117.84181,24.77252,298.07722,45.48301
1.0,Alpha Centauri B,23.523456276370055,0.5148231984946272,79.21221,-155.13972,231.66628,16.1556
1.0,Alpha Centauri A b,1.6062710995426082,0.0936295930044671,63.30911,-155.00715,302.00056,111.19758
1.0,Dante,0.000735013480502298,0.022154342028013505,70.99394,-152.10263,236.34686,345.05232
1.0,Hades,0.0009947966439757458,0.050299000274430766,73.11065,-152.26172,25.39444,276.78936
1.0,Pandora,0.0016869261040628936,0.005392457719041547,69.36646,-149.88563,338.73231,350.88922
1.0,Cassandra,0.003941582393170978,0.044072064345265866,118.08852,17.75077,262.58117,16.61589
1.0,Chaos,0.010375364847199912,0.0024594241023630763,117.91741,24.65788,267.99297,171.59955
1.5,Alpha Centauri B,23.568697831723554,0.5158350263377878,79.2088,-155.15015,231.59864,24.04335
1.5,Alpha Centauri A b,1.6078906966573538,0.10055760326137077,63.32239,-154.89113,302.95869,190.03458
1.5,Dante,0.0007341851783434622,0.004710400544994941,66.93227,-159.19945,14.98907,281.26609
1.5,Hades,0.0009942579286234036,0.031392991830817764,72.87887,-153.37946,224.22014,10.7162
1.5,Pandora,0.0016874315556470365,0.0016680927027007885,70.32973,-160.5709,72.65699,300.99595
1.5,Cassandra,0.0039086640928685705,0.04846774469309988,114.92293,14.69639,277.6496,251.65403
