t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
250.0,Alpha Centauri B,23.614708703173758,0.5169672031198845,79.24074,-155.15541,231.62203,89.52114
250.0,Alpha Centauri A b,1.6011736844217657,0.2907859052965069,29.15487,-132.4896,284.44502,226.09846
500.0,Alpha Centauri B,23.600957031172552,0.516972142242741,79.26216,-155.13916,231.58927,126.10424
500.0,Alpha Centauri A b,1.6002568497476257,0.20007630610001148,32.70426,-119.89863,279.33995,215.65271
750.0,Alpha Centauri B,23.60572501794759,0.5168065730813719,79.26917,-155.12055,231.60802,146.67341
750.0,Alpha Centauri A b,1.5997171431971142,0.1543102183764905,37.75914,-112.21573,289.50651,188.0316
1000.0,Alpha Centauri B,23.6223868260087,0.5161132473980067,79.26202,-155.10809,231.64664,161.60202
1000.0,Alpha Centauri A b,1.5995655450628563,0.16473814317198793,43.57689,-107.43741,309.54354,142.46477
1250.0,Alpha Centauri B,23.634983577157225,0.5155828192673839,79.25113,-155.10119,231.64872,174.52992
1250.0,Alpha Centauri A b,1.5996565008115773,0.23259346283981638,50.19026,-104.71224,322.54652,117.01515
1500.0,Alpha Centauri B,23.642766305517295,0.5151880998844531,79.23752,-155.1004,231.6317,186.89403
1500.0,Alpha Centauri A b,1.5997829528307412,0.34536366211743563,58.17791,-103.96567,326.81341,101.95265
1750.0,Alpha Centauri B,23.64010116889468,0.5150981713674556,79.22418,-155.10271,231.62146,199.9727
1750.0,Alpha Centauri A b,1.5998607670079499,0.488768223082244,68.91829,-105.96146,327.00328,91.562
2000.0,Alpha Centauri B,23.608752673402915,0.5155026839398811,79.21133,-155.10623,231.70591,215.42276
2000.0,Alpha Centauri A b,1.5997606655900323,0.6264742395172079,84.73478,-112.64336,324.99007,72.84852
2250.0,Alpha Centauri B,23.53720677534173,0.517490976281268,79.21844,-155.17121,232.04616,236.7436
2250.0,Alpha Centauri A b,1.5995633730867749,0.6925698845544727,105.92873,-127.15488,318.60058,318.95782
2500.0,Alpha Centauri B,23.649918062923664,0.5177190879169495,79.2273,-155.14899,231.69149,276.93168
2500.0,Alpha Centauri A b,1.5985273716150095,0.628283823581331,123.34468,-149.77436,304.84409,259.03247
2750.0,Alpha Centauri B,23.708951883731583,0.5185821420790202,79.212,-155.11744,231.68063,13.2641
2750.0,Alpha Centauri A b,1.5989962742390662,0.47769032554334084,127.38115,-169.56065,286.46774,258.28087
3000.0,Alpha Centauri B,23.624118005430446,0.51724906730511,79.18173,-155.11524,231.62385,94.9156
3000.0,Alpha Centauri A b,1.6004597696175995,0.3368789419801031,125.89017,176.06174,280.47462,247.65929
3250.0,Alpha Centauri B,23.600909757158966,0.5172111313124449,79.16334,-155.12958,231.57984,128.67711
3250.0,Alpha Centauri A b,1.6001278507583354,0.23369410087600676,121.95396,168.58805,283.53939,233.03525
3500.0,Alpha Centauri B,23.602385011671004,0.5171147038403875,79.15572,-155.14694,231.60189,148.4156
3500.0,Alpha Centauri A b,1.5997270018117313,0.1885549023259156,117.1332,163.43197,299.67973,204.49339
3750.0,Alpha Centauri B,23.609705137651204,0.5169224402693215,79.15931,-155.16103,231.62741,163.25084
3750.0,Alpha Centauri A b,1.5995838670106886,0.21540207698580732,111.62815,159.68132,320.76292,178.34654
4000.0,Alpha Centauri B,23.623226733078447,0.5163310627191414,79.1671,-155.17218,231.64765,175.93347
4000.0,Alpha Centauri A b,1.5995869869100714,0.3090575787819383,104.97161,157.12854,332.27476,152.38162
4250.0,Alpha Centauri B,23.63164814279633,0.5159776839906518,79.18085,-155.17627,231.63982,188.29505
4250.0,Alpha Centauri A b,1.599736059124563,0.4503002112267549,95.8853,156.19962,335.39674,143.86695
4500.0,Alpha Centauri B,23.634725890508854,0.5158710307128422,79.19636,-155.17527,231.62155,201.58234
4500.0,Alpha Centauri A b,1.5999692832499983,0.6076985499158365,81.7036,158.50393,333.97175,144.26901
4750.0,Alpha Centauri B,23.629057660107314,0.5159070794712232,79.21154,-155.17662,231.62461,217.48895
4750.0,Alpha Centauri A b,1.6000530457803046,0.7144043329580284,59.59706,168.71822,326.6089,139.6573
5000.0,Alpha Centauri B,23.597989763444073,0.5161222312751427,79.23327,-155.18236,231.71809,240.17846
5000.0,Alpha Centauri A b,1.599185126962359,0.6997217939220657,38.0948,-163.15817,303.00244,118.99788
5250.0,Alpha Centauri B,23.593974177185025,0.5169209936268965,79.25721,-155.1554,231.84428,283.56647
5250.0,Alpha Centauri A b,1.5990987772633956,0.5552030798864793,34.0995,-126.96935,270.85094,22.72803
5500.0,Alpha Centauri B,23.740869023746534,0.5191769417143685,79.21735,-155.12584,231.7484,25.78087
5500.0,Alpha Centauri A b,1.5993875969639861,0.4056258661592872,40.67739,-109.07088,253.61054,324.85079
5750.0,Alpha Centauri B,23.63311926545004,0.5175361457926944,79.2188,-155.14288,231.63994,99.79411
5750.0,Alpha Centauri A b,1.5992123195877217,0.27287475155553936,47.10895,-101.30235,258.27773,279.18389
6000.0,Alpha Centauri B,23.59921287427581,0.5174771692264558,79.23514,-155.14045,231.56921,131.16365
6000.0,Alpha Centauri A b,1.599919651410177,0.2184416032551212,53.2705,-98.91961,275.70485,241.8324
6250.0,Alpha Centauri B,23.597242487832457,0.5175009891257545,79.24017,-155.13118,231.58273,150.23364
6250.0,Alpha Centauri A b,1.5997465853231292,0.25071013977217876,59.59273,-98.15986,297.63392,210.54408
6500.0,Alpha Centauri B,23.605383092298087,0.5172194863076969,79.24006,-155.12165,231.61453,164.68414
6500.0,Alpha Centauri A b,1.5995725196849737,0.35898679556327867,66.74095,-99.01733,309.92671,188.00748
6750.0,Alpha Centauri B,23.616399982953755,0.5167804607628411,79.23298,-155.1163,231.63355,177.35482
6750.0,Alpha Centauri A b,1.5995041121715827,0.5163363274053238,76.1731,-102.68612,314.17875,176.11598
7000.0,Alpha Centauri B,23.626082575148097,0.5163776468873694,79.22203,-155.1169,231.63144,189.77124
7000.0,Alpha Centauri A b,1.5996005102711583,0.6748241043553702,90.65775,-112.35367,313.76796,171.23012
7250.0,Alpha Centauri B,23.632621884083584,0.5160866502773531,79.21297,-155.11804,231.6149,203.19676
7250.0,Alpha Centauri A b,1.599855248385041,0.7501765198420333,110.79621,-133.70659,305.64107,166.55681
7500.0,Alpha Centauri B,23.630233421873577,0.5160308336592148,79.20618,-155.11338,231.60907,219.59039
7500.0,Alpha Centauri A b,1.599813951073655,0.6885354283187178,123.42947,-164.12139,287.24148,154.90444
7750.0,Alpha Centauri B,23.60659614361038,0.5161682976503312,79.19317,-155.10287,231.67114,243.55139
7750.0,Alpha Centauri A b,1.5987669098352468,0.5343600136678403,123.53793,174.07167,273.54392,128.0988
8000.0,Alpha Centauri B,23.58347567483906,0.5162887403898838,79.16607,-155.11662,231.77048,291.24675
8000.0,Alpha Centauri A b,1.6005708970257915,0.36243939434269334,119.3908,163.5167,271.83622,63.41307
8250.0,Alpha Centauri B,23.687952351040273,0.5180347519811505,79.20592,-155.16316,231.77105,37.77252
8250.0,Alpha Centauri A b,1.6005510904817661,0.2700108165022429,113.46231,157.03677,280.30894,2.44165
8500.0,Alpha Centauri B,23.636536414619737,0.5174677940998202,79.23477,-155.13924,231.67187,104.43534
8500.0,Alpha Centauri A b,1.5989542872686835,0.2562056562671496,108.12623,153.82783,306.23554,283.10392
8750.0,Alpha Centauri B,23.60163203754281,0.5175177761258506,79.22291,-155.12503,231.58185,133.6928
8750.0,Alpha Centauri A b,1.5997835142196455,0.3451298484649841,101.54006,152.43404,322.76099,235.19825
9000.0,Alpha Centauri B,23.59919632686133,0.517445262697221,79.20991,-155.12648,231.59556,151.92731
9000.0,Alpha Centauri A b,1.5997254246412027,0.49977706371441327,92.466,152.77576,328.71857,206.10926
9250.0,Alpha Centauri B,23.60708914452414,0.5171693929706765,79.21304,-155.1265,231.62777,166.18275
9250.0,Alpha Centauri A b,1.5995536570190136,0.6707560978464295,77.32321,157.43216,328.1562,194.46793
9500.0,Alpha Centauri B,23.619224271028788,0.5166218962800811,79.21508,-155.12805,231.64652,178.66769
9500.0,Alpha Centauri A b,1.5994622322578593,0.7695807534668648,52.83249,174.5227,317.31344,184.19683
9750.0,Alpha Centauri B,23.627604036784103,0.516270404201251,79.22068,-155.12127,231.63765,191.22564
9750.0,Alpha Centauri A b,1.5995772063058136,0.7248590831389145,36.09707,-143.94338,282.45928,182.047
10000.0,Alpha Centauri B,23.633738825136422,0.5159083945414495,79.21675,-155.12791,231.62053,204.7012
10000.0,Alpha Centauri A b,1.5997965038997306,0.57407455882713,39.84514,-111.46721,254.60636,168.14438
10250.0,Alpha Centauri B,23.628068994006917,0.5159383924565865,79.21404,-155.13619,231.62154,221.68172
10250.0,Alpha Centauri A b,1.599628731608856,0.4097660776193292,47.05669,-99.65413,248.88309,150.29352
10500.0,Alpha Centauri B,23.60045558680666,0.516061587097346,79.21959,-155.15215,231.6955,247.04321
10500.0,Alpha Centauri A b,1.598685581569639,0.2937978207072511,53.33993,-95.39841,258.75322,113.93548
10750.0,Alpha Centauri B,23.55926720309641,0.5157307986815539,79.24093,-155.14645,231.79238,299.941
10750.0,Alpha Centauri A b,1.6005134038290647,0.26810348323610594,59.40247,-94.96762,284.11902,46.87742
11000.0,Alpha Centauri B,23.6741855054189,0.517650747521902,79.20562,-155.1,231.78888,48.29161
11000.0,Alpha Centauri A b,1.5999540083876502,0.3740644780067666,66.70911,-94.99232,300.04623,330.02602
11250.0,Alpha Centauri B,23.631984080152517,0.5173725894401457,79.16985,-155.1265,231.67096,108.58221
11250.0,Alpha Centauri A b,1.5991958747859174,0.5574916803773362,75.57872,-99.6341,310.27551,250.74065
11500.0,Alpha Centauri B,23.60238147587994,0.5173274221253823,79.18125,-155.14365,231.60192,135.91759
11500.0,Alpha Centauri A b,1.6000179672337205,0.7277989384606496,90.78913,-111.5422,311.633,211.44034
11750.0,Alpha Centauri B,23.604926052058055,0.5171590008067762,79.18092,-155.14936,231.62784,153.54537
11750.0,Alpha Centauri A b,1.5997440951171018,0.7947131832098641,113.08411,-138.39863,302.21183,199.2568
12000.0,Alpha Centauri B,23.613328109013622,0.5168250041443646,79.17686,-155.15733,231.65418,167.44007
12000.0,Alpha Centauri A b,1.599545701568508,0.7077839660700912,123.88312,-173.03896,281.45979,197.66952
12250.0,Alpha Centauri B,23.621414487862037,0.5164962725077259,79.17623,-155.16825,231.66092,179.99112
12250.0,Alpha Centauri A b,1.5995636806087796,0.5370681439258321,121.81879,166.80852,269.85252,197.65992
12500.0,Alpha Centauri B,23.628781816721187,0.516202102557923,79.18322,-155.1763,231.65004,192.5404
12500.0,Alpha Centauri A b,1.5996905646320412,0.3785431986604124,117.23304,157.67377,271.00808,190.2266
12750.0,Alpha Centauri B,23.633548922961726,0.5159987362815058,79.19644,-155.17585,231.62936,206.42588
12750.0,Alpha Centauri A b,1.5998923215098926,0.2893637293573371,112.41797,153.0614,285.81594,167.33254
13000.0,Alpha Centauri B,23.627995901428324,0.5159585620705943,79.21063,-155.16221,231.62774,223.79973
13000.0,Alpha Centauri A b,1.5999637009441197,0.3089580196183969,107.24399,150.50869,308.45709,130.34635
13250.0,Alpha Centauri B,23.60650860862455,0.5160978449869551,79.22216,-155.14919,231.67353,250.85972
13250.0,Alpha Centauri A b,1.5996121963592989,0.4411538061022633,100.66576,149.7091,323.11202,116.40301
13500.0,Alpha Centauri B,23.54040324593106,0.5152585263956311,79.22559,-155.12774,231.78351,309.49214
13500.0,Alpha Centauri A b,1.5999531742219468,0.6363409256335708,87.45453,153.3036,328.90452,105.95722
13750.0,Alpha Centauri B,23.64189088108773,0.5165623156837166,79.20296,-155.10634,231.89414,57.96996
13750.0,Alpha Centauri A b,1.596118000055554,0.8159030050139071,62.65065,166.1662,322.04907,93.36483
14000.0,Alpha Centauri B,23.637300678596365,0.5178819462958787,79.25069,-155.1457,231.6605,112.35814
14000.0,Alpha Centauri A b,1.5998495604570082,0.78779606584421,36.18228,-145.86993,286.28322,249.63601
14250.0,Alpha Centauri B,23.598474985590716,0.5177487359227616,79.25339,-155.13147,231.58076,138.13283
14250.0,Alpha Centauri A b,1.600041353045813,0.6200222073880125,39.47722,-108.33053,254.53932,244.07231
14500.0,Alpha Centauri B,23.596906220732212,0.5176733478927116,79.25569,-155.1194,231.6002,155.15149
14500.0,Alpha Centauri A b,1.599775094111061,0.4400267408950479,46.91243,-96.44171,249.24286,239.71849
14750.0,Alpha Centauri B,23.6010904555408,0.5175853293840155,79.24993,-155.11089,231.62551,168.90447
14750.0,Alpha Centauri A b,1.5996518075424568,0.3204773095768116,53.07703,-92.6543,260.13326,230.86201
15000.0,Alpha Centauri B,23.611824061277783,0.517127744485747,79.24451,-155.10112,231.64422,181.32671
15000.0,Alpha Centauri A b,1.599573390341157,0.3069698432015997,58.65641,-91.73305,282.77642,200.69187
15250.0,Alpha Centauri B,23.62361476761898,0.5165899976214164,79.23407,-155.09571,231.64124,193.81292
15250.0,Alpha Centauri A b,1.5996377488327256,0.4122096620538879,64.72704,-92.80935,300.71218,173.11218
15500.0,Alpha Centauri B,23.629032809336575,0.5164947536575517,79.21849,-155.10586,231.62964,208.13753
15500.0,Alpha Centauri A b,1.59977821714961,0.599396736408975,73.24081,-97.30609,308.87231,170.91992
15750.0,Alpha Centauri B,23.631845815939013,0.5163666229501808,79.20706,-155.1135,231.61654,226.18353
15750.0,Alpha Centauri A b,1.600306554435597,0.7892824908197354,89.49932,-110.94067,311.29206,166.52869
16000.0,Alpha Centauri B,23.620687782089146,0.5164043080991433,79.19875,-155.12108,231.64197,254.92014
16000.0,Alpha Centauri A b,1.5992770075534977,0.8422394263487124,117.26202,-147.2558,299.65826,162.77654
16250.0,Alpha Centauri B,23.572741687259008,0.5158198745950671,79.19016,-155.13275,231.72654,320.35285
16250.0,Alpha Centauri A b,1.6006521027945788,0.6726010848682573,125.30256,176.28174,277.46179,139.37764
16500.0,Alpha Centauri B,23.636783790354524,0.516753826872479,79.22355,-155.16546,231.79587,66.90447
16500.0,Alpha Centauri A b,1.597655926061571,0.4869574960104001,121.47584,157.8916,270.48744,83.70661
16750.0,Alpha Centauri B,23.645203788405176,0.5172867381556135,79.27178,-155.14255,231.75183,115.86815
16750.0,Alpha Centauri A b,1.5996115970408245,0.34011563466513206,116.95888,152.45528,282.60057,348.97796
17000.0,Alpha Centauri B,23.60319270302036,0.5177392406859046,79.23879,-155.11979,231.60673,140.22084
17000.0,Alpha Centauri A b,1.5997207604605992,0.32449233101624536,112.04907,149.8587,304.77275,269.08109
17250.0,Alpha Centauri B,23.597003067349917,0.5177859281458028,79.21932,-155.11989,231.61155,156.83246
17250.0,Alpha Centauri A b,1.5997541084285931,0.43648676444125434,105.98197,148.85737,321.62572,228.07052
17500.0,Alpha Centauri B,23.604110415000907,0.517441010374417,79.20982,-155.12623,231.64432,170.30051
17500.0,Alpha Centauri A b,1.5996168518438931,0.6300912853114526,96.00706,150.49605,328.22208,201.9217
17750.0,Alpha Centauri B,23.616081451046384,0.5168596829488004,79.21018,-155.13026,231.66269,182.60544
17750.0,Alpha Centauri A b,1.5994736607754272,0.812374436526367,74.2534,159.94773,327.37684,186.40788
