t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5000.0,AU Mic b,0.05878195868945729,0.20967044598334153,11.59913,142.30055,265.08233,121.05523
5000.0,AU Mic c,0.11115440204482194,0.45992040465727096,14.07744,69.51946,174.42754,244.66783
5000.0,AU Mic e,0.21370562862542591,0.13190862906026113,6.59093,-103.69461,183.56877,272.9207
5000.0,AU Mic d,0.08452246321675304,0.45489503423632854,48.64301,-15.3051,356.75343,181.19297
10000.0,AU Mic b,0.056610959300272004,0.3592081526828103,12.01282,-17.19557,359.5466,35.26307
10000.0,AU Mic c,0.28837099716635406,0.36920588073504473,8.02135,-158.31646,82.45642,124.76585
10000.0,AU Mic e,0.126967447856999,0.3431907234209258,7.21191,56.66899,354.81617,335.20158
10000.0,AU Mic d,0.056240125807862584,0.773062590682241,117.41929,-85.20024,314.45942,153.19784
15000.0,AU Mic b,0.055114713896930935,0.570556418858448,7.20551,51.31015,194.74025,194.18636
15000.0,AU Mic c,0.28605164758036444,0.33208051091319796,6.52179,-107.91934,345.89718,178.20476
15000.0,AU Mic e,0.12146406940938717,0.345965902366799,4.22129,91.76489,70.43324,179.98028
15000.0,AU Mic d,0.1702791073978152,0.7313652050639623,52.68667,66.42761,14.0316,176.76599
20000.0,AU Mic b,0.05396156221355848,0.677613240565234,26.60896,106.60415,188.81731,225.32668
20000.0,AU Mic c,0.2884420416443281,0.26095773015869245,9.9669,-145.32651,204.30434,179.89195
20000.0,AU Mic e,0.1255748267354628,0.32513525340771476,9.68635,8.1029,176.21332,131.35472
20000.0,AU Mic d,0.12126645410727421,0.5541216825048131,9.08253,19.60175,298.58598,174.1043
25000.0,AU Mic b,0.07058917321599553,0.43794149505058916,9.09549,91.36563,74.18421,259.57828
25000.0,AU Mic c,0.28537217806016635,0.30695425190326564,5.89539,114.50319,128.76843,264.30716
25000.0,AU Mic e,0.10202080334218104,0.12457909013594298,8.1518,-90.92816,97.10488,157.9286
25000.0,AU Mic d,0.1231246147334199,0.5911845249298183,94.46311,5.17099,22.59422,325.24821
30000.0,AU Mic b,0.08439847860917067,0.4248102442943233,21.91741,-38.4722,99.48078,212.93105
30000.0,AU Mic c,0.2858849898401097,0.30555238262974044,8.06631,126.82406,282.90192,84.08098
30000.0,AU Mic e,0.0922977515900741,0.09174935956933547,3.53682,-71.39505,348.62186,199.38515
30000.0,AU Mic d,0.1360922156022754,0.3973810881145735,60.79727,139.8818,297.42646,192.90779
35000.0,AU Mic b,0.13429422872120914,0.17003173673534142,31.88084,-14.84854,81.49811,38.21963
35000.0,AU Mic c,0.27662300819428315,0.2889400585594156,8.61412,140.8777,4.69079,191.9948
35000.0,AU Mic e,0.07894356298366974,0.12273174180959869,8.18039,173.83917,341.41594,209.24396
35000.0,AU Mic d,0.1518497408223982,0.5519883823203083,43.25353,-94.8976,305.23591,202.70538
40000.0,AU Mic b,0.14003519939584877,0.1668196957989416,24.14832,-12.5797,4.16555,328.22448
40000.0,AU Mic c,0.275531494875801,0.2396184276723687,5.81103,-170.11126,90.25272,34.57523
40000.0,AU Mic e,0.07940156098319479,0.28363361691528954,6.17678,124.19316,120.04336,283.48867
40000.0,AU Mic d,0.09530218799137875,0.47711726223781237,90.13177,175.75783,315.09417,212.28316
45000.0,AU Mic b,0.13985410677139076,0.29577556525654586,32.02513,104.77625,310.79761,190.51169
45000.0,AU Mic c,0.26751005075746587,0.17198531842799042,3.39206,-114.86789,206.76501,78.2367
45000.0,AU Mic e,0.07802832481603693,0.23192360108660195,12.18453,-55.44777,41.08866,258.67963
45000.0,AU Mic d,0.22567315166762209,0.6185523435015073,28.10932,-126.10335,162.79356,201.29897
50000.0,AU Mic b,0.08127015991713434,0.43232170776869105,32.85291,81.08448,85.14697,42.41714
50000.0,AU Mic c,0.26719273146094175,0.08773687006271158,4.21012,-68.76648,279.30742,81.43361
50000.0,AU Mic e,0.09560943188920894,0.09837461699073385,7.01357,-122.34682,128.14518,291.39256
50000.0,AU Mic d,0.1319295081136395,0.8130744988722542,12.12904,100.75564,236.60329,211.62968
55000.0,AU Mic b,0.11176707342016862,0.49764648582540655,13.30699,124.86245,100.62608,193.60712
55000.0,AU Mic c,0.269352702128494,0.10285761425405361,3.30035,-170.87813,249.78859,126.02945
55000.0,AU Mic e,0.0828762803702507,0.28934178681407413,5.99341,-27.54049,110.00105,184.37918
55000.0,AU Mic d,0.2225224692827805,0.7663707671429444,37.10976,-11.57793,257.69835,142.24821
60000.0,AU Mic b,0.16418652813018889,0.19014742952474722,10.03763,-119.99677,239.93622,118.41782
60000.0,AU Mic c,0.2831055289439087,0.3273422882329533,4.55901,-167.27687,280.69016,336.92879
60000.0,AU Mic e,0.07453008158774431,0.3838849057454905,11.57231,44.89105,250.41994,282.48033
60000.0,AU Mic d,0.23351328940235616,0.982874465402127,60.29069,13.40625,176.5173,188.65891
65000.0,AU Mic b,0.16153808619805815,0.43052833673455504,30.94326,61.38529,4.17246,293.82302
65000.0,AU Mic c,0.365794047164518,0.4809253116136313,9.77106,-106.23971,305.28477,218.3728
65000.0,AU Mic e,0.071377879801526,0.04427578357261284,5.38263,-164.89139,354.52534,220.09261
65000.0,AU Mic d,0.40494843276670583,0.9928983712623725,27.35256,33.75411,57.62449,187.58822
70000.0,AU Mic b,0.15134942045756086,0.3343245864054824,26.60831,-145.00564,63.148,74.39071
70000.0,AU Mic c,0.3798095858601436,0.5157644978371159,9.14771,57.0536,16.80678,143.35926
70000.0,AU Mic e,0.07144530622529743,0.33877356872444864,4.52501,-7.97041,53.73116,164.02897
70000.0,AU Mic d,1.63414325699529,0.9796813878258014,20.54691,-5.00684,192.03183,185.02467
75000.0,AU Mic b,0.15083280278966588,0.26323782344091884,24.13104,18.63275,343.91714,171.12241
75000.0,AU Mic c,0.3803848291598614,0.5335425529780452,9.62353,-168.32557,256.72953,189.13309
