t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5.0,Alpha Centauri B,23.5391339206173,0.5151841601522287,79.2088,-155.14196,231.61818,68.63931
5.0,Alpha Centauri A b,1.602846380306679,0.10816297619498526,63.27368,-154.47512,303.37233,131.89826
5.0,Dante,0.0007345764038998466,0.02016238283215139,55.34614,-158.42141,267.36445,328.34069
5.0,Hades,0.0009915152319685799,0.05544833457557281,71.87335,-147.65347,288.36022,89.38147
5.0,Pandora,0.0016871759410966025,0.002005559427855395,71.78558,-148.95539,44.34993,101.03896
5.0,Cassandra,0.004007565862401574,0.03221079691073601,112.2548,29.13556,100.14362,108.68666
5.0,Chaos,0.010465224813519476,0.04520246196930273,117.73942,23.99949,217.05356,301.96421
10.0,Alpha Centauri B,23.638724784304326,0.5169006758351459,79.20801,-155.14435,231.80567,105.00632
10.0,Alpha Centauri A b,1.614082823267039,0.10632095414918367,63.14616,-154.32652,303.80814,325.09294
10.0,Dante,0.0007343147469285717,0.0035298058475723934,70.37381,-149.46513,212.66147,300.46756
10.0,Hades,0.0009911667519400217,0.023139495670933343,65.16116,-143.13589,272.11782,181.37543
10.0,Pandora,0.0016873598136262027,0.0035574083925107524,67.06536,-144.94954,293.50377,107.99358
10.0,Cassandra,0.004007735416284289,0.06772867681854622,116.76343,20.42314,293.85992,350.03932
10.0,Chaos,0.010044065798030025,0.04073219682604878,116.94141,23.80244,295.84294,149.43473
15.0,Alpha Centauri B,23.555270384751903,0.5159474135100496,79.2202,-155.14473,231.55989,126.43812
15.0,Alpha Centauri A b,1.6157399645000121,0.09492956823103778,63.1046,-154.3133,305.91722,180.13899
15.0,Dante,0.000735303946128816,0.020639257379712467,58.2795,-163.00744,46.2635,18.80788
15.0,Hades,0.000989905421968338,0.03289759406329665,57.51776,-144.46907,104.32181,107.8133
15.0,Pandora,0.0016873009270172033,0.0034879984065288444,60.97157,-143.74035,229.99768,67.92038
15.0,Cassandra,0.003990142471141799,0.039571945209620006,120.02323,30.52256,134.18472,235.89782
15.0,Chaos,0.010495520975003975,0.047861144916408596,116.24137,23.83394,356.4711,11.58347
20.0,Alpha Centauri B,23.626248548344442,0.5154821385645434,79.18822,-155.14962,231.86046,140.80963
20.0,Alpha Centauri A b,1.6141348856669375,0.10386906368105621,63.1188,-154.33946,308.9143,34.12084
20.0,Dante,0.0007344227807628089,0.01473468254539953,65.83253,-145.85071,345.754,301.15305
20.0,Hades,0.0009925836082442505,0.05412401123861963,52.81577,-151.74099,60.66349,274.66006
20.0,Pandora,0.0016870513178128112,0.0046484312249870634,55.81847,-147.26707,144.44939,50.69684
20.0,Cassandra,0.003978793071920133,0.042044900626124884,112.63262,24.52525,42.13852,55.17472
20.0,Chaos,0.01002463394528655,0.007737251373196387,115.76645,24.69674,21.15236,263.90811
25.0,Alpha Centauri B,23.56023485237861,0.5169814433817854,79.22976,-155.13548,231.55857,152.58249
25.0,Alpha Centauri A b,1.6034876294124205,0.1043514756705088,63.1571,-154.33994,305.42996,232.08485
25.0,Dante,0.0007339851017794282,0.014020136294182223,63.25732,-164.75227,131.16163,51.3479
25.0,Hades,0.0009983267741790853,0.05627738829393886,53.85001,-161.14053,60.47244,55.42452
25.0,Pandora,0.0016869273679029268,0.002980041775075814,52.9727,-154.06656,36.95391,58.94256
25.0,Cassandra,0.003958732836764367,0.05966395957661087,121.9744,21.83204,239.03724,291.02171
25.0,Chaos,0.010463937141060156,0.018907236087897357,115.31948,25.54407,286.51975,282.64945
30.0,Alpha Centauri B,23.611885108945486,0.5145946366688195,79.19549,-155.1541,231.7458,162.14665
30.0,Alpha Centauri A b,1.5980301351641806,0.09923151397792564,63.18444,-154.30761,302.87059,106.05326
30.0,Dante,0.0007347203439517461,0.0225224493291324,60.67368,-145.86581,90.81401,343.93431
30.0,Hades,0.000995847234297396,0.022276428866750516,59.91261,-166.39764,229.64521,321.47824
30.0,Pandora,0.0016870515941886178,0.002589100855699943,54.52271,-161.10009,312.818,44.68659
30.0,Cassandra,0.003938741537077733,0.039707851900887284,116.27965,29.61161,92.98603,170.1494
30.0,Chaos,0.010072533337528063,0.04077375194628723,115.63189,26.17196,24.07062,110.2518
35.0,Alpha Centauri B,23.56451772417797,0.5175744233249946,79.21791,-155.13716,231.66903,171.0344
35.0,Alpha Centauri A b,1.595624207035086,0.09741302164536357,63.20211,-154.28269,308.02322,289.70723
35.0,Dante,0.0007348320854329595,0.007443244841971469,68.4373,-163.01889,230.91929,69.87773
35.0,Hades,0.0009897471108011903,0.03747891937999866,67.2936,-165.51608,214.57525,127.06129
