t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5000.0,Barnard d,0.018797359664698074,0.04194905429154958,0.0,0.0,347.36104,215.34196
5000.0,Barnard b,0.022900766831224696,0.047999504126818415,0.0,0.0,303.46385,339.68787
5000.0,Barnard c,0.027400453551598876,0.026286227221953423,0.0,0.0,278.83769,241.38735
5000.0,Barnard e,0.03810276274372554,0.02533367777493579,0.0,0.0,142.8156,218.26615
10000.0,Barnard d,0.018797605002903436,0.06143684261992197,0.0,0.0,355.13456,90.74516
10000.0,Barnard b,0.022902008711980948,0.03189024667127906,0.0,0.0,32.80536,259.36153
10000.0,Barnard c,0.027397834337835634,0.017290928119938737,0.0,0.0,10.80417,143.85927
10000.0,Barnard e,0.03810448388754385,0.028465048421429717,0.0,0.0,224.00554,307.83955
15000.0,Barnard d,0.01879899146272154,0.025236887367915597,0.0,0.0,48.92636,165.06692
15000.0,Barnard b,0.02289760914189615,0.04004356220312845,0.0,0.0,43.4476,286.89472
15000.0,Barnard c,0.027402172947153466,0.03960494519640362,0.0,0.0,100.49676,102.39934
15000.0,Barnard e,0.03810288126274754,0.03551556139064054,0.0,0.0,295.05639,197.47363
20000.0,Barnard d,0.01879684578002316,0.021429848556461375,0.0,0.0,131.11253,303.70644
20000.0,Barnard b,0.022904462694066305,0.02342946231652061,0.0,0.0,167.29532,184.9359
20000.0,Barnard c,0.027395789654591905,0.047928619378169335,0.0,0.0,111.97386,44.47439
20000.0,Barnard e,0.038104107064884624,0.039957976466289624,0.0,0.0,359.87904,214.17702
25000.0,Barnard d,0.018796155827640014,0.04676718266306145,0.0,0.0,226.04387,184.99251
25000.0,Barnard b,0.022902249803985784,0.03599723971208429,0.0,0.0,169.35747,36.1899
25000.0,Barnard c,0.027399882190309626,0.018931676929371432,0.0,0.0,151.23371,113.73703
25000.0,Barnard e,0.03810537268045795,0.04428847389064901,0.0,0.0,68.58053,182.1498
30000.0,Barnard d,0.018796274831854125,0.04621243464409495,0.0,0.0,220.74001,139.73135
30000.0,Barnard b,0.022905443819751518,0.03275302905107393,0.0,0.0,272.76028,117.65366
30000.0,Barnard c,0.0273963369402558,0.008781432507790019,0.0,0.0,269.11873,279.10845
30000.0,Barnard e,0.038103357885285315,0.05140458630885018,0.0,0.0,134.86759,277.00327
35000.0,Barnard d,0.018797211757867575,0.016436887259109866,0.0,0.0,293.71348,245.32812
35000.0,Barnard b,0.0229024503214194,0.018605356903435833,0.0,0.0,252.60492,168.97693
35000.0,Barnard c,0.027398362053109093,0.037441902981705744,0.0,0.0,332.28103,2.60303
35000.0,Barnard e,0.03810251888307335,0.05773658326149632,0.0,0.0,195.92354,126.87852
40000.0,Barnard d,0.018798013296110087,0.011637408818666452,0.0,0.0,106.62041,336.32818
40000.0,Barnard b,0.022902445921268194,0.031217683430396593,0.0,0.0,29.94017,21.34724
40000.0,Barnard c,0.027397461230243364,0.02825759521839819,0.0,0.0,328.2944,6.97062
40000.0,Barnard e,0.03810371374692145,0.05993122920665572,0.0,0.0,258.13869,14.33253
45000.0,Barnard d,0.018799024442299903,0.044005022263768186,0.0,0.0,80.76498,6.89878
45000.0,Barnard b,0.022899752264830486,0.005071396474090588,0.0,0.0,136.40648,2.30058
45000.0,Barnard c,0.02739853343018817,0.010308594759981403,0.0,0.0,348.82533,4.57573
45000.0,Barnard e,0.038104104366863414,0.06349176318227939,0.0,0.0,322.96452,350.93946
50000.0,Barnard d,0.01879790032259578,0.014023571868092399,0.0,0.0,65.86592,186.15139
50000.0,Barnard b,0.022902097656765992,0.026674223358471236,0.0,0.0,115.62486,148.92716
50000.0,Barnard c,0.027398593750123042,0.016351194004250464,0.0,0.0,229.87983,147.09149
50000.0,Barnard e,0.03810410787572274,0.06843391951263762,0.0,0.0,25.11784,9.25104
55000.0,Barnard d,0.018799470053343665,0.005983973146709751,0.0,0.0,60.42231,299.3788
55000.0,Barnard b,0.022900950216625058,0.013471897675729894,0.0,0.0,344.41004,188.51571
55000.0,Barnard c,0.027395841728379607,0.025610802165361615,0.0,0.0,193.38083,134.64099
55000.0,Barnard e,0.03810557059582443,0.06939681898894234,0.0,0.0,84.75412,195.77321
60000.0,Barnard d,0.018800782031353415,0.03245341988037118,0.0,0.0,354.8366,171.62756
60000.0,Barnard b,0.022897839189273347,0.011517905273577255,0.0,0.0,224.87,219.26145
60000.0,Barnard c,0.027397837083723224,0.013097364585105832,0.0,0.0,150.72788,179.39374
60000.0,Barnard e,0.03810454411921755,0.06787303904808044,0.0,0.0,147.83968,286.93435
65000.0,Barnard d,0.018796700901593806,0.0160728310117739,0.0,0.0,281.10568,265.01677
65000.0,Barnard b,0.0229025331796013,0.018995623641432705,0.0,0.0,36.32908,238.42184
65000.0,Barnard c,0.027400059012467518,0.022286688047353787,0.0,0.0,135.83996,88.2219
65000.0,Barnard e,0.0381018528470467,0.0684777968729282,0.0,0.0,211.72737,189.34473
70000.0,Barnard d,0.018797973790217228,0.021945643830281216,0.0,0.0,204.58285,314.90578
70000.0,Barnard b,0.022899215227030287,0.009280899010725116,0.0,0.0,291.04554,173.29806
70000.0,Barnard c,0.02740002065346438,0.02429974823101094,0.0,0.0,120.05455,164.52325
70000.0,Barnard e,0.03810572628285188,0.06859040425383867,0.0,0.0,272.21102,78.1885
75000.0,Barnard d,0.018798615520433545,0.02697363109288627,0.0,0.0,214.12265,135.36111
75000.0,Barnard b,0.022900580970199973,0.03159597844514692,0.0,0.0,241.5483,189.47246
75000.0,Barnard c,0.027399257595138556,0.00964953126457423,0.0,0.0,61.95817,24.33544
75000.0,Barnard e,0.038104228644702316,0.06379674675519001,0.0,0.0,333.05224,208.44215
80000.0,Barnard d,0.01879917191855641,0.02362953919002121,0.0,0.0,257.69575,245.72702
80000.0,Barnard b,0.02289701984826004,0.02377215136994085,0.0,0.0,235.85706,288.24806
80000.0,Barnard c,0.0274040293990206,0.031477123287611646,0.0,0.0,340.5126,136.68202
80000.0,Barnard e,0.038105332598443495,0.05870369023118143,0.0,0.0,38.2184,160.4756
85000.0,Barnard d,0.018796437851147572,0.008365993724345629,0.0,0.0,279.31503,358.73897
85000.0,Barnard b,0.02290009742036879,0.02575173764939278,0.0,0.0,27.83845,56.4991
85000.0,Barnard c,0.027402331942663834,0.037486105141123015,0.0,0.0,336.77382,171.23103
85000.0,Barnard e,0.0381029933217368,0.056627711854940345,0.0,0.0,101.76221,284.54376
90000.0,Barnard d,0.018796424101695505,0.04566674187749477,0.0,0.0,86.62081,312.86347
90000.0,Barnard b,0.022904073026295563,0.026785885319636757,0.0,0.0,20.93877,43.18414
90000.0,Barnard c,0.027398155082518603,0.020123409741874296,0.0,0.0,21.57481,249.28761
90000.0,Barnard e,0.0381024882993552,0.05148727140406732,0.0,0.0,162.94782,311.72326
95000.0,Barnard d,0.018796084692719213,0.04685678643418279,0.0,0.0,84.57883,258.93823
95000.0,Barnard b,0.02290120299248069,0.04116966917801114,0.0,0.0,125.21137,326.70623
95000.0,Barnard c,0.027401436568717748,0.008321073549179,0.0,0.0,139.51787,16.02475
95000.0,Barnard e,0.03810487415000083,0.04362666347697826,0.0,0.0,228.00078,188.5811
