t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5.0,Alpha Centauri B,23.539133025871134,0.5151841563674842,79.2088,-155.14196,231.61817,68.63943
5.0,Alpha Centauri A b,1.5979455655272672,0.10931655286398179,63.27299,-154.4781,301.73448,133.53961
5.0,Dante,0.0007350054276215728,0.022309120187903497,66.22356,-151.67239,261.78598,331.31201
5.0,Hades,0.0010023018623246754,0.0118815706082592,65.36244,-151.31995,111.73024,350.36948
5.0,Pandora,0.0016870497977239927,5.343470330517952e-05,73.34618,-152.9465,185.70471,286.22684
5.0,Cassandra,0.003986617706909709,0.028392747661121195,104.88222,32.2128,77.96963,120.99609
5.0,Chaos,0.010304976157903949,0.041734200456408764,117.64869,22.65927,236.61617,281.07934
10.0,Alpha Centauri B,23.638723243778223,0.5169006891906289,79.20801,-155.14435,231.80566,105.00625
10.0,Alpha Centauri A b,1.6003715603932893,0.09965485691999772,63.14597,-154.33581,306.02522,322.87698
10.0,Dante,0.0007343139476084951,0.010465050445221818,67.18225,-158.9674,356.8879,58.20002
10.0,Hades,0.000989265375531566,0.04551054689526714,70.14811,-159.69684,247.71841,185.8297
10.0,Pandora,0.0016869569925249217,0.001030411605360664,72.17169,-151.72511,355.01052,335.93665
10.0,Cassandra,0.003929279495158723,0.04763381158890808,110.45355,15.20145,286.74921,331.74927
10.0,Chaos,0.010371335706635516,0.021770370316875932,115.93022,22.02126,350.56319,92.75881
15.0,Alpha Centauri B,23.555271110912205,0.5159473701037093,79.2202,-155.14473,231.5599,126.43805
15.0,Alpha Centauri A b,1.6016125874926865,0.10461650277728886,63.10824,-154.31897,307.41576,178.63967
15.0,Dante,0.0007363991040436728,0.014641762183747697,71.88605,-153.58629,240.26023,324.97951
15.0,Hades,0.00099008465436559,0.039298306154294714,70.9183,-149.32434,262.9592,182.25754
15.0,Pandora,0.0016874542926543108,0.0027308574974376585,70.44447,-149.95267,259.86236,290.64352
15.0,Cassandra,0.00390752266887572,0.053167200063046746,119.00447,31.91265,143.09884,194.74909
15.0,Chaos,0.010028515665878285,0.016606020322506302,113.86226,21.60424,276.82884,88.45064
20.0,Alpha Centauri B,23.626248545013716,0.5154821576006495,79.18822,-155.14962,231.86046,140.80962
20.0,Alpha Centauri A b,1.6009339981658983,0.10036694739262245,63.10982,-154.3364,303.93557,39.09648
20.0,Dante,0.0007357365436970706,0.02035938556659353,65.07625,-152.64632,6.02738,17.59802
20.0,Hades,0.000999663360844734,0.020364467760499574,63.85162,-156.37329,84.68486,348.40418
