t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
1.0,Alpha Centauri B,23.523456844410237,0.5148232071697375,79.21221,-155.13971,231.66628,16.15538
1.0,Alpha Centauri A b,1.6170552160051417,0.09326923585876962,63.33442,-154.96921,306.15586,107.02264
1.0,Dante,0.0007353292166987706,0.01546309380712489,55.1667,-151.49284,138.36133,326.78333
1.0,Hades,0.0009877293466277806,0.05177451203023238,64.31456,-142.98156,321.87629,218.28469
1.0,Pandora,0.00168774608002809,0.005487774253668013,65.43587,-144.27693,287.36059,332.56574
1.0,Cassandra,0.003911846449450797,0.03958833383598834,120.06537,21.73576,246.95718,34.34915
1.0,Chaos,0.010426990972801921,0.09424203542956122,117.99665,25.03508,183.94614,229.66365
2.0,Alpha Centauri B,23.667515676232725,0.5177519773822786,79.20847,-155.15094,231.7044,31.46771
2.0,Alpha Centauri A b,1.5981115914016595,0.1027815193893431,63.29963,-154.85838,304.64746,271.76687
2.0,Dante,0.0007343204864966152,0.014964958569201405,69.84036,-160.40545,186.05651,36.59261
2.0,Hades,0.0009904013997086563,0.03348219586537967,52.30481,-153.82516,322.88667,225.91224
2.0,Pandora,0.0016873127612634334,0.00514215023992765,53.84234,-150.70439,241.31343,38.68678
2.0,Cassandra,0.004007230534833227,0.029669877047900344,117.59317,19.73675,319.11883,122.33045
2.0,Chaos,0.009934143451890164,0.08874326153997852,117.99805,24.69175,190.1385,61.04961
3.0,Alpha Centauri B,23.531353708652837,0.5149994067627978,79.20974,-155.14038,231.636,45.50106
3.0,Alpha Centauri A b,1.6121172533594874,0.0971438246081654,63.3308,-154.71259,303.14771,121.29798
3.0,Dante,0.0007358644031300517,0.009794706670323781,58.31959,-147.164,354.89225,320.59951
3.0,Hades,0.0009923630059681919,0.004832717623197909,62.25914,-167.25328,351.45689,198.67233
3.0,Pandora,0.0016874988344554136,0.00022018027553483846,58.23728,-165.36463,65.30305,234.88623
3.0,Cassandra,0.003907090472255444,0.04668429369943889,113.74898,20.05549,348.38831,244.58299
3.0,Chaos,0.010473246291816249,0.08441590497540903,118.00496,24.40536,194.12621,221.81707
4.0,Alpha Centauri B,23.656412538302487,0.5175015961325353,79.21105,-155.15008,231.739,57.7475
4.0,Alpha Centauri A b,1.6004761418698628,0.10264223594697507,63.31292,-154.54591,305.04333,283.25164
4.0,Dante,0.0007351472624845142,0.019653819280135296,66.03705,-164.54944,63.62891,17.70581
4.0,Hades,0.0009950532496542787,0.03321545293357892,73.76578,-157.09735,162.49693,9.10755
4.0,Pandora,0.0016874086443036986,0.004447611679519433,70.95049,-162.50791,330.1,343.14026
4.0,Cassandra,0.004014874423790282,0.06818898817530028,111.03476,23.97319,30.61319,10.57913
4.0,Chaos,0.009951350092640846,0.08381424845114444,118.01017,24.37843,207.51125,43.69081
5.0,Alpha Centauri B,23.539133009782322,0.5151841562747166,79.2088,-155.14196,231.61817,68.63943
5.0,Alpha Centauri A b,1.6075679311532336,0.10085817428266343,63.26635,-154.50685,302.8424,132.44517
5.0,Dante,0.0007346429201901535,0.009419246481857633,64.42537,-145.38884,238.99862,317.34453
5.0,Hades,0.0009946210767819606,0.05770065804615867,65.879,-144.04853,161.76474,350.30579
5.0,Pandora,0.0016873247261633216,0.002675426131781318,71.68147,-148.78869,272.96258,52.50848
5.0,Cassandra,0.003907692622142554,0.052915352695142186,112.30045,29.19145,64.05607,141.32481
5.0,Chaos,0.010454373045755557,0.07690363480481574,117.76725,23.9058,210.97447,207.93963
6.0,Alpha Centauri B,23.64782645308923,0.5172828127068935,79.21192,-155.14816,231.76244,77.84622
6.0,Alpha Centauri A b,1.6056248064046612,0.10289916200725503,63.21459,-154.45438,304.31857,296.84874
6.0,Dante,0.0007356663868967962,0.02015750197421632,60.01266,-163.91292,306.81892,23.60359
6.0,Hades,0.0009934462898464112,0.05717808904927859,53.41272,-151.95968,167.62714,316.75844
6.0,Pandora,0.0016872996474091074,0.0030336381480531196,59.29616,-144.27296,48.48541,289.03731
6.0,Cassandra,0.004006462477741238,0.045553381286789804,116.90315,31.4449,85.06145,272.71282
6.0,Chaos,0.010087411321968677,0.09002672267443207,117.54682,23.72363,227.78542,23.05153
7.0,Alpha Centauri B,23.54489992933534,0.5153389478322694,79.20938,-155.14366,231.60529,86.15038
7.0,Alpha Centauri A b,1.604478847236743,0.102818589914089,63.20513,-154.36135,303.14978,142.59773
7.0,Dante,0.0007341360876808382,0.012244352827184678,68.85246,-148.36337,145.30246,299.28574
7.0,Hades,0.0009914924631815227,0.03222614679905794,61.02357,-166.09175,184.39658,281.34435
7.0,Pandora,0.0016876014963534587,0.0058524346129032005,53.27901,-158.13405,1.16729,358.74822
7.0,Cassandra,0.003912627716937374,0.040579664570702945,120.99348,28.88915,149.43166,11.95567
7.0,Chaos,0.010378869656123396,0.07808981161673527,117.39004,23.86022,230.53361,191.70536
8.0,Alpha Centauri B,23.64227878833475,0.5170944344355967,79.21084,-155.14602,231.78375,93.10667
8.0,Alpha Centauri A b,1.6100587262276669,0.10419274968356691,63.17279,-154.38408,303.79673,310.94988
8.0,Dante,0.0007357779759395875,0.022530324841361835,55.67186,-160.57093,180.99316,28.9162
8.0,Hades,0.0009908801450233561,0.006906795886028535,72.419,-158.09684,46.94076,41.15554
8.0,Pandora,0.0016870911117297474,0.0018109267536743263,64.13181,-166.41236,319.23845,59.53895
8.0,Cassandra,0.004003727790416282,0.034275169867119065,121.71106,24.13896,225.90796,97.117
8.0,Chaos,0.010273816591238584,0.10400495541644489,117.08694,23.72677,242.62568,7.54703
9.0,Alpha Centauri B,23.548878341498927,0.5154782086455665,79.2112,-155.14496,231.59324,99.60436
9.0,Alpha Centauri A b,1.60175528413211,0.10439458956239174,63.16354,-154.39715,303.39824,152.63316
9.0,Dante,0.000734121141560422,0.011621010665956631,72.06577,-153.79195,26.07219,295.25489
9.0,Hades,0.000993037177170798,0.046612105382296536,66.48133,-145.5895,27.70248,41.72992
9.0,Pandora,0.0016873711757541799,0.003889121284817342,73.18125,-156.56591,59.02634,329.95926
9.0,Cassandra,0.003914234491138824,0.04347111518692747,119.57663,20.85346,251.6693,221.16562
9.0,Chaos,0.010272028657816432,0.08808693268189065,116.86094,23.72083,246.56636,178.98026
10.0,Alpha Centauri B,23.63872329157625,0.5169006888536306,79.20801,-155.14435,231.80566,105.00625
10.0,Alpha Centauri A b,1.613635286667478,0.10605879614776914,63.14613,-154.32794,303.83224,325.0666
10.0,Dante,0.0007354238869714236,0.021620990854562514,54.89427,-153.04906,39.99281,31.79382
10.0,Hades,0.0009995400127197933,0.0636547539718175,54.84418,-151.80405,37.62606,11.08016
10.0,Pandora,0.001687421356089417,0.004255020817058091,66.71575,-144.78575,356.83173,40.93127
10.0,Cassandra,0.004001659341920831,0.06591637718645686,116.78508,20.4439,288.81919,346.89143
10.0,Chaos,0.010463086158228746,0.11972767604695764,116.94111,24.07757,252.36492,356.86963
11.0,Alpha Centauri B,23.551661628540803,0.515620061355926,79.21385,-155.1456,231.58126,110.28085
11.0,Alpha Centauri A b,1.5997367204493487,0.10581801506458058,63.13715,-154.34663,303.80798,162.29883
11.0,Dante,0.0007350220300341016,0.013132196818676195,70.54061,-159.30842,249.01263,299.59123
11.0,Hades,0.000995684584982009,0.05212918667997434,60.73815,-164.36733,53.84123,340.27581
11.0,Pandora,0.0016870284387069574,0.001494609375810721,54.53311,-149.30978,183.4211,230.25711
11.0,Cassandra,0.003918746188882913,0.055288638714216985,114.41192,21.19572,328.11605,114.07357
11.0,Chaos,0.01016188494341399,0.10208014042877435,116.90466,23.87327,257.80318,171.17653
12.0,Alpha Centauri B,23.636167987096666,0.5166755515049462,79.20391,-155.14358,231.82716,114.60504
12.0,Alpha Centauri A b,1.6160904644448688,0.107718939889551,63.13882,-154.3821,304.58668,338.9603
12.0,Dante,0.0007351917592620638,0.022047710924098077,57.4001,-147.81688,272.25565,31.50202
12.0,Hades,0.0009918457032664463,0.016536566920358906,71.07291,-157.7576,48.91324,323.57261
12.0,Pandora,0.0016873155612052912,0.005365161115846885,57.18994,-164.49278,106.06841,330.1878
12.0,Cassandra,0.003989077949719638,0.04346035026578352,112.37217,23.50535,349.611,245.11408
12.0,Chaos,0.01060460844647743,0.13215799433951228,116.74295,23.61468,258.89146,348.84706
13.0,Alpha Centauri B,23.55369806354213,0.5157750960652921,79.21696,-155.14552,231.56986,119.0393
13.0,Alpha Centauri A b,1.5979446694121269,0.10718438906623359,63.11541,-154.31738,304.4849,171.60925
13.0,Dante,0.0007354440852588259,0.012198325339271102,67.03459,-164.06508,126.79754,298.07537
13.0,Hades,0.000990258177442079,0.023476618901613365,65.91739,-146.78714,258.94328,99.62029
13.0,Pandora,0.0016871722193549659,0.003953381099908846,70.02197,-163.37906,54.10995,36.44974
13.0,Cassandra,0.00392837296594214,0.04144932124086959,112.342,27.52247,48.50185,349.62104
13.0,Chaos,0.010071810337164611,0.11422567809218195,116.5595,23.73859,266.03914,166.43359
14.0,Alpha Centauri B,23.633931131658958,0.5164100632444074,79.1992,-155.14389,231.84573,122.59888
14.0,Alpha Centauri A b,1.6177832721550358,0.10874698046856501,63.12269,-154.33856,305.71695,352.71994
14.0,Dante,0.0007340842552164471,0.01775516322313966,63.2766,-145.35443,154.42801,27.97079
14.0,Hades,0.0009922224173550087,0.05016723002834876,55.8484,-152.34506,269.34051,71.61453
14.0,Pandora,0.0016870502588203038,0.0017498077563233988,72.20462,-149.86427,158.89059,301.16861
14.0,Cassandra,0.0039855329859875875,0.03688282600980712,115.23923,30.84408,130.52544,75.78209
14.0,Chaos,0.010660275062443436,0.13700098194037044,116.29473,23.73728,264.89463,341.59208
15.0,Alpha Centauri B,23.555271088456177,0.5159473714105227,79.2202,-155.14473,231.5599,126.43805
15.0,Alpha Centauri A b,1.5965479506656266,0.10808457271607005,63.14543,-154.3762,305.57644,180.50532
15.0,Dante,0.0007351304856185387,0.013444209662570681,61.10352,-164.26552,4.02415,318.50004
15.0,Hades,0.0009953010368817143,0.05313870492712626,61.40727,-163.33653,283.47399,20.40717
15.0,Pandora,0.0016871190050266622,0.004949974369322196,60.40296,-143.86322,109.06843,3.18133
15.0,Cassandra,0.003932254822541235,0.04153488401963458,120.02511,30.48835,162.246,196.13139
15.0,Chaos,0.010032909694061468,0.11786451896612107,115.98013,23.62901,272.79452,163.11628
16.0,Alpha Centauri B,23.631619639878036,0.5161104415491268,79.1946,-155.1452,231.85866,129.44344
16.0,Alpha Centauri A b,1.6177615122435232,0.10830810667022252,63.11313,-154.33032,307.06616,6.37997
16.0,Dante,0.0007357018022031753,0.014006436531657387,68.14263,-147.74533,78.44295,40.0703
