system: star+planet+Cassandra+Chaos + 300 ring test particles (1000k–2000k km)
Chaos: a=1500k km e=0.100  peri=1350k apo=1650k
integrating 2000 yr (TRACE, dt=0.0005 yr)…

 a_init (k km) | survival            | frac
     1015     | #################### | 1.00
     1044     | #################### | 1.00
     1074     | #################### | 1.00
     1103     | #################### | 1.00
     1132     | #################### | 1.00
     1162     | #################### | 1.00
     1191     | #################### | 1.00
     1221     | #################### | 1.00
     1250     | #################### | 1.00
     1279     | #################### | 1.00
     1309     | #################### | 1.00
     1338     | #################### | 1.00
     1368     | #################### | 1.00
     1397     | #################### | 1.00
     1426     | #################### | 1.00
     1456     | #################### | 1.00
     1485     | #################### | 1.00
     1515     | #################### | 1.00
     1544     | #################### | 1.00
     1574     | #################### | 1.00
     1603     | #################### | 1.00
     1632     | #################### | 1.00
     1662     | #################### | 1.00
     1691     | #################### | 1.00
     1721     | #################### | 1.00
     1750     | #################### | 1.00
     1779     | #################### | 1.00
     1809     | #################### | 1.00
     1838     | #################### | 1.00
     1868     | #################### | 1.00
     1897     | #################### | 1.00
     1926     | #################### | 1.00
     1956     | #################### | 1.00
     1985     | #################### | 1.00

analytic gap (swept ± 2.5·R_Hill, R_Hill=9k): [1326k, 1674k]  width 347k km
measured cleared gap: none (ring not cleared)
