# integrator = leapfrog (fixed dt 10.0 min) | J2 sources: all 6 figure bodies
  ... 25 yr  elapsed 75s
  ... 50 yr  elapsed 150s
  ... 75 yr  elapsed 200s
  ... 100 yr  elapsed 251s
  ... 125 yr  elapsed 302s
  ... 150 yr  elapsed 352s
  ... 175 yr  elapsed 403s
  ... 200 yr  elapsed 455s
  ... 225 yr  elapsed 506s
  ... 250 yr  elapsed 1395s
  ... 275 yr  elapsed 1446s
  ... 300 yr  elapsed 1497s
  ... 325 yr  elapsed 1549s
  ... 350 yr  elapsed 1600s
  ... 375 yr  elapsed 1651s
  ... 400 yr  elapsed 1703s
  ... 425 yr  elapsed 1755s
  ... 450 yr  elapsed 1807s
  ... 475 yr  elapsed 1859s
  ... 500 yr  elapsed 1910s

# t = 500.000 yr snapshot  (mutual inc: 16.117 deg)
Polyphemus  a_au=1.600219 e=0.07783 inc=16.117 lan=149.79 argp=188.50 ma=97.80
Dante      a_km=109550.1 e=0.00503 inc=8.204 lan=168.69 argp=180.12 ma=301.64
Hades      a_km=149783.0 e=0.07339 inc=11.367 lan=52.27 argp=262.99 ma=327.59
Pandora    a_km=252417.3 e=0.00095 inc=16.534 lan=133.03 argp=230.32 ma=1.01
Cassandra  a_km=597872.1 e=0.04739 inc=168.067 lan=269.62 argp=181.90 ma=311.24
Chaos      a_km=1540260.6 e=0.01056 inc=176.568 lan=267.60 argp=16.46 ma=151.37
