# integrator = trace | J2 sources: all 6 figure bodies
  ... 25 yr  elapsed 142s
  ... 50 yr  elapsed 238s
  ... 75 yr  elapsed 333s
  ... 100 yr  elapsed 428s
  ... 125 yr  elapsed 524s
  ... 150 yr  elapsed 1458s
  ... 175 yr  elapsed 1553s
  ... 200 yr  elapsed 1648s
  ... 225 yr  elapsed 1745s
  ... 250 yr  elapsed 1842s
  ... 275 yr  elapsed 1938s
  ... 300 yr  elapsed 2032s
  ... 325 yr  elapsed 2125s
  ... 350 yr  elapsed 2219s
  ... 375 yr  elapsed 2313s
  ... 400 yr  elapsed 2408s
  ... 425 yr  elapsed 2502s
  ... 450 yr  elapsed 2596s
  ... 475 yr  elapsed 2690s
  ... 500 yr  elapsed 2785s

# t = 500.000 yr snapshot  (mutual inc: 16.085 deg)
Polyphemus  a_au=1.610543 e=0.07502 inc=16.085 lan=150.04 argp=192.93 ma=93.31
Dante      a_km=110022.9 e=0.00593 inc=16.888 lan=101.64 argp=148.15 ma=29.89
Hades      a_km=149060.9 e=0.04397 inc=8.392 lan=31.89 argp=22.90 ma=0.91
Pandora    a_km=252427.3 e=0.00145 inc=16.065 lan=71.54 argp=275.52 ma=95.18
Cassandra  a_km=587127.1 e=0.04175 inc=168.224 lan=259.01 argp=132.25 ma=14.89
Chaos      a_km=1506988.9 e=0.03399 inc=176.905 lan=265.16 argp=337.76 ma=180.06
