t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
0.25,40 Eridani A b,0.2239999852697697,0.040001066767247975,0.0,-93.3722,188.76918,298.60892
0.25,40 Eridani A c,0.4000628805299789,0.03995013163840489,1.49992,-175.94248,93.26655,156.02969
0.25,40 Eridani A d,0.634857531236777,0.041969334121601934,2.50003,-77.83427,145.90837,101.71811
0.5,40 Eridani A b,0.2240000078940594,0.03999997886051818,0.0,-80.85481,176.25043,329.93554
0.5,40 Eridani A c,0.4000539694532394,0.0399393575151149,1.49994,-175.94551,93.25954,112.53589
0.5,40 Eridani A d,0.634890788689552,0.041970687520894605,2.50012,-77.83157,145.94489,249.48821
0.75,40 Eridani A b,0.22399998370228746,0.04000031293961625,0.0,-90.87905,186.27627,1.97932
0.75,40 Eridani A c,0.4000030903182517,0.040044753865429696,1.49992,-175.95409,93.22816,66.62161
0.75,40 Eridani A d,0.6349962465282056,0.04203401435315929,2.49991,-77.83533,146.11427,54.83735
1.0,40 Eridani A b,0.22399999694296727,0.040001007604870784,0.0,-84.50052,179.89672,33.9799
1.0,40 Eridani A c,0.39997322854631495,0.039986680149640186,1.49998,-175.95879,93.15685,18.0592
1.0,40 Eridani A d,0.6348447258606841,0.041977566050429876,2.50017,-77.83556,146.03965,205.97956
1.25,40 Eridani A b,0.22399996864750452,0.04000050705845566,1e-05,-87.1988,182.59386,65.30466
1.25,40 Eridani A c,0.4000314174484202,0.04010024293664585,1.49988,-175.96342,93.10562,328.56287
1.25,40 Eridani A d,0.6349247594224571,0.04197350139365459,2.49999,-77.83422,146.03366,5.74263
1.5,40 Eridani A b,0.224000064355718,0.040000054507289474,1e-05,-80.44136,175.83798,95.41985
1.5,40 Eridani A c,0.4000537928815245,0.04002481875077805,1.49995,-175.9677,93.07613,280.61574
1.5,40 Eridani A d,0.6349727407104309,0.041820282874576696,2.50002,-77.83664,146.06151,163.72799
1.75,40 Eridani A b,0.2239999690229399,0.040001221083979126,1e-05,-81.97425,177.3698,124.3487
1.75,40 Eridani A c,0.4000498638869799,0.04002438498446247,1.49991,-175.97204,93.076,235.41568
1.75,40 Eridani A d,0.634831045852056,0.0418640784752939,2.50007,-77.83786,146.03921,316.22899
2.0,40 Eridani A b,0.2240000046941026,0.04000035485107436,1e-05,-83.77551,179.17021,152.34031
2.0,40 Eridani A c,0.39998337902168096,0.04007277508397028,1.49995,-175.97418,93.17562,192.29671
2.0,40 Eridani A d,0.6349556589474079,0.041848374473606766,2.50002,-77.83493,146.06221,120.74395
2.25,40 Eridani A b,0.2240000072951294,0.040000442991381585,1e-05,-84.36617,179.76278,179.82132
2.25,40 Eridani A c,0.3999769168191279,0.040095286147371866,1.49995,-175.98661,93.27913,149.7452
2.25,40 Eridani A d,0.6349522211842505,0.04189172055220172,2.49997,-77.84025,145.84813,269.06787
2.5,40 Eridani A b,0.22399996823901522,0.04000126173334589,1e-05,-82.21222,177.60795,207.30162
2.5,40 Eridani A c,0.40003991992012317,0.040061562787510704,1.49992,-175.98937,93.38923,105.85724
2.5,40 Eridani A d,0.6348351002923963,0.0418967915771556,2.50014,-77.83678,145.87597,75.55874
2.75,40 Eridani A b,0.22400007201029093,0.04000019041847786,1e-05,-82.30297,177.69773,235.22934
2.75,40 Eridani A c,0.4000546043146703,0.04008662965197519,1.49994,-175.99415,93.38959,59.43107
2.75,40 Eridani A d,0.6349770302314912,0.041862168743218374,2.49995,-77.83904,145.82086,224.64998
3.0,40 Eridani A b,0.22399996730365543,0.04000058321018909,1e-05,-83.88003,179.27636,264.13892
3.0,40 Eridani A c,0.40004447339044713,0.04013874272624437,1.49989,-175.99791,93.36843,10.5477
3.0,40 Eridani A d,0.634912377033605,0.041976266236965556,2.50007,-77.84063,145.94391,27.20892
3.25,40 Eridani A b,0.2239999947461143,0.0400010412536229,1e-05,-82.46536,177.86058,294.2387
3.25,40 Eridani A c,0.3999790775569419,0.04000968813504705,1.49999,-176.00213,93.35515,321.07451
3.25,40 Eridani A d,0.6348501710680099,0.041990044470883524,2.5001,-77.84068,145.94309,182.00845
3.5,40 Eridani A b,0.22399999369348164,0.040000284946441735,2e-05,-83.6456,179.03984,325.48744
3.5,40 Eridani A c,0.39998929190854304,0.04003897821218943,1.49995,-176.00716,93.30651,273.51562
3.5,40 Eridani A d,0.6350015252094171,0.04207825165570434,2.49997,-77.83948,145.91498,337.51925
3.75,40 Eridani A b,0.22399999008492932,0.03999996740506291,2e-05,-82.15771,177.55364,357.47778
3.75,40 Eridani A c,0.4000470706285931,0.03992543100031058,1.49995,-176.0169,93.30076,228.75043
3.75,40 Eridani A d,0.6348808735998006,0.04196875867624292,2.50008,-77.84495,146.01245,139.51266
4.0,40 Eridani A b,0.22400000607918538,0.040001052543907574,2e-05,-82.70009,178.09464,29.53036
4.0,40 Eridani A c,0.4000654664354309,0.03992729732175972,1.49992,-176.01971,93.29466,185.93572
4.0,40 Eridani A d,0.6348649390781332,0.041951408593039745,2.50008,-77.83949,146.04176,288.89139
4.25,40 Eridani A b,0.22399999438627524,0.039999847509514457,2e-05,-81.75413,177.14798,60.93131
4.25,40 Eridani A c,0.4000129128468423,0.03995894652987599,1.5,-176.02121,93.32302,143.34816
4.25,40 Eridani A d,0.6349976884047634,0.041927153276169506,2.49999,-77.84434,146.19455,95.13931
4.5,40 Eridani A b,0.22400000311040555,0.04000058852822975,2e-05,-83.62311,179.01845,91.22021
4.5,40 Eridani A c,0.39997238589062634,0.04007148030281078,1.49997,-176.03119,93.3022,99.2869
4.5,40 Eridani A d,0.6348632517324466,0.04191522339160138,2.50008,-77.84383,146.04636,243.24
4.75,40 Eridani A b,0.22399997768098506,0.04000116942347294,2e-05,-82.35885,177.75305,120.36298
4.75,40 Eridani A c,0.4000079903545489,0.04007119007765166,1.49998,-176.03637,93.37683,52.40235
4.75,40 Eridani A d,0.6349030055197836,0.04191475822685899,2.50009,-77.84329,146.04113,48.22621
5.0,40 Eridani A b,0.22400000202543852,0.04000047324248342,2e-05,-83.55322,178.94675,148.46263
5.0,40 Eridani A c,0.4000627995872087,0.04017684431886755,1.49987,-176.03964,93.33129,3.27853
5.0,40 Eridani A d,0.6349830987678761,0.04179308149591394,2.49995,-77.84471,145.94182,200.20982
5.25,40 Eridani A b,0.22399999285929045,0.04000069482279993,2e-05,-82.35811,177.75317,175.98551
5.25,40 Eridani A c,0.40006383417540065,0.04015601532799854,1.49992,-176.04565,93.3398,313.94967
5.25,40 Eridani A d,0.634836474303186,0.04185735553723881,2.50016,-77.84719,145.96757,358.90583
5.5,40 Eridani A b,0.22399998218193562,0.04000117172376687,3e-05,-81.95828,177.35223,203.43541
5.5,40 Eridani A c,0.4000067167158586,0.040061633718453456,1.49999,-176.04988,93.41309,266.6782
5.5,40 Eridani A d,0.6349356792044125,0.04185016692758843,2.49998,-77.84369,145.9687,157.95416
5.75,40 Eridani A b,0.22400001462410765,0.040000173366927794,3e-05,-82.46878,177.86212,231.31852
5.75,40 Eridani A c,0.3999682455548897,0.0400768782073484,1.5,-176.05399,93.45045,222.22532
