t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
0.25,Barnard d,0.018799274562405953,0.039995747295720495,0.0,0.0,250.95278,14.49856
0.25,Barnard b,0.022898621369058805,0.02920129535206872,0.0,0.0,275.06192,14.69533
0.25,Barnard c,0.027402075985930304,0.08038681448255654,0.0,0.0,242.62327,74.00058
0.25,Barnard e,0.03810526526521698,0.04002926625193991,0.0,0.0,65.70217,189.1018
0.5,Barnard d,0.018799231295005884,0.04000121303791507,0.0,0.0,249.75274,26.60966
0.5,Barnard b,0.022894238748423456,0.0292814353311371,0.0,0.0,275.71056,25.69113
0.5,Barnard c,0.0274060909697821,0.08066272220666236,0.0,0.0,242.16189,136.57508
0.5,Barnard e,0.03810438250604209,0.040142948080593675,0.0,0.0,65.87124,20.34684
0.75,Barnard d,0.01879919665689857,0.039942878406154306,0.0,0.0,248.57563,39.65459
0.75,Barnard b,0.022902893019996096,0.02918736300418157,0.0,0.0,273.09107,38.54913
0.75,Barnard c,0.0273943142506814,0.08024179494802716,0.0,0.0,242.65478,193.78354
0.75,Barnard e,0.03810700118651049,0.040209050763499524,0.0,0.0,66.00629,206.04118
1.0,Barnard d,0.01879934810645804,0.04005294517062836,0.0,0.0,247.21804,52.76245
1.0,Barnard b,0.02289910909579951,0.02824946422387148,0.0,0.0,271.76643,50.9883
1.0,Barnard c,0.027398438819172446,0.08075245653507782,0.0,0.0,243.11628,252.46102
1.0,Barnard e,0.03810686427058214,0.04026452180301856,0.0,0.0,66.26758,40.23891
1.25,Barnard d,0.01879895739233875,0.04012436899006123,0.0,0.0,245.98799,66.69664
1.25,Barnard b,0.022893263633822217,0.028068826278020775,0.0,0.0,272.74892,63.10376
1.25,Barnard c,0.027407066772272726,0.08114861958355152,0.0,0.0,242.59311,321.88391
1.25,Barnard e,0.038107901468783255,0.04018377212879776,0.0,0.0,66.18001,223.91664
1.5,Barnard d,0.018798895128675656,0.04015112138116401,0.0,0.0,244.63623,79.34661
1.5,Barnard b,0.022902639788799122,0.028278649150519322,0.0,0.0,270.32221,76.35457
1.5,Barnard c,0.02739602648640218,0.08048498412886651,0.0,0.0,243.01111,38.35533
1.5,Barnard e,0.03810550749114064,0.040277740354364655,0.0,0.0,66.4409,60.31458
1.75,Barnard d,0.018799179877004798,0.04031127315313994,0.0,0.0,243.45778,91.65546
1.75,Barnard b,0.022902027799416337,0.02726691187846115,0.0,0.0,268.6494,88.35667
1.75,Barnard c,0.027398168368299558,0.08096715275361213,0.0,0.0,243.50939,107.47302
1.75,Barnard e,0.0381089696435148,0.04025346135170965,0.0,0.0,66.70995,241.45917
2.0,Barnard d,0.018798556862988553,0.040499131587179465,0.0,0.0,242.23976,103.8244
2.0,Barnard b,0.022898436656838713,0.0273377194253251,0.0,0.0,269.11576,99.56345
2.0,Barnard c,0.027402817169765635,0.08089018944698984,0.0,0.0,243.13518,166.17029
2.0,Barnard e,0.038103539617917334,0.040165429941398566,0.0,0.0,66.95001,79.26289
2.25,Barnard d,0.01879830866240975,0.040550910892741834,0.0,0.0,241.10662,115.61592
2.25,Barnard b,0.02290337862983027,0.027123171409307357,0.0,0.0,266.90452,112.86434
2.25,Barnard c,0.02739665769011305,0.08061566112623104,0.0,0.0,243.50109,222.28157
2.25,Barnard e,0.038103683020621774,0.04008796190625088,0.0,0.0,67.02668,259.60963
2.5,Barnard d,0.018798413773991787,0.04078347118195218,0.0,0.0,239.85001,127.37302
2.5,Barnard b,0.022897497497046105,0.026000274796949604,0.0,0.0,265.43366,123.91523
2.5,Barnard c,0.027403938263491332,0.08127131103647038,0.0,0.0,243.90431,285.99432
