t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
0.25,Proxima Cen d,0.028809402478208537,0.0003825371032347747,0.0,0.0,63.89,194.60066
0.25,Proxima Cen b,0.048479322355188745,1.2141789731699372e-05,0.0,0.0,216.69204,125.58394
0.25,Proxima Cen c,1.4802110871853589,0.0001968591134430042,0.0,0.0,51.12166,35.02262
0.5,Proxima Cen d,0.028809988860172074,4.9786349633649785e-05,0.0,0.0,349.52938,218.49275
0.5,Proxima Cen b,0.048477903978916936,2.5540745575983082e-05,0.0,0.0,155.19221,252.74648
0.5,Proxima Cen c,1.4806554292448448,0.00047461517559085247,0.0,0.0,86.24154,17.36991
0.75,Proxima Cen d,0.028809642694463098,0.00038256129343614486,0.0,0.0,54.78354,103.29392
0.75,Proxima Cen b,0.04847995966087368,4.478194221771876e-05,0.0,0.0,154.20873,319.62004
0.75,Proxima Cen c,1.480981121579288,0.0006540397585684604,0.0,0.0,108.71685,12.36239
1.0,Proxima Cen d,0.028809379610407256,9.831840161840568e-05,0.0,0.0,331.9286,136.13563
1.0,Proxima Cen b,0.04847957086226885,4.404696176888344e-05,0.0,0.0,138.03892,41.68352
1.0,Proxima Cen c,1.4808873030228977,0.0005397226388039262,0.0,0.0,122.81235,15.73311
1.25,Proxima Cen d,0.028810022915006735,0.0003563338865009727,0.0,0.0,62.45621,356.09811
1.25,Proxima Cen b,0.04847783314360819,2.1806795338112787e-05,0.0,0.0,129.36122,116.47485
1.25,Proxima Cen c,1.4804318819132904,0.0002173855324137467,0.0,0.0,105.71245,50.29823
1.5,Proxima Cen d,0.02880945198684279,3.253091686588773e-05,0.0,0.0,315.23246,53.33791
1.5,Proxima Cen b,0.04847981998172793,1.3830602921837986e-05,0.0,0.0,57.70252,254.02047
1.5,Proxima Cen c,1.479998313425839,0.0003138595340198373,0.0,0.0,34.13047,139.3413
1.75,Proxima Cen d,0.028809428689494692,0.00036822882176540324,0.0,0.0,71.2609,247.28926
1.75,Proxima Cen b,0.048479790701565675,4.017597179728803e-06,0.0,0.0,354.83891,22.77272
1.75,Proxima Cen c,1.4799411882113167,0.00045022447185245424,0.0,0.0,46.90269,144.02711
2.0,Proxima Cen d,0.02881002938919375,8.259529074713029e-05,0.0,0.0,347.91646,280.67385
2.0,Proxima Cen b,0.0484778255402284,1.811624102987865e-05,0.0,0.0,160.89439,282.60571
2.0,Proxima Cen c,1.4802717389942932,0.0004004417876039264,0.0,0.0,84.33265,124.05218
2.25,Proxima Cen d,0.028809379152220035,0.0003854819572736977,0.0,0.0,61.08543,157.54246
2.25,Proxima Cen b,0.04847961871869862,4.0078875097048554e-05,0.0,0.0,173.09229,336.29872
2.25,Proxima Cen c,1.4806834773241824,0.00034628588380539014,0.0,0.0,133.04712,92.79007
2.5,Proxima Cen d,0.02880959698279286,0.00013916179531088576,0.0,0.0,342.45166,186.17936
2.5,Proxima Cen b,0.048479937643919765,4.454718813939036e-05,0.0,0.0,157.21595,58.0682
2.5,Proxima Cen c,1.480861485190799,0.0002465776245730781,0.0,0.0,165.47916,77.8083
2.75,Proxima Cen d,0.028809996430449222,0.0003497948764279053,0.0,0.0,67.34377,50.84029
2.75,Proxima Cen b,0.04847788546009333,2.6719921569988513e-05,0.0,0.0,142.18851,138.75993
2.75,Proxima Cen c,1.480740960245913,6.156108166049316e-05,0.0,0.0,104.69921,156.03584
3.0,Proxima Cen d,0.028809395798291365,8.286656311601388e-05,0.0,0.0,328.24453,99.93058
3.0,Proxima Cen b,0.04847937289305963,2.4658094516924838e-05,0.0,0.0,90.30446,256.52989
3.0,Proxima Cen c,1.4804859336099474,0.0003019423756636833,0.0,0.0,57.46553,220.71794
3.25,Proxima Cen d,0.028809903459945826,0.00034925187384567016,0.0,0.0,75.72659,302.42637
3.25,Proxima Cen b,0.048480001034903346,1.4138210237455384e-05,0.0,0.0,70.21045,342.51333
3.25,Proxima Cen c,1.4802716095276054,0.00045752751866323297,0.0,0.0,75.06557,220.56672
3.5,Proxima Cen d,0.028809937877903244,0.00011654568639530975,0.0,0.0,347.54511,340.64608
3.5,Proxima Cen b,0.04847800348763463,1.5929327157429273e-05,0.0,0.0,134.69791,343.9163
3.5,Proxima Cen c,1.4801662594980598,0.00044290719747178034,0.0,0.0,99.4541,213.6283
3.75,Proxima Cen d,0.028809460292413408,0.00037193823196931473,0.0,0.0,68.71332,209.47495
3.75,Proxima Cen b,0.04847910174612282,2.7211562802822223e-05,0.0,0.0,187.55374,356.95149
3.75,Proxima Cen c,1.4801772214731659,0.0003225021374159645,0.0,0.0,125.55619,204.9784
4.0,Proxima Cen d,0.028810389358296547,0.00015709190516159804,0.0,0.0,346.30502,241.90816
4.0,Proxima Cen b,0.048479964816007325,3.3796821349810464e-05,0.0,0.0,170.01654,80.38017
4.0,Proxima Cen c,1.4803241808095724,0.00015105089766460897,0.0,0.0,125.46034,222.52912
4.25,Proxima Cen d,0.02880984750143886,0.0003442755830455372,0.0,0.0,72.87241,105.40382
4.25,Proxima Cen b,0.0484781811803227,2.3853786449608172e-05,0.0,0.0,162.44447,153.83977
4.25,Proxima Cen c,1.4805925067161043,0.00024336300268798007,0.0,0.0,55.27576,310.1716
4.5,Proxima Cen d,0.02880956325661365,0.00013112042259922857,0.0,0.0,341.0436,147.2173
4.5,Proxima Cen b,0.04847881844013087,3.0268526994695565e-05,0.0,0.0,119.35537,262.81485
4.5,Proxima Cen c,1.4808395707780029,0.0005120758551246371,0.0,0.0,59.99713,322.91119
4.75,Proxima Cen d,0.028810918413133588,0.00035188228557380926,0.0,0.0,77.11839,1.6414
4.75,Proxima Cen b,0.04847986765773129,2.1251582992262607e-05,0.0,0.0,118.90058,329.38406
4.75,Proxima Cen c,1.480841640044559,0.0006006066125163427,0.0,0.0,76.56112,323.81231
5.0,Proxima Cen d,0.028809740731548596,0.00015589735859463622,0.0,0.0,348.45799,40.32375
5.0,Proxima Cen b,0.04847840659948424,2.59683931271758e-05,0.0,0.0,125.48715,28.68962
5.0,Proxima Cen c,1.480520254058205,0.00042542563545367346,0.0,0.0,97.82987,320.00962
5.25,Proxima Cen d,0.028809676481105148,0.00034605701606549543,0.0,0.0,75.32756,263.41789
5.25,Proxima Cen b,0.04847854478837715,1.347766850690673e-05,0.0,0.0,175.82062,44.24646
5.25,Proxima Cen c,1.4800839813770255,0.00012884956047645892,0.0,0.0,134.00084,301.30632
5.5,Proxima Cen d,0.028811079175568247,0.00016562258264442458,0.0,0.0,344.12781,304.65483
5.5,Proxima Cen b,0.04847983037177267,1.4953008566814046e-05,0.0,0.0,153.98454,131.97174
5.5,Proxima Cen c,1.479901720115669,7.555217020197437e-05,0.0,0.0,324.43263,128.34296
5.75,Proxima Cen d,0.028809624230870193,0.000335684158420204,0.0,0.0,79.7633,159.06357
5.75,Proxima Cen b,0.048478665577147716,1.3020524678447703e-05,0.0,0.0,182.37802,169.46591
5.75,Proxima Cen c,1.4801603553046037,0.0002193669418303257,0.0,0.0,50.28035,59.96353
6.0,Proxima Cen d,0.02880979178297159,0.00016892243643718688,0.0,0.0,351.1526,197.66948
6.0,Proxima Cen b,0.04847829894680513,2.9018033155625973e-05,0.0,0.0,144.57396,273.15698
6.0,Proxima Cen c,1.4806604363098703,0.0004865523437219325,0.0,0.0,93.85575,33.85538
6.25,Proxima Cen d,0.028810694842424715,0.0003467444506393607,0.0,0.0,77.4412,61.4317
6.25,Proxima Cen b,0.04847991430641749,3.2942728961045014e-05,0.0,0.0,156.00669,327.61539
6.25,Proxima Cen c,1.4809812401873432,0.0006297694834934133,0.0,0.0,117.23366,27.94288
6.5,Proxima Cen d,0.028809515786850516,0.00020264181420602583,0.0,0.0,352.28999,96.58963
6.5,Proxima Cen b,0.04847894208243092,3.6680301155544995e-05,0.0,0.0,140.21211,49.30299
6.5,Proxima Cen c,1.4808675046011956,0.0004754871004497664,0.0,0.0,130.10115,32.53829
6.75,Proxima Cen d,0.02880988884781671,0.00031878806224580337,0.0,0.0,80.42571,318.42064
6.75,Proxima Cen b,0.04847809708219002,1.588224009210498e-05,0.0,0.0,130.74395,124.66014
6.75,Proxima Cen c,1.480450410674004,0.0001831518395633151,0.0,0.0,100.50837,79.59106
7.0,Proxima Cen d,0.028810159783366148,0.00016702506445189175,0.0,0.0,347.7172,1.16279
7.0,Proxima Cen b,0.04847999193710245,1.558488024093223e-05,0.0,0.0,81.09296,240.19835
7.0,Proxima Cen c,1.480091699872813,0.0003248990800176888,0.0,0.0,42.18038,155.37595
7.25,Proxima Cen d,0.028809426597741696,0.0003160936410933189,0.0,0.0,87.94343,210.93783
7.25,Proxima Cen b,0.048479222752455434,3.6576198647378555e-06,0.0,0.0,72.91851,314.26141
7.25,Proxima Cen c,1.4800398130061099,0.000443664663401659,0.0,0.0,57.82896,157.18133
7.5,Proxima Cen d,0.028809967932888206,0.00019855984115374863,0.0,0.0,358.20167,250.6902
7.5,Proxima Cen b,0.04847794391217498,2.191916197899414e-05,0.0,0.0,160.98773,292.08081
7.5,Proxima Cen c,1.4802546633653288,0.00041572675442692306,0.0,0.0,90.47899,141.98275
7.75,Proxima Cen d,0.028809744953164712,0.0003388025025526281,0.0,0.0,78.91686,120.03889
7.75,Proxima Cen b,0.04847998419623921,3.760347619651532e-05,0.0,0.0,178.77284,340.18716
7.75,Proxima Cen c,1.4805269539517012,0.0003341658531681422,0.0,0.0,125.99876,123.91259
8.0,Proxima Cen d,0.028809380442551484,0.0002489735321326213,0.0,0.0,359.2574,149.70069
8.0,Proxima Cen b,0.04847948772767814,4.138893707022604e-05,0.0,0.0,161.49848,63.35424
8.0,Proxima Cen c,1.4806983963242009,0.00017385296238765476,0.0,0.0,146.8183,120.54164
8.25,Proxima Cen d,0.028810014610946906,0.00029505889140227047,0.0,0.0,84.83495,14.129
8.25,Proxima Cen b,0.04847785147322595,2.434087135788221e-05,0.0,0.0,134.10101,156.6393
8.25,Proxima Cen c,1.4807376476239114,0.00010729209829988959,0.0,0.0,44.18191,240.62653
8.5,Proxima Cen d,0.02880950362252853,0.0001933613006883204,0.0,0.0,349.93623,59.04843
8.5,Proxima Cen b,0.04847987865788024,2.879925279880399e-05,0.0,0.0,88.23562,268.39092
8.5,Proxima Cen c,1.480658020187447,0.000322200829284631,0.0,0.0,45.01194,257.24576
8.75,Proxima Cen d,0.028809400105984023,0.00028278104726841093,0.0,0.0,95.66066,263.2944
8.75,Proxima Cen b,0.04847971787932246,1.889276797211064e-05,0.0,0.0,69.207,353.30957
8.75,Proxima Cen c,1.4804591149094064,0.0004157592206356658,0.0,0.0,70.46751,249.24106
9.0,Proxima Cen d,0.02881003102977285,0.0002254108475211594,0.0,0.0,3.1937,305.78364
9.0,Proxima Cen b,0.04847782112475917,1.462235075529791e-05,0.0,0.0,152.3281,336.07871
