t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
0.25,tau Cet g,0.13300407488665902,0.05995095352064691,0.0,0.0,308.21455,149.36195
0.25,tau Cet h,0.24297954316751946,0.22995767109416232,0.0,0.0,100.65212,120.88386
0.25,tau Cet f,1.3341566930508177,0.15987536538934397,0.0,0.0,265.52082,222.25734
0.25,tau Cet e,0.5379744526701039,0.18005133887575023,0.0,0.0,93.73175,293.08063
0.5,tau Cet g,0.133005607167095,0.05991579946585914,0.0,0.0,308.19838,345.53861
0.5,tau Cet h,0.24296960079357985,0.2299453940331259,0.0,0.0,100.63769,62.56811
0.5,tau Cet f,1.3341823674976245,0.15995936145319942,0.0,0.0,265.51162,269.14423
0.5,tau Cet e,0.5379907757756681,0.18002449623067265,0.0,0.0,93.7339,160.62688
0.75,tau Cet g,0.13300391758395186,0.05990941511588642,0.0,0.0,308.17278,187.78574
0.75,tau Cet h,0.242985826643043,0.23000420061764912,0.0,0.0,100.63029,337.12557
0.75,tau Cet f,1.3339652982658843,0.15985049441977467,0.0,0.0,265.53231,331.07603
0.75,tau Cet e,0.5380225857229199,0.18010785484572456,0.0,0.0,93.72606,352.11951
1.0,tau Cet g,0.1330046306037082,0.05989548606175017,0.0,0.0,308.15446,34.05865
1.0,tau Cet h,0.2429845530999467,0.22998252881310025,0.0,0.0,100.6232,264.32136
1.0,tau Cet f,1.3342691213280395,0.16000192067962185,0.0,0.0,265.56532,41.94441
1.0,tau Cet e,0.5379972759169654,0.1799998122015294,0.0,0.0,93.71728,191.63465
1.25,tau Cet g,0.13300049601395436,0.05992586505030814,0.0,0.0,308.11875,226.97528
1.25,tau Cet h,0.2429902281761014,0.23001948073404277,0.0,0.0,100.62611,217.21343
1.25,tau Cet f,1.334008812479271,0.15989870229393605,0.0,0.0,265.52129,100.78577
1.25,tau Cet e,0.5379853718462921,0.18001299813894056,0.0,0.0,93.73624,53.49409
1.5,tau Cet g,0.13299406763084268,0.06000447154697985,0.0,0.0,308.10246,80.63572
1.5,tau Cet h,0.24301220803608556,0.23010633761131918,0.0,0.0,100.63093,180.19681
1.5,tau Cet f,1.3341298143151927,0.1598803847313639,0.0,0.0,265.55432,145.56132
1.5,tau Cet e,0.537997744880386,0.1799861100002461,0.0,0.0,93.72128,224.17143
1.75,tau Cet g,0.13298985161058702,0.06010371685158008,0.0,0.0,308.1719,268.759
1.75,tau Cet h,0.2430309549504888,0.23015253270243555,0.0,0.0,100.67033,143.17045
1.75,tau Cet f,1.3340204412132544,0.1599376033406507,0.0,0.0,265.51936,184.26716
1.75,tau Cet e,0.538009851010522,0.17999982374474205,0.0,0.0,93.75099,102.43123
2.0,tau Cet g,0.1329949747352793,0.060089786561167265,0.0,0.0,308.28001,123.2191
2.0,tau Cet h,0.24300684923600982,0.23008456516580475,0.0,0.0,100.69184,96.0559
2.0,tau Cet f,1.3340946989448528,0.159865247612861,0.0,0.0,265.52769,223.66557
2.0,tau Cet e,0.5379809599922503,0.18002743710433694,0.0,0.0,93.73441,262.90458
2.25,tau Cet g,0.13300132111688437,0.060026482061726796,0.0,0.0,308.32746,314.17676
2.25,tau Cet h,0.242982863426562,0.2299901708972186,0.0,0.0,100.68802,23.31275
2.25,tau Cet f,1.334196149238206,0.15993132507626318,0.0,0.0,265.50104,270.97644
2.25,tau Cet e,0.537994741614061,0.18000860315175768,0.0,0.0,93.73796,140.10891
2.5,tau Cet g,0.1330033872536048,0.05998593520549103,0.0,0.0,308.3306,162.69784
2.5,tau Cet h,0.24298643958943572,0.22998170161475961,0.0,0.0,100.6771,297.74691
2.5,tau Cet f,1.3339035002101927,0.15981341352331432,0.0,0.0,265.54272,333.43921
2.5,tau Cet e,0.5380205688067485,0.18006628081813814,0.0,0.0,93.71906,313.60179
2.75,tau Cet g,0.13300596712901236,0.05994811101966988,0.0,0.0,308.32131,2.27094
