t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
0.5,Alpha Centauri B,23.626381147757677,0.5168773340713967,79.21224,-155.13902,231.76961,8.02273
0.5,Alpha Centauri A b,1.5900718000131897,0.0872917714807042,63.2505,-155.01648,300.39536,11.04203
0.5,Dante,0.0007345111375331816,0.022074049205751435,58.23744,-163.67933,352.8487,9.19904
0.5,Hades,0.0009890463871278115,0.044281720774966435,68.82595,-150.08587,138.08662,224.31775
0.5,Pandora,0.0016871441012363743,0.004879381525293003,55.44621,-163.04846,258.30647,23.44125
0.5,Cassandra,0.003980365398245265,0.027105529922673982,122.08364,21.78682,224.26688,157.16755
0.5,Chaos,0.01020019953416891,0.09046859476758382,117.83182,24.86489,180.43637,157.17541
1.0,Alpha Centauri B,23.523456273303783,0.5148231984383322,79.21221,-155.13972,231.66628,16.1556
1.0,Alpha Centauri A b,1.6114459197942337,0.09280949414796512,63.32932,-154.97691,303.93613,109.24841
1.0,Dante,0.0007367937123388098,0.016892928426865263,60.4216,-145.4626,336.04623,322.55943
1.0,Hades,0.00099094019218108,0.03866448745847837,65.51026,-143.17531,302.37139,294.91383
1.0,Pandora,0.0016872701976095592,0.005369932614748706,65.45835,-144.29982,315.37981,342.26588
1.0,Cassandra,0.0039223091841099275,0.03922710534600821,120.03966,21.77196,259.31443,23.12208
1.0,Chaos,0.010487913078662781,0.0823921375483283,117.96952,24.98408,183.9448,229.75992
1.5,Alpha Centauri B,23.56869784475307,0.5158350266042155,79.2088,-155.15015,231.59864,24.04335
1.5,Alpha Centauri A b,1.6119764194778583,0.09742627141489978,63.33121,-154.90169,303.77394,189.22388
1.5,Dante,0.0007339970284019719,0.011343959272757153,71.71398,-157.42245,189.37237,60.61766
1.5,Hades,0.0009956855926407414,0.031157910512580277,59.68837,-147.88319,99.00842,30.05308
1.5,Pandora,0.0016872987144368194,0.000879834360325685,68.33051,-164.91794,33.61209,298.66584
1.5,Cassandra,0.003914191566516696,0.039657920000127724,118.17936,18.63813,280.25114,252.62617
1.5,Chaos,0.010189407565723532,0.08859617315117552,118.03476,24.64992,191.08712,312.44612
2.0,Alpha Centauri B,23.667513844927452,0.5177519460665763,79.20847,-155.15094,231.70439,31.46753
2.0,Alpha Centauri A b,1.610758766725496,0.10445507374906972,63.28756,-154.86826,300.51394,275.90257
2.0,Dante,0.0007359130966352585,0.027877809653927808,56.73582,-162.04064,199.75695,1.8139
2.0,Hades,0.0010022049720399663,0.01401657283358727,52.84959,-150.64712,307.29896,55.75413
2.0,Pandora,0.0016871735919099869,0.004201677639320973,53.84991,-150.63391,292.54007,58.71791
2.0,Cassandra,0.003965062641150202,0.04554178155168017,117.62146,19.72908,312.72166,130.0254
2.0,Chaos,0.010076395789052386,0.08582417638848408,117.97369,24.64955,204.64176,46.39356
2.5,Alpha Centauri B,23.63383629176798,0.5168470682566921,79.20925,-155.13634,231.80555,38.54424
2.5,Alpha Centauri A b,1.5960995239280649,0.10012528959280471,63.29496,-154.70693,297.3282,28.40814
2.5,Dante,0.000734900398858994,0.01324409960583864,62.43765,-145.48233,199.26911,302.70194
2.5,Hades,0.0009951709603323775,0.020374182643303235,56.57861,-158.55098,251.97874,349.19613
2.5,Pandora,0.0016874291075231222,0.005132323784222445,73.00151,-152.12902,24.86811,352.98405
2.5,Cassandra,0.004015149045038246,0.06817370420026801,113.8685,20.14126,324.05861,17.22404
2.5,Chaos,0.010577300836308024,0.07148558418719092,117.81352,24.67649,223.26024,116.94022
3.0,Alpha Centauri B,23.531352349667312,0.5149993929285643,79.20974,-155.14038,231.63599,45.50134
3.0,Alpha Centauri A b,1.5966188980191383,0.10375510057474409,63.35536,-154.65524,298.51522,125.9081
3.0,Dante,0.0007345058049734557,0.014107216626764571,70.84203,-159.34587,48.36636,56.60501
3.0,Hades,0.0009905345051425928,0.022479570766288162,58.28722,-166.44974,45.69745,87.55719
3.0,Pandora,0.0016872628863143216,0.003018410438008369,58.10832,-165.31016,139.36645,271.20098
3.0,Cassandra,0.003972000790766101,0.05624775849467363,113.69071,20.00763,326.33561,269.2844
3.0,Chaos,0.010142035400339106,0.10406776099431678,118.13962,24.6242,214.69795,201.54763
3.5,Alpha Centauri B,23.560930714530386,0.5158184141298283,79.21173,-155.15177,231.57864,51.93745
3.5,Alpha Centauri A b,1.6035080151159429,0.10604890856929701,63.34048,-154.61239,303.37505,199.24538
3.5,Dante,0.0007363959742848444,0.02713348538916525,55.84386,-160.15135,64.03039,347.94132
3.5,Hades,0.0009884894659250294,0.038230047531479544,65.02925,-163.02848,201.4059,164.67458
3.5,Pandora,0.0016874140847316468,0.002383558139775076,62.66835,-143.82163,352.99989,73.90117
3.5,Cassandra,0.003913054101015793,0.046636658471688304,112.41818,23.72995,350.64111,154.33414
3.5,Chaos,0.010104761254652433,0.10203156027470359,118.14959,24.29666,217.17544,286.50152
4.0,Alpha Centauri B,23.656414745413105,0.5175016256021658,79.21105,-155.15008,231.739,57.74766
4.0,Alpha Centauri A b,1.611210283158529,0.10968339759152913,63.27229,-154.59705,303.07912,285.2422
4.0,Dante,0.0007342155350464794,0.0046068608246039025,64.2152,-145.89685,51.87013,298.73935
4.0,Hades,0.0009921483118204525,0.04789829722298096,71.90501,-162.45854,334.74317,264.50954
4.0,Pandora,0.0016872649188439655,0.006459176763388767,70.83641,-162.63357,98.54179,1.17551
4.0,Cassandra,0.003918655492547327,0.04531949131708322,111.12183,24.03074,14.88132,30.0161
4.0,Chaos,0.010529392833732365,0.1292348947732188,117.94251,24.11262,222.60638,28.62806
4.5,Alpha Centauri B,23.632919175197852,0.5166103474220566,79.20506,-155.13507,231.83457,63.22619
4.5,Alpha Centauri A b,1.6146525453159937,0.11213844602487297,63.25584,-154.5012,303.09915,36.44242
4.5,Dante,0.0007358366958829649,0.022680361936604866,69.88484,-160.72552,269.83325,27.48736
4.5,Hades,0.000997950116002206,0.06440158804881434,70.48046,-154.89965,127.33332,3.31223
4.5,Pandora,0.0016871007721123645,0.004753175583784452,53.22232,-154.04471,175.01572,306.33499
4.5,Cassandra,0.003980219410709244,0.03328922528653783,113.03553,26.9369,29.58953,269.30428
4.5,Chaos,0.010259449607144372,0.10673186049623432,117.84697,24.06193,222.86189,120.05902
5.0,Alpha Centauri B,23.53913390468126,0.5151841600594304,79.2088,-155.14196,231.61818,68.63931
5.0,Alpha Centauri A b,1.6028463446299228,0.10816277675911012,63.27368,-154.47511,303.37229,131.89834
5.0,Dante,0.0007345758850117889,0.020153343685460318,55.34607,-158.42184,267.31702,328.31785
5.0,Hades,0.0009915072061047038,0.05543176854515094,71.87349,-147.65346,288.31287,89.53777
5.0,Pandora,0.0016871761227341812,0.0020055199913121147,71.78558,-148.95539,44.35199,101.03793
5.0,Cassandra,0.004007567161931307,0.03220852217145084,112.25481,29.13556,100.14748,108.68813
5.0,Chaos,0.01000451502341092,0.1283946614048929,117.82156,24.04854,216.73121,202.1788
5.5,Alpha Centauri B,23.55915151078036,0.5159435142014653,79.21527,-155.15234,231.56129,73.53633
5.5,Alpha Centauri A b,1.5979176089224605,0.10809900112345841,63.25,-154.43869,307.18588,205.43555
5.5,Dante,0.0007357116373088491,0.006147599146894571,65.63666,-146.38906,156.92758,24.66154
5.5,Hades,0.0009890356950607933,0.0429936438844447,64.38588,-147.1467,73.2678,167.20164
5.5,Pandora,0.0016870240256386402,0.0061780751474903185,60.96451,-166.17619,143.54234,34.9802
5.5,Cassandra,0.003965587027227977,0.054963486457260166,114.94816,28.85242,108.71439,357.71667
5.5,Chaos,0.010557115957259715,0.11954087534228373,117.72252,23.77945,208.3843,295.46215
6.0,Alpha Centauri B,23.647826685294767,0.5172828145971845,79.21192,-155.14816,231.76244,77.84623
6.0,Alpha Centauri A b,1.596417431402576,0.10485502915839266,63.226,-154.43143,308.70218,292.45573
6.0,Dante,0.0007349378818410368,0.02008486020610385,68.96337,-161.80588,126.02568,20.34838
6.0,Hades,0.000989817276325251,0.03755378209839037,58.03323,-143.89512,229.91109,239.61148
6.0,Pandora,0.0016873681166245517,0.00495826153501574,59.528,-144.19433,228.3343,326.64518
6.0,Cassandra,0.003910106029225457,0.052358164515354876,116.80492,31.47766,123.04963,239.38968
6.0,Chaos,0.010274662233711433,0.11677723934847692,117.59148,23.79715,217.5852,33.45422
6.5,Alpha Centauri B,23.627260026185773,0.5162814649230345,79.2009,-155.13541,231.84657,81.97281
6.5,Alpha Centauri A b,1.6123468900138358,0.10769052233845058,63.2153,-154.40522,306.95555,46.28881
6.5,Dante,0.0007350304548839978,0.019744477706565445,54.99211,-156.65434,113.50346,336.1811
6.5,Hades,0.000993240034223421,0.0360879400818607,56.1249,-152.70427,17.53136,330.73493
6.5,Pandora,0.001686930157232964,0.002176219625959884,72.30397,-159.75141,27.72202,199.49844
6.5,Cassandra,0.003920844174975183,0.05542851200884029,117.51261,29.68937,141.74492,129.52816
6.5,Chaos,0.010052551059538613,0.0995220472212062,117.4407,23.64423,220.44983,124.99231
7.0,Alpha Centauri B,23.54490031126544,0.5153389464569594,79.20938,-155.14366,231.60529,86.15034
7.0,Alpha Centauri A b,1.6152183369681659,0.10049813617940946,63.2009,-154.42485,307.42393,138.35092
7.0,Dante,0.0007354327050287047,0.005440561561144898,67.1177,-146.86727,37.90047,3.46925
7.0,Hades,0.0009952779999589322,0.005134643190824349,52.93756,-160.02312,245.09101,334.94556
7.0,Pandora,0.0016870732072121284,0.004523513457941427,53.2327,-157.8305,202.86223,50.29783
7.0,Cassandra,0.0039901383466866445,0.06368161470273885,121.10157,28.90617,153.83957,12.97944
7.0,Chaos,0.010448859391282733,0.08128633976939555,117.28339,23.64783,212.16046,209.93127
7.5,Alpha Centauri B,23.560432025735086,0.5161347065399463,79.21876,-155.15187,231.55175,89.88613
7.5,Alpha Centauri A b,1.610877855819094,0.0987787044576978,63.1617,-154.36538,305.83641,217.0627
7.5,Dante,0.0007344308487040206,0.01972559424838319,67.7124,-163.01982,347.25077,25.30655
7.5,Hades,0.000994494628547112,0.0221578761329913,60.28999,-162.83184,182.18189,247.64132
7.5,Pandora,0.0016873025194044952,0.006890839003548062,69.52443,-146.49144,299.52152,332.85759
7.5,Cassandra,0.004006978646629422,0.044078577545204015,120.68073,28.3045,154.62786,268.08563
7.5,Chaos,0.010383867602480012,0.08913840086573799,117.06969,23.83489,220.69245,284.2907
8.0,Alpha Centauri B,23.64227704148807,0.5170944324020296,79.21084,-155.14602,231.78374,93.10659
8.0,Alpha Centauri A b,1.5969590440708206,0.09948112041855879,63.18199,-154.34617,307.17749,307.54937
8.0,Dante,0.0007359325119087727,0.022614533474925456,54.60907,-154.30871,349.08857,340.31796
8.0,Hades,0.00099581125660081,0.05492194736434889,65.84817,-167.01295,355.34913,286.19884
8.0,Pandora,0.0016872064484198014,0.0027142791084455633,63.84849,-166.479,43.19619,263.68253
8.0,Cassandra,0.0039527723782327995,0.03317846585492521,121.67479,24.17182,201.63609,127.08671
8.0,Chaos,0.010011715259240044,0.08238890029767308,117.12555,23.86057,232.21115,18.03329
8.5,Alpha Centauri B,23.620211941694276,0.5159550818880854,79.19767,-155.13698,231.84352,96.29411
8.5,Alpha Centauri A b,1.5974769993379054,0.10139768613879876,63.19249,-154.35993,303.89388,62.83645
8.5,Dante,0.0007350481398444451,0.004681910042090757,68.73527,-147.88622,351.43957,298.13133
8.5,Hades,0.0009948810998326215,0.057919230729920196,69.33572,-159.44626,161.36437,330.15973
8.5,Pandora,0.0016877240010064584,0.00522922021500886,56.62909,-146.07355,263.64611,59.17271
8.5,Cassandra,0.003911088958423262,0.03979469246759741,122.09287,23.79559,232.02737,353.15155
8.5,Chaos,0.010439695394991377,0.09021978870727247,117.15627,23.78738,255.18396,92.56838
9.0,Alpha Centauri B,23.548878261933673,0.5154782096523005,79.2112,-155.14496,231.59324,99.60437
9.0,Alpha Centauri A b,1.6073267358981569,0.10102938285946698,63.16448,-154.40681,304.37428,151.66171
9.0,Dante,0.0007347323543901071,0.01986516952700731,65.96226,-164.39498,219.89146,40.19373
9.0,Hades,0.0009998182168131375,0.06480969059541256,74.20943,-154.79127,329.85499,35.32172
9.0,Pandora,0.0016872859828936358,0.007264424588231337,73.14435,-156.93594,355.13211,0.36637
9.0,Cassandra,0.0039309531122294445,0.0375436819190012,119.631,20.83383,255.16527,224.53892
9.0,Chaos,0.01041947521761365,0.0721054331911348,116.85566,23.69369,245.18004,180.41593
9.5,Alpha Centauri B,23.56301172224789,0.516345943250848,79.22172,-155.15058,231.54986,102.5334
9.5,Alpha Centauri A b,1.616807301084128,0.0995845648572497,63.11493,-154.3477,302.46985,230.99712
9.5,Dante,0.0007358166567818512,0.025195585201971366,54.79328,-151.96364,220.00081,340.00089
9.5,Hades,0.0009938172518044594,0.03787031265486462,68.22561,-149.28254,125.76468,107.81075
9.5,Pandora,0.001687213022818616,0.0033335674724375057,54.4926,-161.60693,105.87193,276.92475
9.5,Cassandra,0.003990453645664001,0.049826042266236256,119.82547,19.15335,291.66429,97.34646
9.5,Chaos,0.009981128151154001,0.10322914572776452,116.84713,23.94178,257.1273,249.15553
10.0,Alpha Centauri B,23.638724831684197,0.5169006755011168,79.20801,-155.14435,231.80567,105.00632
10.0,Alpha Centauri A b,1.6140846206966415,0.10632188237912307,63.14616,-154.32651,303.80789,325.09327
