t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5000.0,AU Mic b,0.1840988994115126,0.05785061583475833,14.17666,-175.67048,104.69824,266.69843
5000.0,AU Mic c,0.07226215035762211,0.26051110041768644,1.09221,-18.44261,237.7466,96.75716
5000.0,AU Mic e,0.14864138392690876,0.09776902221663196,6.44787,5.88621,339.74035,152.54114
5000.0,AU Mic d,0.3141356983516332,0.49832635725794855,14.49006,124.36756,164.51231,262.46179
10000.0,AU Mic b,0.2583894052941055,0.5336486688636528,2.54099,122.32613,186.19701,191.96869
10000.0,AU Mic c,0.06811976919268185,0.28886285842745363,7.89072,-114.07019,227.86256,257.49177
10000.0,AU Mic e,0.14686832144555778,0.0903323932532586,3.20728,72.02732,261.75881,27.15259
10000.0,AU Mic d,0.30725818962706103,0.2908887911297832,11.94663,-7.75176,231.37642,186.17235
15000.0,AU Mic b,0.2363273685628308,0.10098006977717908,17.2914,118.81846,67.75584,92.02198
15000.0,AU Mic c,0.06811104690426364,0.4302516069153749,19.37607,23.58992,20.43666,121.71462
15000.0,AU Mic e,0.14908628516661915,0.07169873162961458,10.78296,-105.13066,17.89829,22.94952
15000.0,AU Mic d,0.4464097239910655,0.2520017602895735,4.86082,-168.21401,106.34299,144.53062
20000.0,AU Mic b,0.236189882380121,0.36727163540890506,12.22638,134.54484,229.31023,163.38987
20000.0,AU Mic c,0.06811059499592009,0.2137283874174318,10.81981,-61.62107,11.74728,158.87774
20000.0,AU Mic e,0.14915751046905423,0.300990239497727,0.67847,7.04093,355.9981,227.65679
20000.0,AU Mic d,0.4378646310781598,0.18499213385158084,14.27901,31.95456,25.88412,194.71413
25000.0,AU Mic b,0.23582370730613503,0.21137120828639747,14.77921,129.23164,122.93175,109.95142
25000.0,AU Mic c,0.06820876400044547,0.07745862291167642,6.92047,-68.71791,11.01511,140.74896
25000.0,AU Mic e,0.14886338567278495,0.38443629338167123,4.35444,-18.9827,270.5322,182.40468
25000.0,AU Mic d,0.45449271393493795,0.2537645443719968,11.91798,-113.43941,262.29018,281.47818
30000.0,AU Mic b,0.17310733113324087,0.2621298536956326,17.4339,177.9875,49.45385,86.85686
30000.0,AU Mic c,0.06867422603397376,0.21493827174757843,11.70644,87.74537,84.7576,273.60311
30000.0,AU Mic e,0.1630307882278805,0.1882671954127561,8.77092,-37.64466,16.57429,258.54529
30000.0,AU Mic d,0.4518131422566552,0.18691636709192516,7.9187,89.62261,146.28855,115.85872
35000.0,AU Mic b,0.3725753894554725,0.6191486154783801,12.70123,79.02448,234.12459,128.19806
35000.0,AU Mic c,0.068248817032503,0.054015058372716286,10.96963,43.84513,43.7107,93.74187
35000.0,AU Mic e,0.1351786853360246,0.21097711432520083,10.84349,-119.13811,13.26325,195.18149
35000.0,AU Mic d,0.49757751485860524,0.40462871428370123,7.47759,-119.6887,148.11858,45.86346
