t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
50.0,Barnard d,0.01880039097894522,0.0595940010112764,0.0,0.0,224.34195,72.74466
50.0,Barnard b,0.02289613219699969,0.06879887805649773,0.0,0.0,276.3351,299.04204
50.0,Barnard c,0.027399426115666082,0.0452656940268321,0.0,0.0,292.78099,134.2315
50.0,Barnard e,0.03810647434844118,0.03960396804585231,0.0,0.0,105.29878,17.95486
100.0,Barnard d,0.01880188118072745,0.08069607745296017,0.0,0.0,297.27127,352.56133
100.0,Barnard b,0.022895535716044784,0.06552713259138801,0.0,0.0,262.65198,15.80253
100.0,Barnard c,0.02740074069814141,0.0185984234475161,0.0,0.0,293.711,244.71105
100.0,Barnard e,0.03810470919813193,0.0418635120570549,0.0,0.0,135.88258,45.12206
150.0,Barnard d,0.018795404247679975,0.06292905615334415,0.0,0.0,323.5362,0.8886
150.0,Barnard b,0.02289948528097326,0.020104616895712368,0.0,0.0,307.01434,289.9518
150.0,Barnard c,0.02740491983957919,0.06904739070347891,0.0,0.0,278.62761,78.5615
150.0,Barnard e,0.038106530523064605,0.05008066663992773,0.0,0.0,160.57115,80.58721
200.0,Barnard d,0.018795906949644593,0.036962290468304876,0.0,0.0,256.14575,64.17227
200.0,Barnard b,0.022901995643291127,0.054063144614067936,0.0,0.0,335.66411,288.2518
200.0,Barnard c,0.02740011126466775,0.05930682871169647,0.0,0.0,319.10136,156.95419
200.0,Barnard e,0.03810566331984703,0.06120520364180007,0.0,0.0,188.19083,134.85504
250.0,Barnard d,0.018798894385277504,0.056172930211135584,0.0,0.0,323.49732,20.32513
250.0,Barnard b,0.022896296570682585,0.06395824549121515,0.0,0.0,310.74946,271.3815
250.0,Barnard c,0.027403100598722314,0.02594319543110395,0.0,0.0,27.45147,254.50331
250.0,Barnard e,0.03810506634780352,0.06906208265113191,0.0,0.0,214.02789,170.89061
300.0,Barnard d,0.018794187421223237,0.0782246025033024,0.0,0.0,9.12491,23.69395
300.0,Barnard b,0.022902912556457614,0.015036144193231623,0.0,0.0,338.57166,140.09383
300.0,Barnard c,0.02740259490061516,0.03718614415507599,0.0,0.0,308.89891,204.66678
300.0,Barnard e,0.03810622365777568,0.07481434175545022,0.0,0.0,233.06299,191.87652
350.0,Barnard d,0.018802268924970344,0.007236038381851151,0.0,0.0,331.11769,76.38389
350.0,Barnard b,0.02289470652244823,0.04160458480600723,0.0,0.0,41.94555,13.52949
350.0,Barnard c,0.027401223376990684,0.05482507343675833,0.0,0.0,338.95791,29.49691
350.0,Barnard e,0.03810890908356821,0.08447782346929991,0.0,0.0,251.24791,213.81733
400.0,Barnard d,0.018796851828633512,0.02326499079495087,0.0,0.0,319.31825,202.64094
400.0,Barnard b,0.02290304543884862,0.05101855988045241,0.0,0.0,3.58276,168.51603
400.0,Barnard c,0.02739922496843884,0.029920866950766963,0.0,0.0,76.56804,208.60442
400.0,Barnard e,0.038104329815287365,0.09343599432649288,0.0,0.0,273.44847,247.97122
450.0,Barnard d,0.01879830141468048,0.06642117527831241,0.0,0.0,50.16012,122.41731
450.0,Barnard b,0.022898009876738463,0.01573285004189205,0.0,0.0,330.62706,191.72425
450.0,Barnard c,0.027403091241732604,0.0024936844044705438,0.0,0.0,230.46893,205.78523
450.0,Barnard e,0.038104513823908975,0.09590824970465754,0.0,0.0,293.65743,310.71636
500.0,Barnard d,0.01879691790170505,0.0204381667663929,0.0,0.0,111.78974,80.43237
500.0,Barnard b,0.022899092722707248,0.02785555460995309,0.0,0.0,134.29772,13.06279
500.0,Barnard c,0.027403217834898904,0.04313554747368124,0.0,0.0,355.36591,223.23968
500.0,Barnard e,0.038105430293907096,0.0983549693484768,0.0,0.0,310.20482,21.84621
550.0,Barnard d,0.018800124054837452,0.0353819201989456,0.0,0.0,266.14425,304.81898
550.0,Barnard b,0.02289496583692916,0.026227167196473902,0.0,0.0,63.51891,41.82684
550.0,Barnard c,0.027402620360356837,0.02288334425667723,0.0,0.0,100.15193,288.43011
550.0,Barnard e,0.038104219013969,0.10414530596101573,0.0,0.0,329.05737,84.69969
600.0,Barnard d,0.018801245164849222,0.026536997662673624,0.0,0.0,79.46711,141.24315
600.0,Barnard b,0.022898012912662715,0.02399357296962479,0.0,0.0,332.13967,81.01436
600.0,Barnard c,0.027397179883992793,0.028082697130498446,0.0,0.0,202.70675,25.61317
600.0,Barnard e,0.03810408839901662,0.1051694204083189,0.0,0.0,350.45654,126.42372
650.0,Barnard d,0.018795672520289578,0.02656773997821776,0.0,0.0,145.76597,124.63995
650.0,Barnard b,0.022899211936708307,0.03422473635077168,0.0,0.0,234.48688,91.69276
650.0,Barnard c,0.027404570444876267,0.03265506160286736,0.0,0.0,347.0963,80.71831
650.0,Barnard e,0.03810303008487734,0.10053020818260602,0.0,0.0,8.98088,163.77715
700.0,Barnard d,0.01880128575143054,0.05841032823622368,0.0,0.0,285.94849,15.6847
700.0,Barnard b,0.022893453268897797,0.015146731890619044,0.0,0.0,190.2468,345.70706
700.0,Barnard c,0.027402853713994865,0.013619344122405,0.0,0.0,33.67334,283.35834
700.0,Barnard e,0.03810517114686338,0.09912845706279817,0.0,0.0,25.61838,202.87935
750.0,Barnard d,0.018796450484282475,0.025708864490651608,0.0,0.0,323.32149,17.54046
750.0,Barnard b,0.022901885449858717,0.03487618313345082,0.0,0.0,357.78171,34.84547
750.0,Barnard c,0.02739982566029833,0.03670823225586743,0.0,0.0,246.08104,304.46046
750.0,Barnard e,0.03810378051716113,0.09803149759965506,0.0,0.0,45.63061,260.7217
800.0,Barnard d,0.018794061827673025,0.013465349752871057,0.0,0.0,141.6098,269.67699
800.0,Barnard b,0.022905727099490913,0.047879565443525667,0.0,0.0,304.75921,307.77999
