t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5000.0,HD 219134 b,0.03820086949672056,0.06381398640527713,4.78376,130.42377,355.145,218.0488
5000.0,HD 219134 c,0.06399426136455454,0.015118743529550982,2.99521,-30.39426,256.27403,304.44747
5000.0,HD 219134 f,0.14575119508882994,0.0010657523618467944,0.1539,75.57558,170.81266,233.46133
5000.0,HD 219134 d,0.23500036473149724,0.0034235309203392433,0.09528,-127.4324,256.05533,200.22181
5000.0,HD 219134 g,0.3755060934573631,0.0034715553784826947,0.07815,18.82911,303.72751,125.29835
5000.0,HD 219134 h,3.1100334885888454,0.0609880844806818,0.00159,167.38008,158.03449,16.17561
10000.0,HD 219134 b,0.03819984944791007,0.032754402251538105,4.16281,171.52389,6.17435,291.51088
10000.0,HD 219134 c,0.06400120126458879,0.05325819720941969,3.61243,19.92953,64.27571,295.8906
10000.0,HD 219134 f,0.14578182286512908,0.010639314997221452,0.30442,139.45083,285.08414,5.23378
10000.0,HD 219134 d,0.23507822448230511,0.0056633094569911,0.12711,-80.97576,322.08096,180.91891
10000.0,HD 219134 g,0.37562229773231154,0.0010460018009449488,0.11813,21.72788,347.0091,137.09723
10000.0,HD 219134 h,3.1102695494911465,0.059632052256075326,0.00182,162.49038,163.56959,180.10328
15000.0,HD 219134 b,0.03820194297966144,0.04734046369411011,3.45751,-144.47731,192.23314,188.30093
15000.0,HD 219134 c,0.06400210221645714,0.0423899616326255,4.17399,62.02604,79.79129,102.21005
15000.0,HD 219134 f,0.14573487878012725,0.002265222112021662,0.40768,-161.78091,261.57661,280.28535
15000.0,HD 219134 d,0.2350045790441312,0.002683862622408032,0.10088,-20.60629,341.61367,194.93213
15000.0,HD 219134 g,0.3756240543167304,0.002489464800655451,0.14333,10.9064,177.11562,14.15548
15000.0,HD 219134 h,3.107359945193569,0.06017377917554799,0.00142,174.30235,151.03978,345.81431
20000.0,HD 219134 b,0.038199868667725644,0.054976273579449536,2.91193,-91.21211,191.17313,262.22795
20000.0,HD 219134 c,0.06400095944911766,0.03243482355800282,4.51655,101.88915,263.31291,95.17664
20000.0,HD 219134 f,0.14574587339746825,0.003267516626088099,0.37508,-97.8143,142.3776,286.75808
20000.0,HD 219134 d,0.23503262693768195,0.001043140964132726,0.05873,84.53299,57.87836,106.03846
20000.0,HD 219134 g,0.37554971271532517,0.0018412763839344593,0.21283,2.23352,288.28885,331.53082
20000.0,HD 219134 h,3.106030783897963,0.060988347321848754,0.00208,163.93023,161.71679,156.63262
25000.0,HD 219134 b,0.03820073552910563,0.019745375743152153,2.82989,-32.49782,359.23455,167.11966
25000.0,HD 219134 c,0.06399542271952585,0.05889149971983426,4.53184,141.43222,280.10858,242.66436
25000.0,HD 219134 f,0.1457308435506471,0.009860735439762666,0.28383,-18.54202,85.64308,214.14414
25000.0,HD 219134 d,0.23505809226916063,0.005424007001408981,0.07408,-176.54856,104.3113,54.23174
25000.0,HD 219134 g,0.3756756340183722,0.0012260293084179548,0.27533,6.95709,192.39318,120.78009
25000.0,HD 219134 h,3.1114876041287314,0.06141668029479172,0.00251,153.42067,172.32557,315.44776
30000.0,HD 219134 b,0.038199545599906105,0.06563143517597311,3.29865,20.04674,2.60462,235.92862
30000.0,HD 219134 c,0.06400148942282241,0.005028519489711643,4.2862,-179.56435,73.22526,273.98405
30000.0,HD 219134 f,0.1457696820657049,0.002179332863168683,0.29411,68.4108,109.52247,55.5795
30000.0,HD 219134 d,0.23495848099012695,0.005321954184915718,0.07658,-97.23589,100.07537,74.01573
30000.0,HD 219134 g,0.3755293440567218,0.004483403591305459,0.29855,11.65555,179.88805,184.57944
30000.0,HD 219134 h,3.109059324283245,0.060153670505593615,0.00248,169.27724,157.44591,131.13157
35000.0,HD 219134 b,0.038202021251859786,0.013559709108932515,3.86178,68.66496,2.99917,317.56491
35000.0,HD 219134 c,0.06400317590495913,0.06000919951524991,3.81616,-136.0116,118.96338,43.51007
35000.0,HD 219134 f,0.14574703757764304,0.004157708400521483,0.3033,131.53591,281.66579,130.57497
35000.0,HD 219134 d,0.23501265155130924,0.00181324827778504,0.08437,3.16332,75.93116,88.92651
35000.0,HD 219134 g,0.37555957019089276,0.0007267041656763737,0.29687,8.92568,203.14207,224.43845
35000.0,HD 219134 h,3.106836205991231,0.060076533007986974,0.00277,175.55061,151.4243,285.5
40000.0,HD 219134 b,0.03819942411102662,0.060698586201687305,4.40662,111.07431,195.10728,205.68195
40000.0,HD 219134 c,0.06400296523545812,0.02706445865372482,3.348,-89.60211,131.74437,192.97993
40000.0,HD 219134 f,0.1457566587154002,0.006496844401005707,0.16916,163.33017,266.30911,65.28888
40000.0,HD 219134 d,0.23501862606595347,0.003505851949527515,0.10437,75.07264,254.69996,291.04313
40000.0,HD 219134 g,0.3755554522020156,0.002043029889378865,0.33066,5.36319,176.97275,311.23068
40000.0,HD 219134 h,3.1067188366232403,0.06010033595548646,0.00306,156.10785,170.49518,105.76238
45000.0,HD 219134 b,0.0382006382137036,0.044018670954656385,4.63752,151.86613,204.84102,270.57785
45000.0,HD 219134 c,0.06399577353267441,0.046449795472641824,3.00223,-38.88984,303.82066,181.69016
45000.0,HD 219134 f,0.1457313830416581,0.006740877403659876,0.16652,113.65474,111.21966,217.94857
45000.0,HD 219134 d,0.23503644744287736,0.007063113402304479,0.07839,119.32314,288.99392,305.48186
45000.0,HD 219134 g,0.3754189338116453,0.0037573292740140482,0.36043,7.95198,207.38899,335.02295
45000.0,HD 219134 h,3.1074098567215187,0.06058285740797632,0.00308,161.70037,165.75513,257.86657
50000.0,HD 219134 b,0.03819968895015826,0.0371746249241511,4.66033,-166.83861,36.91901,168.63057
50000.0,HD 219134 c,0.06400102692664958,0.05099105057221184,2.97092,17.39074,303.04178,337.50913
50000.0,HD 219134 f,0.14575372103348014,0.002631794585007689,0.3558,137.53948,335.75069,280.13155
50000.0,HD 219134 d,0.23505720394963545,0.004125156344343367,0.03358,24.76214,87.81484,333.90685
50000.0,HD 219134 g,0.3753267755438101,0.001567401334894045,0.34795,13.02839,340.4582,256.08413
50000.0,HD 219134 h,3.1114514507753452,0.06072798719700617,0.0042,178.28144,150.30209,76.82713
55000.0,HD 219134 b,0.03820243617821376,0.06332689885415804,4.42932,-127.5099,49.79803,227.23866
55000.0,HD 219134 c,0.06400188848776815,0.021803159746363723,3.19135,68.38178,114.21676,327.44317
55000.0,HD 219134 f,0.14573133842283145,0.003934584143524705,0.39586,-173.42678,286.00677,230.82126
55000.0,HD 219134 d,0.23503254501788037,0.0009545373634073293,0.15866,45.54871,354.93241,139.11247
55000.0,HD 219134 g,0.3754078895206623,0.0012176246172759364,0.31358,11.42672,338.4613,316.72655
55000.0,HD 219134 h,3.1105997305448536,0.059806457534672945,0.00418,170.19438,157.04297,232.42195
60000.0,HD 219134 b,0.038199976487340796,0.0048420903223886855,4.0026,-85.51559,236.74778,130.23381
60000.0,HD 219134 c,0.06400062109658367,0.060766384422226566,3.64821,117.46932,124.14719,128.67241
60000.0,HD 219134 f,0.14576878515835026,0.009976893151900385,0.29224,-102.26442,333.66254,62.82839
60000.0,HD 219134 d,0.2350702828906456,0.006844655511258076,0.2184,78.29232,19.51869,174.93783
60000.0,HD 219134 g,0.37564260844263353,0.0035806922948132306,0.30937,8.87715,290.90283,65.59787
60000.0,HD 219134 h,3.110075692829902,0.061363386405156775,0.00392,164.26802,163.82033,48.77177
65000.0,HD 219134 b,0.0382012139291013,0.06572724452247677,3.50865,-40.89351,245.60684,199.38613
65000.0,HD 219134 c,0.06399383067677344,0.010123882507745622,4.0565,161.75393,154.86184,260.50545
65000.0,HD 219134 f,0.14574381742599885,0.00425070031753523,0.3104,-4.42965,158.12921,90.78998
65000.0,HD 219134 d,0.23500163585217188,0.006266503121528211,0.17575,106.38712,52.18623,206.9759
65000.0,HD 219134 g,0.3756010638386345,0.004946079981950637,0.31241,12.72399,352.6732,57.60583
65000.0,HD 219134 h,3.1065586058587025,0.0608054251166527,0.00507,167.53368,161.11773,206.46929
70000.0,HD 219134 b,0.03819996474647807,0.02661670867015518,3.0594,8.00787,249.1156,279.41874
70000.0,HD 219134 c,0.06399986959733041,0.05574865036888595,4.36555,-157.82658,321.48143,265.10819
70000.0,HD 219134 f,0.14575176213588834,0.005359378226614388,0.41394,64.38565,94.19084,37.39319
70000.0,HD 219134 d,0.23505752500178478,0.0018537589619453856,0.08257,77.54752,124.63014,256.68923
70000.0,HD 219134 g,0.37568289343171285,0.003748677449047562,0.27146,21.93174,352.65411,106.91568
70000.0,HD 219134 h,3.1050145076289253,0.05947154632013385,0.00593,165.91973,162.86937,18.22835
75000.0,HD 219134 b,0.03820167620064466,0.05238845654763032,2.9361,66.50906,59.86008,192.45305
75000.0,HD 219134 c,0.06400216151109644,0.038030766154121466,4.45217,-116.29756,336.98217,77.96153
75000.0,HD 219134 f,0.14571551082139791,0.008794303594525266,0.36053,112.23073,121.441,272.53145
75000.0,HD 219134 d,0.23505311873842266,0.006119259667457364,0.18259,51.69608,96.70834,44.95162
75000.0,HD 219134 g,0.37564425745412805,0.0044657362051872705,0.20987,26.20572,300.437,213.26269
75000.0,HD 219134 h,3.1101557448353745,0.05970067339756496,0.00552,163.93911,164.62232,182.65551
80000.0,HD 219134 b,0.03819948977791959,0.05347804755544418,3.21858,120.1074,57.96471,276.46501
80000.0,HD 219134 c,0.06400462551956075,0.03788341674938232,4.27202,-78.19802,161.87794,74.72728
80000.0,HD 219134 f,0.14577080176060467,0.0037870224275102712,0.15385,138.78806,343.18411,337.85477
80000.0,HD 219134 d,0.23494031924073347,0.007886665735956574,0.25267,71.60858,126.66173,90.04716
80000.0,HD 219134 g,0.37560331528454316,0.004715045281997414,0.17011,25.96241,349.38568,221.62105
80000.0,HD 219134 h,3.108113448204465,0.0604477630336969,0.0055,163.76419,165.35756,347.50941
85000.0,HD 219134 b,0.03820057748799716,0.026300035513950548,3.85238,171.28266,240.19697,190.40994
85000.0,HD 219134 c,0.06399681857457223,0.05604402705186148,3.8803,-34.93139,175.34431,227.14717
85000.0,HD 219134 f,0.1457522403949389,0.004090579143910806,0.14934,71.83992,117.22026,222.68593
85000.0,HD 219134 d,0.23504265272478878,0.003604261903513051,0.19764,90.87811,177.19654,112.95092
85000.0,HD 219134 g,0.3755783343168034,0.0028155788513344153,0.15997,36.01214,350.13672,270.58831
85000.0,HD 219134 h,3.1067136088233145,0.06097623377382874,0.00648,158.4821,171.21916,157.67151
90000.0,HD 219134 b,0.0381998832984682,0.06845796603246168,4.38582,-145.86996,246.63717,275.71711
90000.0,HD 219134 c,0.06399771717485223,0.009478903264886583,3.32155,9.74349,335.75877,244.97538
90000.0,HD 219134 f,0.14574801331928733,0.006427049549099825,0.24695,108.02083,141.604,115.4426
90000.0,HD 219134 d,0.23500752217423398,0.0037386469856409634,0.13386,64.32452,139.80636,270.25463
90000.0,HD 219134 g,0.37556176206584907,0.002624938122031106,0.13581,63.3118,282.67613,9.16265
90000.0,HD 219134 h,3.107550154430412,0.06054105994662626,0.0069,153.35777,176.73578,316.5522
95000.0,HD 219134 b,0.03819985157658054,0.007868162312286474,4.71268,-106.83191,249.30472,15.32979
95000.0,HD 219134 c,0.06400318923454339,0.06063150753476821,2.96108,60.83605,2.03794,27.7313
95000.0,HD 219134 f,0.14571870200819678,0.004890336349500654,0.19579,-175.91856,240.87683,250.392
95000.0,HD 219134 d,0.23502515772110272,0.00838249015551011,0.22277,50.54356,193.08094,324.54953
95000.0,HD 219134 g,0.3754647995840428,0.003394961587930544,0.11397,96.09991,342.60438,333.70106
95000.0,HD 219134 h,3.1090367899618943,0.05999414234099974,0.00663,157.56232,172.60949,132.84441
100000.0,HD 219134 b,0.03820081004174306,0.06382356307175159,4.69501,-67.18129,91.85413,265.44358
100000.0,HD 219134 c,0.06400538242337522,0.022897453421973336,2.85133,119.59189,2.36253,184.10611
100000.0,HD 219134 f,0.14577239614658447,0.0041073196648447885,0.29906,-66.97401,345.23041,349.52379
100000.0,HD 219134 d,0.2350979045666798,0.005848225978828946,0.27542,71.96881,243.32017,346.58207
100000.0,HD 219134 g,0.37527893028409487,0.0026760934692328987,0.10236,118.53693,16.02494,337.56583
100000.0,HD 219134 h,3.112236459512056,0.06123754028074244,0.00673,161.77334,167.51307,288.56827
105000.0,HD 219134 b,0.03820039928372056,0.03999206706488165,4.43334,-30.24366,106.61239,358.48438
105000.0,HD 219134 c,0.06399910728706307,0.05008240532007873,3.20666,170.5707,173.07736,182.20987
105000.0,HD 219134 f,0.14574718770991268,0.007180191755144577,0.49638,-4.80759,287.28896,297.32407
105000.0,HD 219134 d,0.2350019582075982,0.0022014192446105927,0.18972,94.66007,202.15534,100.23284
105000.0,HD 219134 g,0.3755098965677486,0.001600043708626539,0.12982,122.3836,37.66956,9.19655
105000.0,HD 219134 h,3.1104360775130058,0.06008519112137219,0.00713,154.93094,176.39002,106.32303
110000.0,HD 219134 b,0.038200572327916654,0.042401920273477736,3.90541,12.37449,295.63292,260.99424
110000.0,HD 219134 c,0.0639949748789701,0.046709769656695724,3.73738,-140.20506,180.32715,342.85637
110000.0,HD 219134 f,0.14574162364600513,0.00560633308587978,0.52215,42.67892,3.70059,126.29639
110000.0,HD 219134 d,0.23504441254085603,0.007410342698563272,0.07878,67.33539,221.30807,201.4672
110000.0,HD 219134 g,0.37560809223588776,0.005386418534172031,0.18455,132.38976,3.97128,92.85327
110000.0,HD 219134 h,3.1098128261514515,0.05987341663332778,0.00718,145.1789,185.15433,260.31408
115000.0,HD 219134 b,0.03820027756185889,0.061055364000097506,3.3722,58.49688,300.59195,353.03271
