t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
50.0,Alpha Centauri B,23.595383670096947,0.5161701931147511,79.21753,-155.12432,231.59035,196.59189
50.0,Alpha Centauri A b,1.5998803711553033,0.1029870366824941,63.22846,-154.24955,307.48235,206.23157
50.0,Dante,0.0007362247032762629,0.017246666412150495,68.19366,-151.12803,269.40459,330.9945
50.0,Hades,0.0009944154909204402,0.00992119463857816,71.56413,-152.98558,307.85569,129.76357
50.0,Pandora,0.0016873467331543514,0.006216424470854456,63.42492,-157.72487,205.14756,16.21861
50.0,Cassandra,0.004012417988088183,0.05391550068605194,108.70553,15.37742,197.131,304.09764
50.0,Chaos,0.01055264188942386,0.061382111835636,117.94737,27.47916,152.90239,25.17723
100.0,Alpha Centauri B,23.572404572602156,0.5156192750406322,79.21631,-155.14325,231.62429,139.2425
100.0,Alpha Centauri A b,1.6039957500818995,0.09862845281825132,63.21394,-152.9101,311.80504,153.35625
100.0,Dante,0.0007364303814804964,0.012633264000806464,71.41543,-157.43028,217.78785,315.76677
100.0,Hades,0.0009933678858641956,0.059954383778978784,73.63527,-156.35579,22.01047,329.04901
100.0,Pandora,0.0016873116832113219,0.005002691993476967,72.21046,-151.00855,212.12151,335.28212
100.0,Cassandra,0.004013351821616527,0.05853849701556579,104.42018,31.79237,222.24716,313.06846
100.0,Chaos,0.010423385355227561,0.03797471857190135,115.98949,29.7545,102.5605,10.44155
150.0,Alpha Centauri B,23.585800834861995,0.5154206054817141,79.21325,-155.15213,231.61808,248.01078
150.0,Alpha Centauri A b,1.6080985921281563,0.10156579082304264,63.31201,-152.60518,310.93095,105.46093
150.0,Dante,0.0007350847557880466,0.004895934641948241,69.0864,-159.25752,26.48594,5.871
150.0,Hades,0.0009887446643491067,0.0516419595569185,63.43716,-159.01012,127.2048,89.13937
150.0,Pandora,0.0016871645169025777,0.0024795395134822834,66.01856,-160.3588,313.73384,206.45628
150.0,Cassandra,0.00401285890805723,0.06229905702593591,120.34411,29.34348,242.87276,320.73727
150.0,Chaos,0.009944344979558133,0.021776325890886874,113.27303,29.68571,268.21721,140.09443
200.0,Alpha Centauri B,23.6026205590982,0.5151792383762439,79.19109,-155.16655,231.76658,177.01437
200.0,Alpha Centauri A b,1.6148647530852882,0.09539866051484397,63.51776,-151.5398,314.72864,37.31916
200.0,Dante,0.0007369271474055118,0.02467312807712447,67.14063,-158.87179,115.92781,18.43895
200.0,Hades,0.000990128096152827,0.05232485042644163,68.33544,-148.72903,265.38205,98.06321
200.0,Pandora,0.0016873158965271856,0.002335172304482583,68.20391,-149.74338,62.50096,62.46985
200.0,Cassandra,0.00401414717171508,0.06508401819150327,112.77954,15.33708,258.36285,329.64588
200.0,Chaos,0.010165512259410819,0.03811851086567623,112.15894,29.6029,248.41785,94.73997
250.0,Alpha Centauri B,23.65392965240992,0.5170095403836128,79.20324,-155.1411,231.84949,92.44167
250.0,Alpha Centauri A b,1.6181791706462962,0.09413895463763074,63.74994,-150.29745,316.43497,324.72059
250.0,Dante,0.0007347239527672496,0.017345916176199325,67.21323,-159.24911,338.21935,32.331
250.0,Hades,0.0009938167581280985,0.03574381035691852,71.12271,-160.83616,306.2125,7.59009
250.0,Pandora,0.0016873089956748555,0.0065429736974998475,70.63025,-160.23858,116.3215,339.88572
250.0,Cassandra,0.004015941391245918,0.06746203660118932,102.5084,26.78548,285.43426,337.94766
250.0,Chaos,0.010603613976714572,0.04023537998010445,111.32346,27.25295,234.0855,42.55292
300.0,Alpha Centauri B,23.572467908339704,0.5172055995338233,79.21077,-155.13574,231.73209,212.27456
300.0,Alpha Centauri A b,1.6172207312775337,0.08678142671489852,63.88613,-150.07907,313.90389,268.27831
300.0,Dante,0.0007359610350870284,0.01994666799469502,67.01265,-158.97748,227.71053,30.56004
300.0,Hades,0.0009872749934409198,0.04897705279883959,62.59628,-152.76646,129.10886,216.78727
300.0,Pandora,0.0016871729557461357,0.0031035696364799716,64.29998,-150.78249,130.1658,292.72676
300.0,Cassandra,0.0040158928311865676,0.06840533145107583,117.34191,34.06547,309.25314,347.94128
300.0,Chaos,0.010261508300876182,0.01152465975383883,111.67557,24.92583,33.59027,176.25327
350.0,Alpha Centauri B,23.562714650046047,0.5168566787244835,79.22871,-155.13485,231.56909,157.04819
350.0,Alpha Centauri A b,1.6139115700835187,0.0765883439914621,64.23388,-148.94447,322.06024,206.59602
350.0,Dante,0.000735239424422518,0.008404622518631366,67.47057,-159.18996,151.22876,19.81745
350.0,Hades,0.000993779287903836,0.06212988323703004,73.14945,-152.40853,219.33378,340.75608
350.0,Pandora,0.001687123273569696,0.0036042724792215565,72.9809,-157.40133,290.02906,105.19765
350.0,Cassandra,0.004014535713806281,0.06935937598603259,116.55027,16.21208,323.05936,357.12672
350.0,Chaos,0.009933033892445091,0.049187624671526334,113.4265,25.37933,331.73261,171.8391
400.0,Alpha Centauri B,23.614061636305145,0.516395093224874,79.20245,-155.14592,231.56546,308.45426
400.0,Alpha Centauri A b,1.6091623480845556,0.07801465879301113,64.26459,-148.56549,326.96379,154.45275
400.0,Dante,0.0007357779909880714,0.018805691476448772,64.60902,-157.00578,233.52003,338.93677
400.0,Hades,0.0009920284496507158,0.058239201067819,70.30334,-159.40801,343.11619,57.86906
400.0,Pandora,0.0016872846452234613,0.004212420800797987,63.18338,-155.33733,341.94819,21.15011
400.0,Cassandra,0.004014480954283956,0.06872005820100567,103.38221,22.60854,348.40774,7.53657
400.0,Chaos,0.01031991444485665,0.01971205212371677,115.83468,25.83501,316.82571,119.84488
450.0,Alpha Centauri B,23.613728525971414,0.5144749855379767,79.20929,-155.14537,231.62242,190.4297
450.0,Alpha Centauri A b,1.6063100238255907,0.07204943695233312,64.8389,-147.65489,331.8881,95.27193
450.0,Dante,0.0007347067438033425,0.009175505977330509,66.22133,-151.65974,135.45013,302.79266
450.0,Hades,0.0009898143667738109,0.03523795823567358,67.17154,-159.55306,174.18846,248.14204
450.0,Pandora,0.001687226600955207,0.004934201414992519,73.03038,-152.60064,25.52851,304.84992
450.0,Cassandra,0.00401509444680505,0.0685323082746429,111.98353,35.28687,15.80884,16.80894
450.0,Chaos,0.010555760526308635,0.019987527799550923,117.0382,27.61496,60.50841,309.59301
500.0,Alpha Centauri B,23.625415424137337,0.515373289225969,79.19255,-155.14587,231.87132,128.86229
500.0,Alpha Centauri A b,1.5999147249446266,0.07026287178361917,65.31222,-146.53342,339.45761,22.99513
500.0,Dante,0.0007349150203099742,0.014233127196123308,70.62644,-152.26478,214.13479,30.88892
500.0,Hades,0.0009930499360147394,0.05718923455328081,62.45332,-156.29259,309.37129,318.93242
500.0,Pandora,0.0016872827367393635,0.0002904395940773168,64.3864,-159.54917,231.66136,71.11339
500.0,Cassandra,0.0040150044041234925,0.06564519008932658,120.58847,19.86063,30.66612,26.40356
500.0,Chaos,0.010117607091434501,0.04346590564806222,116.19267,31.36652,70.12863,236.42861
550.0,Alpha Centauri B,23.547590238352765,0.516426517436526,79.21419,-155.1629,231.85575,233.92518
550.0,Alpha Centauri A b,1.5951132514797333,0.06984011214312821,65.51299,-146.25622,341.05364,318.38395
550.0,Dante,0.0007357768820950876,0.024527739921034564,71.86675,-153.62949,56.31009,358.42245
550.0,Hades,0.0009996623063216088,0.03197906992421623,70.80692,-149.34615,294.72727,350.15054
550.0,Pandora,0.0016872718222694105,0.005931843321166937,70.30695,-150.06876,214.2813,54.86491
550.0,Cassandra,0.004013437132669412,0.0624391003043394,104.9285,18.79165,50.86921,38.4345
