t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5000.0,Proxima Cen d,0.02880992028621169,0.0003290895037355888,0.0,0.0,276.45956,280.74051
5000.0,Proxima Cen b,0.048478036582094625,5.2835175692329817e-05,0.0,0.0,164.8174,244.49171
5000.0,Proxima Cen c,1.4807392368624,0.0004888437153975262,0.0,0.0,71.72682,325.93569
10000.0,Proxima Cen d,0.028809509468213864,0.00027507244814502306,0.0,0.0,248.28889,190.98066
10000.0,Proxima Cen b,0.04847895963599716,3.099246340055669e-05,0.0,0.0,346.96913,192.19549
10000.0,Proxima Cen c,1.4800655974224413,0.0003987791295354365,0.0,0.0,125.40447,241.23377
15000.0,Proxima Cen d,0.02881082259901185,9.372780670969051e-05,0.0,0.0,2.56698,318.74164
15000.0,Proxima Cen b,0.048479886702387516,3.7069893797383e-05,0.0,0.0,354.27799,314.7387
15000.0,Proxima Cen c,1.4809621797390244,0.0003204324067296196,0.0,0.0,11.65628,323.96707
20000.0,Proxima Cen d,0.028809731226757233,0.00031213470942520867,0.0,0.0,327.114,236.24689
20000.0,Proxima Cen b,0.04847842577129511,6.840627670687404e-05,0.0,0.0,154.3799,284.47721
20000.0,Proxima Cen c,1.4801239253035192,0.00047878634913192273,0.0,0.0,97.04037,207.57682
25000.0,Proxima Cen d,0.02880972061082308,0.0002562549816007163,0.0,0.0,286.09886,159.40969
25000.0,Proxima Cen b,0.04847845077300434,6.842691827261569e-06,0.0,0.0,216.99907,351.70575
25000.0,Proxima Cen c,1.4804946617361545,0.0002483914132988692,0.0,0.0,118.48593,155.13037
30000.0,Proxima Cen d,0.02881087360450784,0.00014809935945864244,0.0,0.0,41.67377,285.90782
30000.0,Proxima Cen b,0.048479875542207666,6.407417378167466e-05,0.0,0.0,331.8764,6.66523
30000.0,Proxima Cen c,1.480416085939273,0.00025208714862243176,0.0,0.0,50.2144,192.40178
35000.0,Proxima Cen d,0.02880952006341522,0.0003517560946916364,0.0,0.0,17.49782,192.21407
35000.0,Proxima Cen b,0.0484789270972968,5.313840057006511e-05,0.0,0.0,148.80601,319.57033
