t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5000.0,Mercury,0.3871000292969735,0.20654064920312082,6.71438,41.82361,42.94989,163.13659
5000.0,Venus,0.7233271072987586,0.004737522358498193,3.27245,62.38561,65.12066,208.03436
5000.0,Earth,1.000013009203404,0.014345433798332821,0.62521,162.95928,316.37883,300.06515
5000.0,Mars,1.5237394208833224,0.09767278840911942,1.38178,32.70974,325.18104,114.04135
5000.0,Jupiter,5.201489864416749,0.05425232856393347,1.29278,110.60639,275.39944,244.68169
5000.0,Saturn,9.484762105520048,0.0376035388532953,2.49961,100.14407,24.37739,274.22069
5000.0,Uranus,19.185472104219297,0.04941209044625896,0.70001,78.53669,100.3252,27.81424
5000.0,Neptune,29.966685629001198,0.007966984985673935,1.78495,131.44759,273.78239,40.17332
10000.0,Mercury,0.38709920654310426,0.2072151138726144,6.45421,34.76906,57.25479,144.10821
10000.0,Venus,0.7233319722486665,0.00360215337301459,3.00116,47.12578,65.92565,14.18407
10000.0,Earth,1.0000051766334357,0.011368458629380108,1.17976,151.17066,345.79705,241.28881
10000.0,Mars,1.5237250219695033,0.10143246811590466,0.8021,5.78476,13.30501,186.12522
10000.0,Jupiter,5.201326756274114,0.058440599826286174,1.45219,117.65866,281.33766,125.05451
10000.0,Saturn,9.487203545450747,0.02237823400987326,2.27792,87.07191,82.58331,224.4181
10000.0,Uranus,19.214086734417652,0.04933201015549976,0.65438,84.74188,93.06741,271.73893
10000.0,Neptune,30.110587725898252,0.009082465796756586,1.79636,131.10496,302.50335,152.31408
15000.0,Mercury,0.3870994651168756,0.20754511479725313,6.24461,27.08978,72.12066,123.10273
15000.0,Venus,0.7233287002964711,0.0034852805043863342,2.60549,30.41904,64.62937,183.41262
15000.0,Earth,1.0000022599042495,0.008244897061825568,1.64537,139.41451,17.38774,181.14882
15000.0,Mars,1.5236646959016567,0.10401998132116108,0.44559,-77.85993,117.84345,259.94632
15000.0,Jupiter,5.20205794928388,0.06001359285532644,1.67921,118.22995,295.37425,345.06295
15000.0,Saturn,9.541617053505904,0.015127465892635052,1.84642,76.63462,196.24769,117.36264
15000.0,Uranus,19.238370928209008,0.04295061226513607,0.63018,91.25752,96.09382,160.74649
15000.0,Neptune,30.25713798200332,0.016592521010579463,1.80691,130.65441,275.20625,319.45017
20000.0,Mercury,0.38710009749121965,0.2074598486320913,6.10127,18.77186,87.58124,105.65551
20000.0,Venus,0.7233332824115595,0.003967896935484658,2.12155,11.16325,73.0804,348.32828
20000.0,Earth,1.0000077001484355,0.005102452641137194,2.01026,127.63035,55.07701,116.10115
20000.0,Mars,1.5237074946026525,0.1055242887798253,1.04822,-143.71185,204.59842,356.20556
20000.0,Jupiter,5.200752802566326,0.05693028182789307,1.88136,114.1946,314.37458,210.36905
20000.0,Saturn,9.50404439628476,0.033399987466782285,1.26957,72.42824,250.05045,62.62597
20000.0,Uranus,19.219599991637867,0.04896933949239716,0.62192,97.06003,100.43292,43.73191
20000.0,Neptune,29.969482487408225,0.010254772906525633,1.81891,130.20152,285.19532,93.06168
25000.0,Mercury,0.3871009167684418,0.20691284555585177,6.03566,9.92025,103.55855,77.48245
25000.0,Venus,0.723331703368852,0.004416885981990776,1.60902,-13.17518,96.17968,141.3478
25000.0,Earth,1.000000003412852,0.0025971640986269325,2.2632,115.78079,117.19862,24.00203
25000.0,Mars,1.523854313777502,0.10585738610380573,1.85055,-169.9268,251.97992,93.06138
25000.0,Jupiter,5.201669408560425,0.05071157403087834,1.98906,107.96799,333.44736,88.61261
25000.0,Saturn,9.474709924057406,0.04875644661691655,0.77422,89.49791,263.67978,24.007
25000.0,Uranus,19.23382722498727,0.04846568481987651,0.6148,101.90321,93.42922,287.741
25000.0,Neptune,30.004823471379275,0.011785917480812935,1.82852,129.70402,309.83405,207.67851
