t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5000.0,tau Cet g,0.13299423146177844,0.2140665304546283,0.0,0.0,73.92201,72.64375
5000.0,tau Cet h,0.2430174153238517,0.12314876526157341,0.0,0.0,187.83827,268.45789
5000.0,tau Cet f,1.3341571719226406,0.15877547710259024,0.0,0.0,271.16542,170.25695
5000.0,tau Cet e,0.5379634829253018,0.1884881866969293,0.0,0.0,106.46024,141.0865
10000.0,tau Cet g,0.133001189291808,0.23193870590453752,0.0,0.0,150.02936,186.66304
10000.0,tau Cet h,0.24299886377602734,0.0866599962458799,0.0,0.0,26.05471,295.49007
10000.0,tau Cet f,1.3339957712839292,0.1568316333495958,0.0,0.0,276.82027,157.0345
10000.0,tau Cet e,0.538001493840979,0.19239162215884348,0.0,0.0,122.66521,151.04088
15000.0,tau Cet g,0.1330057127845565,0.09819767421145101,0.0,0.0,249.65676,303.83919
15000.0,tau Cet h,0.24298230976059412,0.21660692501397835,0.0,0.0,120.64284,91.52294
15000.0,tau Cet f,1.3339707263742127,0.15412378639383992,0.0,0.0,282.31727,143.30245
15000.0,tau Cet e,0.5379869145113793,0.1892654000281932,0.0,0.0,135.86526,162.14393
20000.0,tau Cet g,0.13300058072207802,0.15010734416748484,0.0,0.0,88.60016,338.15381
20000.0,tau Cet h,0.24299735357008068,0.1798672862738665,0.0,0.0,206.51975,189.30677
20000.0,tau Cet f,1.3342475238325262,0.1507599932198681,0.0,0.0,287.74623,128.75197
20000.0,tau Cet e,0.5379689263856532,0.19794159322556307,0.0,0.0,147.16931,174.36824
25000.0,tau Cet g,0.13299566150590592,0.2269926578645861,0.0,0.0,172.72476,137.97912
25000.0,tau Cet h,0.2430098866550872,0.05530789581305988,0.0,0.0,351.91122,258.9961
25000.0,tau Cet f,1.334111474271023,0.1467383979589224,0.0,0.0,292.9483,113.21469
25000.0,tau Cet e,0.5379900348493712,0.2090634289623016,0.0,0.0,162.50626,183.94764
30000.0,tau Cet g,0.1329983562197119,0.15103160718489916,0.0,0.0,260.69604,233.74813
30000.0,tau Cet h,0.24300579189763685,0.178021281840446,0.0,0.0,134.80894,331.70597
30000.0,tau Cet f,1.3341316371320293,0.14192220061794764,0.0,0.0,297.96495,96.31233
30000.0,tau Cet e,0.5379845402027514,0.20816012782020257,0.0,0.0,176.90245,194.14879
35000.0,tau Cet g,0.13300586511127455,0.11023366039427636,0.0,0.0,84.87953,289.58422
35000.0,tau Cet h,0.24298146845136415,0.19908707376741414,0.0,0.0,223.3575,127.33528
35000.0,tau Cet f,1.33429289542901,0.136872894422196,0.0,0.0,302.70866,78.37016
35000.0,tau Cet e,0.5380008569942746,0.21303013086634123,0.0,0.0,187.58993,207.07706
40000.0,tau Cet g,0.13299889830236353,0.210132203617042,0.0,0.0,186.73348,83.74235
40000.0,tau Cet h,0.2429995542272091,0.07413693779384682,0.0,0.0,336.54926,206.1239
40000.0,tau Cet f,1.3341218815460787,0.13126634842460347,0.0,0.0,307.04726,59.17142
40000.0,tau Cet e,0.5379548832205365,0.22647454525599564,0.0,0.0,201.22048,217.75858
45000.0,tau Cet g,0.13299358028112496,0.16498271168025178,0.0,0.0,270.94957,190.21692
45000.0,tau Cet h,0.24301437539761417,0.15617754338547743,0.0,0.0,146.25946,240.23214
45000.0,tau Cet f,1.3340942231066384,0.12526746001703742,0.0,0.0,311.02901,39.13304
45000.0,tau Cet e,0.5380052902777173,0.2270286650627966,0.0,0.0,216.26579,229.28488
50000.0,tau Cet g,0.13300112785203536,0.09295836628636368,0.0,0.0,89.65364,234.68754
50000.0,tau Cet h,0.24299331995660547,0.21464584230553152,0.0,0.0,235.19579,31.73683
50000.0,tau Cet f,1.3341311737789383,0.11934306045237117,0.0,0.0,314.50946,19.00729
50000.0,tau Cet e,0.5379607153687019,0.22610787359329756,0.0,0.0,226.92992,244.91987
55000.0,tau Cet g,0.1330035236923226,0.22071833933962573,0.0,0.0,202.09289,351.08406
55000.0,tau Cet h,0.24298637346043134,0.09079259169374027,0.0,0.0,330.07167,147.18848
55000.0,tau Cet f,1.3339558203716084,0.11329549148878686,0.0,0.0,317.50014,359.47302
