t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5000.0,TRAPPIST-1 b,0.011537402108149485,0.011096230348866087,0.49214,-17.73949,162.78924,74.06267
5000.0,TRAPPIST-1 c,0.015800003453853635,0.0017280427277016302,0.07193,78.19163,266.17141,64.12842
5000.0,TRAPPIST-1 d,0.022262049536761388,0.0016441080872817357,0.24247,-10.22511,293.7743,354.05003
5000.0,TRAPPIST-1 e,0.0292548108955675,0.008010776562880313,0.23941,64.40948,20.55288,106.30445
5000.0,TRAPPIST-1 f,0.03852013463853808,0.004708832372026236,0.12288,-79.31254,345.78074,217.31347
5000.0,TRAPPIST-1 g,0.04682162162912147,0.003171063032998267,0.05408,31.75808,128.44035,99.4294
5000.0,TRAPPIST-1 h,0.06190588472404374,0.0015077406163574072,0.37665,56.92838,328.54042,89.90193
10000.0,TRAPPIST-1 b,0.01153837647235622,0.004727724834695755,0.42547,2.01824,24.02037,136.81342
10000.0,TRAPPIST-1 c,0.015798483817118403,0.004552058514214701,0.1569,117.26213,252.67486,304.84239
10000.0,TRAPPIST-1 d,0.022256380783781296,0.016090627622706275,0.1848,46.54683,3.07962,66.51274
10000.0,TRAPPIST-1 e,0.02925975376514562,0.01201109280212604,0.13172,-45.51614,212.35631,159.24832
10000.0,TRAPPIST-1 f,0.03849513584250728,0.0028424380693095586,0.21271,-4.08199,291.68716,107.6357
10000.0,TRAPPIST-1 g,0.04684285526037505,0.010243880841000362,0.14242,55.71346,87.98993,48.03022
10000.0,TRAPPIST-1 h,0.06191332331436634,0.010132502414248491,0.3808,-96.13805,50.69729,237.37486
15000.0,TRAPPIST-1 b,0.01153237473092243,0.0032504339872677437,0.30679,98.61586,148.85797,345.96741
15000.0,TRAPPIST-1 c,0.015810494429110953,0.005707277904331895,0.19272,-57.68355,193.71171,310.23378
15000.0,TRAPPIST-1 d,0.022277488842722442,0.007744398158624595,0.19163,73.7942,349.90729,188.8404
15000.0,TRAPPIST-1 e,0.029249314043440583,0.0072019158731150175,0.12376,92.4909,84.70769,10.92616
15000.0,TRAPPIST-1 f,0.038506903677627234,0.006540799436461608,0.22297,-46.88936,4.58371,234.04128
15000.0,TRAPPIST-1 g,0.04686590242495834,0.003650427084203077,0.27031,-5.2793,187.30564,330.42567
15000.0,TRAPPIST-1 h,0.061824301353580725,0.003660829695600939,0.27027,58.4374,354.51671,70.89994
20000.0,TRAPPIST-1 b,0.011538336416641471,0.0035897614620668786,0.22681,-116.6715,49.62499,17.4895
20000.0,TRAPPIST-1 c,0.015804344523564235,0.00455333311190262,0.35106,-1.88145,249.26483,111.11755
20000.0,TRAPPIST-1 d,0.022276578874144526,0.011456660095229604,0.17888,-59.11984,89.69277,6.01563
20000.0,TRAPPIST-1 e,0.029220244753403863,0.012677256465219193,0.28963,11.06892,96.41514,165.56145
20000.0,TRAPPIST-1 f,0.03852659415724848,0.010054522409431632,0.19437,86.40337,290.39928,350.00692
20000.0,TRAPPIST-1 g,0.0468135634178849,0.00694122058591586,0.08488,39.85209,180.76802,326.97857
20000.0,TRAPPIST-1 h,0.06200143710378159,0.002881003866250806,0.36223,1.25035,192.31102,102.23159
25000.0,TRAPPIST-1 b,0.01153686709501383,0.007570956996795132,0.27212,68.11609,193.50854,39.20771
25000.0,TRAPPIST-1 c,0.01580918366916638,0.002548960179283312,0.37705,-35.63191,9.52326,355.62894
