t_yr,body,a_au,e
20.0,TRAPPIST-1 b,0.011539801092982135,0.007203192099060455
20.0,TRAPPIST-1 c,0.01579512281284076,0.005726010890248422
20.0,TRAPPIST-1 d,0.02226359147390931,0.03961902575942257
20.0,TRAPPIST-1 e,0.02920388950067346,0.011933668896247984
20.0,TRAPPIST-1 f,0.038380693242678295,0.0034401293432917176
20.0,TRAPPIST-1 g,0.046662893289508796,0.006366456439900665
20.0,TRAPPIST-1 h,0.062016086653636816,0.004437421593466928
20.0,TRAPPIST-1 e moon (safe),0.00013368476905278995,0.0792453917941503
20.0,TRAPPIST-1 g moon (risky),-2.408048521714669e-05,1500.8033127564295
40.0,TRAPPIST-1 b,0.011539148815757282,0.0055765441351665985
40.0,TRAPPIST-1 c,0.01579562975747348,0.004236989129839215
40.0,TRAPPIST-1 d,0.02225665384934994,0.021808692880160623
40.0,TRAPPIST-1 e,0.029270650327288317,0.0018953189978230206
40.0,TRAPPIST-1 f,0.03841084828381695,0.010873559507618697
40.0,TRAPPIST-1 g,0.04659532091036795,0.012502270309877017
40.0,TRAPPIST-1 h,0.06194320830041528,0.005061229055272421
40.0,TRAPPIST-1 e moon (safe),0.0001332630759910414,0.08482943446156667
40.0,TRAPPIST-1 g moon (risky),-5.367009860543421e-06,12782.992160321035
60.0,TRAPPIST-1 b,0.011542493402229265,0.0021200138566010818
60.0,TRAPPIST-1 c,0.01579316272126548,0.005852687554435106
60.0,TRAPPIST-1 d,0.02228652427831651,0.035198493851752374
60.0,TRAPPIST-1 e,0.029162906258443175,0.025197101773618762
60.0,TRAPPIST-1 f,0.03836213601923765,0.021613294337015823
60.0,TRAPPIST-1 g,0.04666875835168044,0.01045434760037734
60.0,TRAPPIST-1 h,0.061930564592878136,0.0019145431295514142
60.0,TRAPPIST-1 e moon (safe),0.00013393524610846405,0.03836539687004779
60.0,TRAPPIST-1 g moon (risky),-1.4723692281665625e-06,40753.684017895226
80.0,TRAPPIST-1 b,0.011540013353372838,0.006902335819163826
80.0,TRAPPIST-1 c,0.01579188122688799,0.0036696095859033175
80.0,TRAPPIST-1 d,0.02231019138845849,0.016973998835618304
80.0,TRAPPIST-1 e,0.02924490954459196,0.026231485509060484
80.0,TRAPPIST-1 f,0.03839541315632447,0.016563281505390753
80.0,TRAPPIST-1 g,0.04667202658390934,0.015925878335675818
80.0,TRAPPIST-1 h,0.061972203319744616,0.005474439372034499
80.0,TRAPPIST-1 e moon (safe),0.00013416104317787503,0.06252951044492436
80.0,TRAPPIST-1 g moon (risky),-9.670009088875778e-07,142668.79167186833
100.0,TRAPPIST-1 b,0.011540408645455032,0.004395566570550679
100.0,TRAPPIST-1 c,0.015789260471111632,0.008786066429133219
100.0,TRAPPIST-1 d,0.022258848936596815,0.035007436959484294
100.0,TRAPPIST-1 e,0.029219973887538157,0.029353396707662682
100.0,TRAPPIST-1 f,0.038378729573813,0.004265970936042065
100.0,TRAPPIST-1 g,0.0467429582454735,0.006259823555390804
100.0,TRAPPIST-1 h,0.06201788495841163,0.005711481730346083
100.0,TRAPPIST-1 e moon (safe),0.0001333696651874468,0.07979248341383907
100.0,TRAPPIST-1 g moon (risky),-8.649004598004593e-07,153873.96292985597
120.0,TRAPPIST-1 b,0.01154065849127785,0.009699340045275841
120.0,TRAPPIST-1 c,0.015796918424840614,0.0004751317085347873
120.0,TRAPPIST-1 d,0.02219714075843116,0.031385702489232024
120.0,TRAPPIST-1 e,0.029211451639974195,0.01811046133568379
120.0,TRAPPIST-1 f,0.038403712361041654,0.021193474403372298
120.0,TRAPPIST-1 g,0.04679372582926727,0.0031928669133808167
120.0,TRAPPIST-1 h,0.06190507575821776,0.006317645328161041
120.0,TRAPPIST-1 e moon (safe),0.00013298537750295854,0.05224899606367085
120.0,TRAPPIST-1 g moon (risky),-8.958568487916738e-07,97413.54631676307
140.0,TRAPPIST-1 b,0.011538585239912922,0.0012850842011153491
140.0,TRAPPIST-1 c,0.015805831597433168,0.006776897573917986
140.0,TRAPPIST-1 d,0.022187461129948634,0.013729473056011526
140.0,TRAPPIST-1 e,0.029232249521945253,0.017148161332010376
140.0,TRAPPIST-1 f,0.03843265749211491,0.012650529504596001
140.0,TRAPPIST-1 g,0.04684522379948129,0.004690105198929384
140.0,TRAPPIST-1 h,0.06174557085016353,0.004949386446129756
140.0,TRAPPIST-1 e moon (safe),0.00013330976331444718,0.08576879590847353
140.0,TRAPPIST-1 g moon (risky),-2.4061632068546613e-05,536.0240184918857
160.0,TRAPPIST-1 b,0.011540432005181402,0.0046972215305190555
160.0,TRAPPIST-1 c,0.015795820975745726,0.002323627829751131
160.0,TRAPPIST-1 d,0.022270881156505128,0.032760962403211455
160.0,TRAPPIST-1 e,0.029141109055069607,0.009870302445952777
160.0,TRAPPIST-1 f,0.038465273734726496,0.004545960343340361
160.0,TRAPPIST-1 g,0.04687311739146807,0.009791255335880527
160.0,TRAPPIST-1 h,0.06171504991755116,0.017400552084174497
160.0,TRAPPIST-1 e moon (safe),0.0001336437027967185,0.08124578330484027
160.0,TRAPPIST-1 g moon (risky),-4.753080107356359e-07,198470.99165382423
180.0,TRAPPIST-1 b,0.011539130244432785,0.0020910752116918836
180.0,TRAPPIST-1 c,0.01579993435234826,0.004316601040943027
180.0,TRAPPIST-1 d,0.022246103759949214,0.015381206667808126
180.0,TRAPPIST-1 e,0.029245963750520423,0.020665451046270808
180.0,TRAPPIST-1 f,0.0384258915470818,0.012204780119964613
180.0,TRAPPIST-1 g,0.04683654729263188,0.009561745593859545
