t_yr,body,a_au,e,inc_deg,Omega_deg,omega_deg,f_deg
5000.0,YZ Cet b,0.016331329739063084,0.055097459287850876,0.0,0.0,115.59775,218.39899
5000.0,YZ Cet c,0.021579605225745577,0.02267218897507151,0.0,0.0,33.79822,121.79406
5000.0,YZ Cet d,0.0284913179674545,0.0679227747613694,0.0,0.0,301.16995,262.4952
10000.0,YZ Cet b,0.016336366552145168,0.0714529411869474,0.0,0.0,66.7515,150.09638
10000.0,YZ Cet c,0.021571402411559776,0.01781384250656767,0.0,0.0,302.08058,20.49812
10000.0,YZ Cet d,0.02849477188489367,0.06151011383478803,0.0,0.0,265.97426,175.13715
15000.0,YZ Cet b,0.016340424498623805,0.05599974774529257,0.0,0.0,16.24592,13.14943
15000.0,YZ Cet c,0.021557633324343507,0.009312298590971688,0.0,0.0,6.04754,185.02317
15000.0,YZ Cet d,0.028512258803014928,0.07122715974492436,0.0,0.0,228.90748,60.96923
20000.0,YZ Cet b,0.016335346114886184,0.061970942607558296,0.0,0.0,351.94819,214.89341
20000.0,YZ Cet c,0.02156281486014201,0.027674575529863348,0.0,0.0,264.37503,156.99432
20000.0,YZ Cet d,0.028514742753881682,0.06476137144962836,0.0,0.0,177.83179,309.55477
25000.0,YZ Cet b,0.016347044428074383,0.07121976627564713,0.0,0.0,293.53201,153.96921
25000.0,YZ Cet c,0.021550627167241643,0.00577972150919271,0.0,0.0,180.33157,35.27409
25000.0,YZ Cet d,0.028511794671156544,0.06401544955028012,0.0,0.0,148.32287,221.72206
30000.0,YZ Cet b,0.016340428199300146,0.05462419841274148,0.0,0.0,255.02422,353.62514
30000.0,YZ Cet c,0.021558383729847468,0.02139022663225166,0.0,0.0,222.07121,205.90021
30000.0,YZ Cet d,0.02851152138145495,0.06951248309167739,0.0,0.0,100.87896,140.78905
35000.0,YZ Cet b,0.01632899355779985,0.07339532038460458,0.0,0.0,223.89765,199.51723
35000.0,YZ Cet c,0.021570117139119716,0.025571956852001042,0.0,0.0,128.62452,129.3419
35000.0,YZ Cet d,0.028511838714033157,0.06042492941218571,0.0,0.0,58.16907,65.09739
40000.0,YZ Cet b,0.016345093201563687,0.06928245180962952,0.0,0.0,165.55025,132.71096
40000.0,YZ Cet c,0.02155033671096802,0.006127535810251605,0.0,0.0,156.17627,271.83802
40000.0,YZ Cet d,0.02851918972761487,0.06548256461036123,0.0,0.0,26.82996,326.57959
45000.0,YZ Cet b,0.016347140313004556,0.059064521376067394,0.0,0.0,134.46789,243.21981
45000.0,YZ Cet c,0.021554051917571808,0.02762643811341741,0.0,0.0,87.81704,288.16229
45000.0,YZ Cet d,0.028511107030239697,0.06558457312009694,0.0,0.0,335.07438,190.3717
50000.0,YZ Cet b,0.016348701927074837,0.0775833758731013,0.0,0.0,92.33822,46.3078
50000.0,YZ Cet c,0.021548597472125012,0.018308905027325784,0.0,0.0,6.86312,296.24398
50000.0,YZ Cet d,0.028513711619978156,0.057671013416278755,0.0,0.0,298.6478,56.88835
55000.0,YZ Cet b,0.016333751063422948,0.06971814551023123,0.0,0.0,41.49986,211.2612
55000.0,YZ Cet c,0.02156487845793909,0.014058036547051105,0.0,0.0,34.59999,179.6577
55000.0,YZ Cet d,0.028518781994230216,0.06536083700453908,0.0,0.0,262.08743,271.24552
60000.0,YZ Cet b,0.01634034151381716,0.06670393815792379,0.0,0.0,14.93429,335.9131
60000.0,YZ Cet c,0.021557654018991883,0.03286318131065394,0.0,0.0,312.84263,220.18689
60000.0,YZ Cet d,0.02851306626956735,0.05979374226016559,0.0,0.0,209.62845,143.1094
65000.0,YZ Cet b,0.01633314283426813,0.08468297653283624,0.0,0.0,321.39158,186.27054
65000.0,YZ Cet c,0.021570389614685048,0.008435755701346704,0.0,0.0,245.55517,176.88144
65000.0,YZ Cet d,0.02850593435425722,0.05616185091337246,0.0,0.0,180.61621,4.63234
70000.0,YZ Cet b,0.016337622548625978,0.06656562419167002,0.0,0.0,277.08694,346.70351
70000.0,YZ Cet c,0.021569272020661674,0.023755995308166612,0.0,0.0,269.21038,82.60091
70000.0,YZ Cet d,0.028503632878717836,0.06284333571922517,0.0,0.0,135.77265,222.62045
75000.0,YZ Cet b,0.016339441019706656,0.07878084749976638,0.0,0.0,247.72452,124.87133
75000.0,YZ Cet c,0.021560120239323105,0.028048903580789326,0.0,0.0,182.20616,116.07189
75000.0,YZ Cet d,0.028509984887813283,0.05435284363703613,0.0,0.0,87.45315,91.43381
80000.0,YZ Cet b,0.016343311392787354,0.08266428344632529,0.0,0.0,194.66779,297.50049
80000.0,YZ Cet c,0.021560950472971366,0.010172788812633914,0.0,0.0,181.12189,27.77275
80000.0,YZ Cet d,0.02850047795483001,0.05576140472514892,0.0,0.0,58.72679,301.15963
85000.0,YZ Cet b,0.016338632278174548,0.06873394594144153,0.0,0.0,157.60047,77.73121
85000.0,YZ Cet c,0.02156112351582318,0.03242563434526427,0.0,0.0,132.97724,38.69838
85000.0,YZ Cet d,0.028518059008963263,0.059163258253732,0.0,0.0,5.35319,163.32419
90000.0,YZ Cet b,0.01634510371297903,0.0868802268599079,0.0,0.0,120.11416,213.18125
90000.0,YZ Cet c,0.021554557117121877,0.02354306256551572,0.0,0.0,57.45319,47.18609
90000.0,YZ Cet d,0.028511536088410998,0.04938083767985755,0.0,0.0,324.74614,18.94034
95000.0,YZ Cet b,0.01633381556596696,0.0823810538745146,0.0,0.0,69.16691,52.22603
95000.0,YZ Cet c,0.02156616843110396,0.018610964986572113,0.0,0.0,74.07384,289.74145
95000.0,YZ Cet d,0.028510221052633435,0.056187982219453855,0.0,0.0,292.42795,235.39323
100000.0,YZ Cet b,0.016342644551711537,0.07425199835563187,0.0,0.0,38.3738,166.0282
100000.0,YZ Cet c,0.02156359081049872,0.036144009952735236,0.0,0.0,357.35468,344.30106
100000.0,YZ Cet d,0.028502587084519068,0.051925264931271274,0.0,0.0,235.93788,101.44093
105000.0,YZ Cet b,0.016341322425548956,0.09223766404505372,0.0,0.0,353.7608,321.43365
105000.0,YZ Cet c,0.021562176794038594,0.018662560198240932,0.0,0.0,302.43075,320.70963
105000.0,YZ Cet d,0.028503592304493338,0.046101086952570654,0.0,0.0,203.20838,306.47393
110000.0,YZ Cet b,0.016336003550671496,0.07833296738113019,0.0,0.0,306.87241,141.23534
110000.0,YZ Cet c,0.0215644798732667,0.029693829049093113,0.0,0.0,302.92369,243.14876
110000.0,YZ Cet d,0.02850804173474576,0.054226014941600245,0.0,0.0,161.65487,171.77714
115000.0,YZ Cet b,0.016336307807176764,0.08356591213006608,0.0,0.0,278.24434,254.3966
115000.0,YZ Cet c,0.02158388220574052,0.03491680517358628,0.0,0.0,223.23734,273.06081
115000.0,YZ Cet d,0.02848567180791084,0.04438500086801666,0.0,0.0,109.82641,29.96027
120000.0,YZ Cet b,0.01632926977086316,0.09627110598899494,0.0,0.0,224.75314,116.8731
120000.0,YZ Cet c,0.021574792802869964,0.014562201184712313,0.0,0.0,214.41836,191.72086
120000.0,YZ Cet d,0.028508106229781588,0.0453391337414347,0.0,0.0,80.69437,244.21185
